Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Chief_Engineer_PWD_Roads,Internal,AEE_Maint_Cell_SE_Maint_Cell_Chief_Engineer_PWD_Roads,Monoj Kumar Tamuli,24-Dec-2025 12:05 PM,finsummary_72833.pdf (1036.75 KB),Technical,Recommended by bid evaluation committee,Hemanga Saikia,16-Oct-2025 02:38 PM,,Public Works Roads Department,2025_PWD_45827_69,CE/MAINT/SOPDG/01/2025-26/02,MAINT/SOPD-G/2025-26/78,Finance,Recommended by BEC,Monoj Kumar Tamuli,24-Dec-2025 11:58 AM,,BOQ Comparative Chart,24-Dec-2025,"INR 10,005,318",180.0,Monoj Kumar Tamuli,24-Dec-2025 12:09 PM,FW_SOPD_G_2025_26_78.pdf (509.00 KB),Awarded Cost of Contract,1.0,275975.0,Harun Ali,INR,"10,005,318",1,273017,ABBASUZ ZAMAN,12-Aug-2025 10:25 AM,Rejected-Finance,Rejected by BEC,24-Dec-2025 12:05 PM,"Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati-03",Internal,AEEMaintenanceCell_ SEMaintenanceCell_ Chief EngineerPWD RoadsDepartment_Assam,Hemanga Saikia,16-Oct-2025 02:41 PM,16-Oct-2025 02:45 PM,techsummary_72833.pdf (494.99 KB),AOC,1.0,SBI Bank,Public Works Roads Department,CE/MAINT/SOPDG/01/2025-26/02,2025_PWD_45827_69,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Jul-2025 09:00 AM,14-Aug-2025 11:00 AM,24-Jul-2025 09:00 AM,12-Aug-2025 02:00 PM,24-Jul-2025 09:00 AM ,12-Aug-2025 12:00 PM ,24-Jul-2025 09:00 AM,12-Aug-2025 02:00 PM,16-Oct-2025 02:45 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,MAINT/SOPD-G/2025-26/78,"MAINT/SOPD-G/2025-26/78_1Improvement of (GWC) road from BT Road to Burir Bhitha via Gomafulbari High School,2 Improvement of (GWC) road from Damaljar Bhuyapara to Suhabildoloni Damaljar Road, 3Improvement of (GWC) road from Haripur 5 no Ward Road,4Im",Please refer Tender documents. ,NA ,"1,22,84,000",Civil Works – Roads,NA ,Rate Contract,180.0,180.0,Barpeta,781301.0,"O/o the Chief Engineer,PWD(Roads),Assam,Chandmari, ","O/o the Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati-03 ",24-Jul-2025 12:00 PM ,"O/o the Chief Engineer,PWD(Roads),Assam,Chandmari,",No ,No,"2,500",Nil,Nil,No,"Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati","O/o the Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati-03","2,46,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,275602,ASWINI CHAKRAVORTY,12-Aug-2025 07:38 AM,Rejected-Finance,Rejected by BEC,24-Dec-2025 12:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,275720,Dilip Barman,12-Aug-2025 01:05 PM,Rejected-Finance,Rejected by BEC,24-Dec-2025 12:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,275975,Harun Ali,12-Aug-2025 12:32 PM,Accepted-AOC,Accepted by BEC,24-Dec-2025 12:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,275703,M/S Manab Jyoti Gogoi & Co.,12-Aug-2025 07:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Oct-2025 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,276303,M/S SUNRISE ENTERPRISE,12-Aug-2025 01:08 PM,Rejected-Finance,Rejected by BEC,24-Dec-2025 12:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,275007,Sri Dhiraj Patowary,12-Aug-2025 10:41 AM,Rejected-Finance,Rejected by BEC,24-Dec-2025 12:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
