Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Technical Bid Opened,Saurav Sarkhel,31-Oct-2025 01:17 PM,,Mustafa Ali Ahmed,Internal,"Pranjal Talukdar,Barphungha Boro, Tirtha Choury, Ajoy Kalia",Uttam Kumar Basumatary,12-Dec-2025 01:32 PM,finsummary_76291.pdf (117.80 KB),Bodoland Territorial Council||Forests-BTC,2025_BoTC_47877_1,BTC/Dhansiri/01/2025 Pkg 02,10 Ha Artificial Regeneration (AR) Plantation (Erection of Fencing Work) under Mazbat Range,1.0,284917.0,HITESWAR BASUMATARY,INR,"3,181,348.8",12-Dec-2025,"INR 3,181,348.8",90.0,Uttam Kumar Basumatary,12-Dec-2025 01:35 PM,WorkOrder_25.pdf (777.00 KB),L1 BIDDER,Finance,Financial Bid Opened,Saurav Sarkhel,31-Oct-2025 02:00 PM,,BOQ Comparative Chart,1,284999,BAHARUL ISLAM,28-Oct-2025 07:36 PM,Rejected-Technical,Documents not found in order,31-Oct-2025 01:40 PM,Md. Mustafa Ali Ahmed,Internal,"Sri Pranjal Talukdar,Sri Barphungsha Boro, Sri Tirtha Choudhury, Sri Ajoy Kalita",Saurav Sarkhel,31-Oct-2025 01:40 PM,31-Oct-2025 01:45 PM,techsummary_76291.pdf (163.21 KB),AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"58,776",Yes,percentage,2.0%,Nil,Nil,"Divisional Forest Officer, Dhansiri Divisi","O/o the Divisional Forest Officer, Dhansiri Division, Udalguri",Bodoland Territorial Council||Forests-BTC,BTC/Dhansiri/01/2025 Pkg 02,2025_BoTC_47877_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,08-Oct-2025 03:00 PM,29-Oct-2025 03:30 PM,08-Oct-2025 03:00 PM,29-Oct-2025 03:00 PM,08-Oct-2025 03:00 PM ,29-Oct-2025 03:00 PM ,08-Oct-2025 03:00 PM,29-Oct-2025 03:00 PM,31-Oct-2025 01:45 PM,"1,000",Nil,Nil,No,10 Ha Artificial Regeneration (AR) Plantation (Erection of Fencing Work) under Mazbat Range,10 Ha Artificial Regeneration (AR) Plantation (Erection of Fencing Work) under Mazbat Range,Please refer Tender documents. ,NA ,"29,38,816",Civil Works,NA ,Tender,180.0,90.0,DHANSIRI,782470.0,NA ,NA ,NA ,"O/o the Divisional Forest Officer, Dhansiri Divisi",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,285010,BHUPEN BORO,28-Oct-2025 08:48 PM,Rejected-Technical,Documents not found in order,31-Oct-2025 01:40 PM,,,,,,,,AOC,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,284986,HARADHAN KUNDU,29-Oct-2025 12:30 PM,Rejected-Technical,Documents not found in order,31-Oct-2025 01:40 PM,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,284917,HITESWAR BASUMATARY,28-Oct-2025 11:52 AM,Accepted-AOC,L1 BIDDER,12-Dec-2025 01:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,284856,Jamidar Narzary,28-Oct-2025 03:31 PM,Rejected-Finance,L6 BIDDER,12-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,284939,J D ASSOCIATES,28-Oct-2025 01:49 PM,Rejected-Technical,Documents not found in order,31-Oct-2025 01:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,284989,NELSON BASUMATARY,28-Oct-2025 06:00 PM,Rejected-Finance,L2 BIDDER,12-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,284850,RAJU CHANDRA BASUMATARY,28-Oct-2025 02:33 PM,Rejected-Finance,L5 BIDDER,12-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,284783,SARBANANDA OJHA,29-Oct-2025 10:54 AM,Rejected-Finance,L3 BIDDER,12-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,284872,TAMESWAR BASUMATARY,28-Oct-2025 07:18 PM,Rejected-Finance,L4 BIDDER,12-Dec-2025 01:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
