Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||North Assam Zone-Tezpur-PHED||Tezpur Circle-Tezpur-PHED,SEPH/TEZ/TC-196/2025-26/616-22 Dated 09/09/2025,2025_PHED_47419_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,11-Sep-2025 10:00 AM,17-Oct-2025 03:00 PM,11-Sep-2025 10:00 AM,16-Oct-2025 04:00 PM,NA ,NA ,11-Sep-2025 10:00 AM,16-Oct-2025 04:00 PM,18-Nov-2025 12:00 PM,462.0,Nil,Nil,No,Superintending Engineer (PHE),"O/o the Superintending Engineer (PHE), Tezpur Circle, Tezpur",1.0,Fee/PreQual/Technical,.pdf,Technical qualification document,"46,239",Yes,percentage,2.0%,Nil,Nil,Utility Shifting of No. 4 Baruajhar PWSS under Mangaldai (PHE) Division under SOPD-G for the year 2025-26,Utility Shifting of No. 4 Baruajhar PWSS under Mangaldai (PHE) Division under SOPD-G for the year 2025-26,Please refer Tender documents. ,NA ,"23,11,950",Civil Works - Water Works,NA ,Tender,90.0,30.0,"No.4 Baruajhar, Darrang, Assam",784514.0,"Tezpur, Assam ","O/o the Superintending Engineer (PHE), Tezpur Circle, Tezpur  ",18-Sep-2025 11:00 AM ,"O/o the Superintending Engineer (PHE), Tezpur",No ,No,AOC,1,284324,IMTIAZ AHMED,14-Oct-2025 03:11 PM,Rejected-AOC,Not-selected,03-Dec-2025 04:02 PM,Er. Biplab Jyoti Das,Internal,"Er. Biplab Jyoti Das, Er. Sudipta Bijoy Sarmah, Er. Tonmoy Saha, Er. Ajay Kumar Rai",Md. Moy Hussain,15-Nov-2025 03:50 PM,18-Nov-2025 12:00 PM,techsummary_75678.pdf (5480.74 KB),03-Dec-2025,"INR 2,080,692",30.0,Md. Moy Hussain,03-Dec-2025 04:01 PM,WO_NIT13.pdf (1062.00 KB),Award of Contract,Finance,Financial Bid has opened,Md. Moy Hussain,18-Nov-2025 12:58 PM,,BOQ Comparative Chart,1.0,284219.0,M/s Sujashree Enterprise,INR,"2,080,692",Sri Biplab Jyoti Das,Internal,"Biplab Jyoti Das,Sudipta Bijoy Sarmah, Arup Saikia, Tonmoy Saha, Ajay Kumar Rai, Deeksha Saikia, Bishnu Saikia",Md. Moy Hussain,20-Nov-2025 12:47 PM,finsummary_75678.pdf (220.97 KB),Technical,Technical Bid has opened,Md. Moy Hussain,22-Oct-2025 12:34 PM,,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||North Assam Zone-Tezpur-PHED||Tezpur Circle-Tezpur-PHED,2025_PHED_47419_1,SEPH/TEZ/TC-196/2025-26/616-22 Dated 09/09/2025,Utility Shifting of No. 4 Baruajhar PWSS under Mangaldai (PHE) Division under SOPD-G for the year 2025-26,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid document downloaded from portal,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,284322,M/S DALAKI INTERNATIONAL,14-Oct-2025 02:53 PM,Rejected-AOC,Not-selected,03-Dec-2025 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,284219,M/s Sujashree Enterprise,14-Oct-2025 04:03 PM,Accepted-AOC,Selected for Award of Contract as L1,03-Dec-2025 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Bid Form,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,284427,Rang Mahal enterprise,16-Oct-2025 10:33 AM,Rejected-AOC,Not-selected,03-Dec-2025 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
