Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Bid Security,"Executive Officer, Maibang Municipal Board",Office of the Maibang Municipal Board,"30,723",Yes,percentage,2.0%,Nil,Nil,20-Nov-2025 04:00 PM,09-Dec-2025 11:00 AM,20-Nov-2025 04:00 PM,08-Dec-2025 04:00 PM,NA ,NA ,20-Nov-2025 04:00 PM,08-Dec-2025 04:00 PM,12-Dec-2025 10:00 AM,Request for proposal to select an Agency for Setting up of Waste to Compost facility of Capacity at Maibang Municipal Board,Request for proposal to select an Agency for Setting up of Waste to Compost facility of Capacity at Maibang Municipal Board,Please refer Tender documents. ,NA ,"15,36,151",Civil Works,NA ,Rate Contract,90.0,90.0,Dima Hasao,788831.0,NA ,NA ,NA ,Office of the Maibang Municipal Board,No ,No,1.0,SBI Bank,Urban Development Department||Directorate of Municipality Administration - UDD||Maibang Municipal Board,MMB/SWM/56/2024-25/35-A,2025_UDD_48748_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Date Extension,Date,,AOC,1.0,288477.0,BORDIP LANGTHASA,07-Dec-2025 11:10 AM,Accepted-AOC,L1,30-Dec-2025 12:41 PM,Finance,Technival Bid opening,Thangkholun Haoloi,30-Dec-2025 12:37 PM,finance_77438.pdf,BOQ Comparative Chart,1.0,288477.0,BORDIP LANGTHASA,INR,"1,536,151",Technical,Tecnical Bid Opening,Thangkholun Haoloi,11-Dec-2025 02:35 PM,technical_77438.pdf,"Chairman, Maibang Municipality Board",Internal,,Thangkholun Haoloi,30-Dec-2025 12:39 PM,finsummary_77438.pdf (302.03 KB),"Chairman, Maibang Municipality Board",Internal,,Thangkholun Haoloi,11-Dec-2025 02:38 PM,12-Dec-2025 10:00 AM,techsummary_77438.pdf (302.03 KB),Urban Development Department||Directorate of Municipality Administration - UDD||Maibang Municipal Board,2025_UDD_48748_1,MMB/SWM/56/2024-25/35-A,Request for proposal to select an Agency for Setting up of Waste to Compost facility of Capacity at Maibang Municipal Board,30-Dec-2025,"INR 1,536,151",90.0,Thangkholun Haoloi,30-Dec-2025 12:41 PM,Work_Order.pdf (520.00 KB),AOC
,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SBD,Other,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
