S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,257629.0,golden traders,05-Feb-2025 11:31 AM,Rejected-AOC,L2,03-Dec-2025 06:40 PM,Technical,Summary,ABIDUR RAHMAN,07-Feb-2025 12:01 PM,technical_67658.pdf,Finance,Summary,ABIDUR RAHMAN,25-Apr-2025 06:45 PM,finance_67658.pdf,BOQ Comparative Chart,03-Dec-2025,"INR 190,700,000",605.0,Chandana Basumatary,03-Dec-2025 06:40 PM,WOCODISDHEKIAJULI.pdf (336.00 KB),CE PWD(Bldg),Internal,,Chandana Basumatary,03-Dec-2025 06:38 PM,finsummary_67658.pdf (336.42 KB),CE PWD(Bldg),Internal,,Chandana Basumatary,25-Apr-2025 06:33 PM,25-Apr-2025 06:35 PM,techsummary_67658.pdf (233.99 KB),Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_42055_3,CE/TB-VII/86/2024/6 Dated Guwahati the 6th Jan 2025,"Construction of Co-District Office (RCC G Plus 4) at Dhekiajuli, Sonitpur District, Assam",1.0,256646.0,KULEN HAZARIKA,INR,"190,700,000",AOC,"20,000",Nil,Nil,No,1.0,SBI Bank,11-Jan-2025 09:00 AM,05-Feb-2025 03:00 PM,11-Jan-2025 09:00 AM,05-Feb-2025 02:00 PM,NA ,NA ,11-Jan-2025 09:00 AM,05-Feb-2025 02:00 PM,25-Apr-2025 06:35 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,CE/TB-VII/86/2024/6 Dated Guwahati the 6th Jan 2025,2025_PWBNH_42055_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Extension Notice,Date,,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,"Construction of Co-District Office (RCC G Plus 4) at Dhekiajuli, Sonitpur District, Assam","Construction of Co-District Office (RCC G Plus 4) at Dhekiajuli, Sonitpur District, Assam",Please refer Tender documents. ,NA ,"17,39,21,368",Civil Works - Building,NA ,Tender,180.0,605.0,Sonitpur,784110.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",13-Jan-2025 11:00 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,"34,78,427",Yes,percentage,2.0%,Nil,Nil,"CE, PWD(Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",AOC
2.0,257680.0,J C Infra corporation Limited,04-Feb-2025 11:07 PM,Rejected-Technical,Non-Responsive,25-Apr-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,256646.0,KULEN HAZARIKA,04-Feb-2025 08:59 PM,Accepted-AOC,Work Order Issued,03-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-B,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
