S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DATEXTENSion,Date,,"MD , AMSCL","OFFICE OF THE MANAGING DIRECTOR ASSAM MEDICAL SERVICES CORPORATION LIMITED Central Drug Ware House Campus, Patherquery, Narengi, Guwahati, Assam-781026",1.0,Fee/PreQual/Technical,.pdf,"Checklist of items quoted, Annual Turnover Statement, Experience details etc",SUPPLY OF Deep Freezer minus 80 C,SUPPLY OF Deep Freezer minus 80 C,Please refer Tender documents. ,NA ,"1,88,57,460",Medical Equipments/Waste,NA ,Rate Contract,180.0,90.0,GUWAHATI,781026.0,"AMSCL ,Narengi  ","OFFICE OF THE MANAGING DIRECTOR ASSAM MEDICAL SERVICES CORPORATION LIMITED Central Drug Ware House Campus, Patherquery, Narengi, Guwahati, Assam-781026 ",21-Jan-2025 03:00 PM ,"AMSCL ,Narengi",No ,No,Health and Family Welfare Department||Assam Medical Services Corporation Limited,AMSC-EQUI0PROC/77/2024-EQUP PRO-AMSC/3 ECF 571174,2025_HFWD_42112_1,Yes,Open Tender,Buy,Goods,2.0,No,Yes,Online,No,No,No,"2,000",Nil,Nil,No,1.0,SBI Bank,16-Jan-2025 05:00 PM,10-Mar-2025 04:30 PM,16-Jan-2025 05:30 PM,10-Mar-2025 02:00 PM,NA ,NA ,24-Jan-2025 01:00 PM,10-Mar-2025 02:00 PM,26-Mar-2025 03:00 PM,"3,77,149",Yes,fixed,,Nil,Nil,AOC,GM AMSCL,Internal,As per MoM,Anirban Talukdar,24-Mar-2025 03:47 PM,26-Mar-2025 03:00 PM,techsummary_67763.pdf (7057.67 KB),1,258316,Computer World Services,01-Mar-2025 07:48 PM,Rejected-Technical,As per MoM,24-Mar-2025 03:47 PM,01-Jul-2025,INR 1,90.0,Siddhartha Bahadur Singh,06-Dec-2025 11:44 AM,MINUSeighty.pdf (172.00 KB),as per mom,Finance,AS PE MOM,Anirban Talukdar,09-May-2025 03:08 PM,,BOQ Comparative Chart,1.0,260237.0,REMI ELEKTROTECHNIK LTD,INR,1.0,Health and Family Welfare Department||Assam Medical Services Corporation Limited,2025_HFWD_42112_1,AMSC-EQUI0PROC/77/2024-EQUP PRO-AMSC/3 ECF 571174,SUPPLY OF Deep Freezer minus 80 C,GM AMSCL,Internal,AS PER MOM,Anirban Talukdar,09-May-2025 03:13 PM,finsummary_67763.pdf (11961.25 KB),Technical,As per MoM,Anirban Talukdar,24-Mar-2025 03:11 PM,,AOC
2.0,Technical CORrigendum,Technical Bid,,,,,,.pdf,Other requisite document as per tender requiremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,260976,ITAS G. PHARMA,10-Mar-2025 01:40 PM,Rejected-Technical,As per MoM,24-Mar-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,259399,J.M. DISTRIBUTORS,09-Mar-2025 01:28 PM,Rejected-Finance,AS PER MOM,09-May-2025 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,259834,Jyoti Pharmaceuticals,01-Mar-2025 06:08 PM,Rejected-Technical,As per MoM,24-Mar-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,260237,REMI ELEKTROTECHNIK LTD,08-Mar-2025 11:34 AM,Accepted-AOC,as per mom,06-Dec-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
