Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Proposal of Cost-Estimate and Concept Note for Feasibility Study and Preparation of Preliminary Project Report (PPR) for Mega Irrigation Project in Titabar Area Under Titabar LAC, Jorhat District, Assam","Proposal of Cost-Estimate and Concept Note for Feasibility Study and Preparation of Preliminary Project Report (PPR) for Mega Irrigation Project in Titabar Area Under Titabar LAC, Jorhat District, Assam",As per RFP ,NA ,"79,65,000",Consultancy,Survey ,Tender,180.0,119.0,Titabor,785630.0,NA ,NA ,NA ,"O/o the S.E. Jorhat Circle(I), Jorhat.",No ,No,1,General Certificate ,PAN ,Permanent Account Number ,,1.0,SBI Bank,03-Dec-2025 06:00 PM,18-Dec-2025 10:00 AM,03-Dec-2025 06:00 PM,17-Dec-2025 02:00 PM,NA ,NA ,04-Dec-2025 10:00 AM,17-Dec-2025 02:00 PM,18-Dec-2025 04:05 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,JC(I)/Tech/E-Tender/2025/93 Date 03/12/2025,2025_ID_48966_1,Yes,Limited,Item Rate,Services,2.0,No,No,Online,No,No,No,"1,59,300",Yes,percentage,2.0%,Nil,Nil,"2,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,RFP,"S.E. Jorhat Circle(I), Jorhat.","O/o the S.E. Jorhat Circle (I), Jorhat.",AOC,1.0,288495.0,GarudaUAV Soft Solutions Pvt Ltd,INR,"5,400,000",Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,2025_ID_48966_1,JC(I)/Tech/E-Tender/2025/93 Date 03/12/2025,"Proposal of Cost-Estimate and Concept Note for Feasibility Study and Preparation of Preliminary Project Report (PPR) for Mega Irrigation Project in Titabar Area Under Titabar LAC, Jorhat District, Assam","Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon,AE, Prasanta Dutta AO, Kshirode Buragohain, JE.",Ratul Goswami,18-Dec-2025 04:01 PM,18-Dec-2025 04:05 PM,techsummary_77795.pdf (459.72 KB),30-Dec-2025,"INR 5,400,000",180.0,Ratul Goswami,30-Dec-2025 03:18 PM,FWO.pdf (537.00 KB),FWO,Technical,As enclosed.,Ratul Goswami,18-Dec-2025 03:52 PM,technical_77795.pdf,1.0,288495.0,GarudaUAV Soft Solutions Pvt Ltd,17-Dec-2025 01:15 PM,Accepted-AOC,Accepted,30-Dec-2025 03:18 PM,Finance,As enclosed,Pallabi Phukon,18-Dec-2025 04:52 PM,finance_77795.pdf,BOQ Comparative Chart,"Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon,AE, Prasanta Dutta, AO, Kshirode Buragohain, JE.",Ratul Goswami,23-Dec-2025 11:47 AM,finsummary_77795.pdf (442.07 KB),AOC
,,,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288418.0,WATMOV ENGINEERING PRIVATE LIMITED,17-Dec-2025 12:30 PM,Rejected-Finance,L2,23-Dec-2025 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,9,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,11,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,12,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,13,Technical Documents ,Misc. Documents ,Micellaneous Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,14,Works ,Order 1 ,Order 1 executed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,15,Works ,Order 2 ,Order 2 executed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,16,Works ,Order 3 ,Order 3 executed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
