Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
Technical,Minutes,Syed Nurul Hussain,01-Mar-2025 10:23 AM,technical_68181.pdf,Smti K Rajkhowa,Internal,and other members,Syed Nurul Hussain,02-May-2025 04:03 PM,finsummary_68181.pdf (299.22 KB),Department of Handloom Textile and Sericulture||Directorate of Sericulture,2025_DHTS_42449_1,"SDM.756/2024-25/82/1202, dt.30/01/2025",Establishment of Nurseries in the Govt. Farms/ Centres under SOPD-G 2024-25(Biswanath),05-Jun-2025,"INR 363,000",30.0,Syed Nurul Hussain,01-Dec-2025 12:44 PM,workorderbiswanath.pdf (895.00 KB),Supply items for the nursery at Biswanath,Finance,Financial minutes,Syed Nurul Hussain,02-May-2025 03:26 PM,finance_68181.pdf,BOQ Comparative Chart,1.0,259080.0,M/S GREENTECH ENTERPRISE,INR,"363,000",1,259242,Asiatic Horticultural FaRm,21-Feb-2025 12:35 PM,Rejected-AOC,L-3 rected,01-Dec-2025 12:45 PM,Kajori Rajkhowa,Internal,,Syed Nurul Hussain,01-Mar-2025 10:27 AM,01-Mar-2025 10:30 AM,techsummary_68181.pdf (1024.50 KB),AOC,Establishment of Nurseries in the Govt. Farms/ Centres under SOPD-G 2024-25(Biswanath),Establishment of Nurseries in the Govt. Farms/ Centres under SOPD-G 2024-25(Biswanath),As per tender documents  ,NA ,"4,95,000",Miscellaneous Works,NA ,Tender,180.0,30.0,Biswanath,784176.0,NA ,NA ,NA ,DIRECTORATE OF SERICULRURE ASSAM,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,01-Feb-2025 05:00 PM,21-Feb-2025 03:00 PM,01-Feb-2025 05:10 PM,21-Feb-2025 02:00 PM,NA ,NA ,14-Feb-2025 01:00 PM,21-Feb-2025 02:00 PM,01-Mar-2025 10:30 AM,"9,900",Yes,percentage,2.0%,Nil,Nil,Department of Handloom Textile and Sericulture||Directorate of Sericulture,"SDM.756/2024-25/82/1202, dt.30/01/2025",2025_DHTS_42449_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"1,000",Nil,Nil,No,1.0,SBI Bank,"Director of Sericulture, Assam",DIRECTORATE OF SERICULRURE ASSAM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,259296,DENDROPHILE NURSERY,21-Feb-2025 12:40 PM,Rejected-AOC,L-4 rejected,01-Dec-2025 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,259080,M/S GREENTECH ENTERPRISE,19-Feb-2025 03:01 PM,Accepted-AOC,L-1 bidder,01-Dec-2025 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,259311,M/S MIDDLE ASSAM NURSERY AND AGARWOOD INDUSTRY,21-Feb-2025 01:44 PM,Rejected-AOC,L-2 rejected,01-Dec-2025 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,259113,RAJA ENTERPRISE,21-Feb-2025 12:22 PM,Rejected-AOC,L-3 rejected,01-Dec-2025 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
