Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"CGM(D and S),APDCL,CAR",Internal,,Sanjib Kumar Das,30-Aug-2025 05:18 PM,30-Aug-2025 05:25 PM,techsummary_71282.pdf (289.87 KB),1.0,271088.0,ASSAM ELECTRIC STORE,INR,"5,745,420",Assam Power Distribution Company Ltd||CGM(D) Central Assam Region - APDCL,2025_APDCL_44937_1,CAR/TSAT/ABT Metering at TATA Semiconductor Assembly and Test Pvt Ltd,"Supply and Installation of receiving end (TSAT Campus) and sending end (132 KV Baghjap GSS) end 132 KV CT and PT and other required materials for ABT metering at TATA Semiconductor Assembly and Test Pvt Ltd, Jagiroad, Morigaon under Jagiroad ESD",1,271088,ASSAM ELECTRIC STORE,07-Jul-2025 03:49 PM,Accepted-AOC,L1,05-Dec-2025 01:43 PM,Technical,Technical bid opened,Sanjib Kumar Das,10-Jul-2025 01:53 PM,,Finance,Price Bid opened on 30.08.2025,Jyoti Sangeeta Dutta,30-Aug-2025 05:48 PM,,BOQ Comparative Chart,05-Dec-2025,"INR 5,745,420",90.0,Jyoti Sangeeta Dutta,05-Dec-2025 01:43 PM,AOCABTMETERINGTSAT.pdf (5078.00 KB),"Managing Director, APDCL",Internal,,Jyoti Sangeeta Dutta,05-Dec-2025 01:40 PM,finsummary_71282.pdf (454.60 KB),AOC,"CGM(D), APDCL,CAR","O/o the CGM(CAR), APDCL, Bijulee Bhawan",1.0,Time Extension Notification,Date,,"5,900",Nil,Nil,Yes,"Supply and Installation of receiving end (TSAT Campus) and sending end (132 KV Baghjap GSS) end 132 KV CT and PT and other required materials for ABT metering at TATA Semiconductor Assembly and Test Pvt Ltd, Jagiroad, Morigaon under Jagiroad ESD","Supply and Installation of receiving end (TSAT Campus) and sending end (132 KV Baghjap GSS) end 132 KV CT and PT and other required materials for ABT metering at TATA Semiconductor Assembly and Test Pvt Ltd, Jagiroad, Morigaon under Jagiroad ESD",Please refer Tender documents. ,NA ,"63,83,947",Electrical Works,NA ,Tender,180.0,90.0,Jagiroad,782410.0,"O/o the CGM(CAR), APDCL, Bijulee Bhawan ","O/o the CGM(CAR), APDCL, Bijulee Bhawan ",19-Jun-2025 02:00 PM ,"O/o the CGM(CAR), APDCL, Bijulee Bhawan",No ,No,1.0,Fee/PreQual/Technical,.rar,Techno-Commercial Bid,17-Jun-2025 06:00 PM,09-Jul-2025 02:00 PM,17-Jun-2025 06:00 PM,07-Jul-2025 05:00 PM,17-Jun-2025 06:00 PM ,19-Jun-2025 10:00 AM ,20-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,30-Aug-2025 05:25 PM,1.0,SBI Bank,"2,00,000",No,fixed,,Nil,Nil,Assam Power Distribution Company Ltd||CGM(D) Central Assam Region - APDCL,CAR/TSAT/ABT Metering at TATA Semiconductor Assembly and Test Pvt Ltd,2025_APDCL_44937_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,271093,Kamal Singh Dugar,04-Jul-2025 05:20 PM,Rejected-Technical,Non-Responsive,30-Aug-2025 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Corrigendum,Fee,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,270945,TATRARI ELECTRICALS AND TRADERS,07-Jul-2025 04:57 PM,Rejected-Technical,Non-responsive,30-Aug-2025 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
