Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage
Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_45163_4,Tech-II/30/2025/3 dtd 19th June 2025,"Infrastructure Development of Charaibahi College, (Construction Of RCC G Plus 2 Academic Building) at Charaibahi, Morigaon District",1.0,271205.0,SAURAV PHUKAN,INR,"49,560,928",CE PWD(Bldg),Internal,,Chandana Basumatary,19-Aug-2025 05:38 PM,19-Aug-2025 05:40 PM,techsummary_71535.pdf (194.58 KB),CE PWD(Bldg),Internal,,ABIDUR RAHMAN,11-Dec-2025 03:58 PM,finsummary_71535.pdf (751.23 KB),11-Dec-2025,"INR 49,560,928",365.0,ABIDUR RAHMAN,11-Dec-2025 04:00 PM,WOMORIGAONPKGIII.pdf (751.00 KB),Finance,Summary,ABIDUR RAHMAN,19-Aug-2025 06:42 PM,finance_71535.pdf,BOQ Comparative Chart,1.0,271733.0,Biren Deka,16-Jul-2025 11:57 AM,Rejected-AOC,L2,11-Dec-2025 04:00 PM,Technical,Summary,Chandana Basumatary,16-Jul-2025 05:21 PM,technical_71535.pdf,AOC,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,Tech-II/30/2025/3 dtd 19th June 2025,2025_PWBNH_45163_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"9,390",Nil,Nil,No,"Infrastructure Development of Charaibahi College, (Construction Of RCC G Plus 2 Academic Building) at Charaibahi, Morigaon District","Infrastructure Development of Charaibahi College, (Construction Of RCC G Plus 2 Academic Building) at Charaibahi, Morigaon District",Please refer Tender documents. ,NA ,"4,69,55,026",Civil Works - Building,NA ,Tender,180.0,365.0,Morigaon,782105.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",02-Jul-2025 11:30 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,25-Jun-2025 06:00 PM,16-Jul-2025 03:30 PM,25-Jun-2025 06:00 PM,16-Jul-2025 02:00 PM,NA ,NA ,25-Jun-2025 06:00 PM,16-Jul-2025 02:00 PM,19-Aug-2025 05:40 PM,"9,39,101",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"CE, PWD(Bldg), H and E, Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271205.0,SAURAV PHUKAN,14-Jul-2025 03:17 PM,Accepted-AOC,Work Order Issued,11-Dec-2025 04:00 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,AOC
