S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DateExtensiOn,Date,,Health and Family Welfare Department||Assam Medical Services Corporation Limited,AMSC-EQUI0PROC/77/2024-EQUP PRO-AMSC/37a ECF 571174,2025_HFWD_43269_1,Yes,Open Tender,Buy,Goods,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Checklist of items quoted, Annual Turnover Statement, Experience details etc",SUPPLY OF ELECTRIC NEEDLE DESTROYER,SUPPLY OF ELECTRIC NEEDLE DESTROYER,Please refer Tender documents. ,NA ,"9,90,000",Medical Equipments/Waste,NA ,Rate Contract,180.0,90.0,Guwahati,780126.0,AMSCL Narengi ,"OFFICE OF THE MANAGING DIRECTOR ASSAM MEDICAL SERVICES CORPORATION LIMITED Central Drug Ware House Campus, Patherquery, Narengi, Guwahati, Assam-781026 ",10-Mar-2025 03:00 PM ,"AMSCL ,Narengi",No ,No,"19,800",Yes,fixed,,Nil,Nil,"Managing Director, AMSCL","OFFICE OF THE MANAGING DIRECTOR ASSAM MEDICAL SERVICES CORPORATION LIMITED Central Drug Ware House Campus, Patherquery, Narengi, Guwahati, Assam-781026",06-Mar-2025 05:00 PM,04-Apr-2025 04:30 PM,06-Mar-2025 05:30 PM,04-Apr-2025 02:00 PM,NA ,NA ,11-Mar-2025 01:00 PM,04-Apr-2025 02:00 PM,10-May-2025 04:00 PM,1.0,SBI Bank,AOC,1.0,261262.0,Cecon Pollutech Systems Pvt Ltd,13-Mar-2025 12:01 PM,Rejected-Technical,As per MoM,08-May-2025 05:25 PM,GM AMSCL,Internal,AS PER MOM,Anirban Talukdar,08-May-2025 05:25 PM,10-May-2025 04:00 PM,techsummary_69133.pdf (507.10 KB),Finance,as per mom,Siddhartha Bahadur Singh,30-May-2025 11:44 AM,,BOQ Comparative Chart,01-Jul-2025,INR 1,90.0,Siddhartha Bahadur Singh,06-Dec-2025 11:41 AM,NEEDLEDESTROYER.pdf (172.00 KB),as per mom,1.0,264960.0,MAINDEOR ENTERPRISE,INR,1.0,GM AMSCL,Internal,AS PER MOM,Siddhartha Bahadur Singh,30-May-2025 12:00 PM,finsummary_69133.pdf (558.65 KB),Technical,AS PER MOM,Anirban Talukdar,08-May-2025 05:19 PM,,Health and Family Welfare Department||Assam Medical Services Corporation Limited,2025_HFWD_43269_1,AMSC-EQUI0PROC/77/2024-EQUP PRO-AMSC/37a ECF 571174,SUPPLY OF ELECTRIC NEEDLE DESTROYER,AOC
2.0,Technical COrRigendum,Technical Bid,,,,,,,,,,,,,,,,,,,,,,.pdf,Other requisite document as per tender requirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,264960.0,MAINDEOR ENTERPRISE,03-Apr-2025 05:20 PM,Accepted-AOC,as per mom,06-Dec-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
