Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Industries and Commerce Department||DNP Limited,INSURANCE/DNPL/11/47/PT-IV/02,2025_ICD_47212_1,Yes,Open Tender,Works,Services,2.0,No,No,Not Applicable,No,No,No,02-Sep-2025 03:15 PM,08-Sep-2025 03:30 PM,02-Sep-2025 03:15 PM,08-Sep-2025 02:00 PM,02-Sep-2025 03:30 PM ,04-Sep-2025 04:00 PM ,02-Sep-2025 04:00 PM,08-Sep-2025 02:00 PM,10-Sep-2025 02:45 PM,Director and CEO,"DNP Ltd 1 No Borpather, Madhuban Duliajan-786602",0.0,No,fixed,,Nil,Nil,Engagement of Insurer for Bharat Griha Raksha policy for Building and facilities of DNP Ltd,Engagement of Insurer for Bharat Griha Raksha policy for Building and facilities of DNP Ltd,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,60.0,365.0,Duliajan,786602.0,NA ,NA ,NA ,Duliajan,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT Documents,1.0,Corrigendum1,Technical Bid,,0.0,Nil,Nil,No,AOC,1.0,280453.0,Universal Sompo General Insurance Company Limited,INR,"108,622.24",Technical,Techno-commercial bids Summary,Birendra Nath Moran,10-Sep-2025 02:36 PM,technical_75325.pdf,Kalpajit Das,Internal,"K. Das, P. Mahanta, G. Neog, B.B. Baruah, D. Sarma",Birendra Nath Moran,08-Dec-2025 03:03 PM,finsummary_75325.pdf (810.45 KB),Kalpajit Das,Internal,"K. Das, G. Neog, M.K. Singha, B.B. Baruah, D. Sarma",Birendra Nath Moran,10-Sep-2025 02:42 PM,10-Sep-2025 02:45 PM,techsummary_75325.pdf (289.18 KB),1,280471,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED,08-Sep-2025 01:02 PM,Rejected-Finance,Disqualified as L4 bidder,08-Dec-2025 03:03 PM,Finance,Price bid summary,Birendra Nath Moran,08-Dec-2025 02:55 PM,finance_75325.pdf,BOQ Comparative Chart,Industries and Commerce Department||DNP Limited,2025_ICD_47212_1,INSURANCE/DNPL/11/47/PT-IV/02,Engagement of Insurer for Bharat Griha Raksha policy for Building and facilities of DNP Ltd,08-Dec-2025,"INR 108,622.24",365.0,Birendra Nath Moran,08-Dec-2025 03:14 PM,AOC.pdf (744.00 KB),Award of Contract,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,280481,Future Generali India Insurance Compnay Limited,08-Sep-2025 12:18 PM,Rejected-Technical,Disqualified,10-Sep-2025 02:42 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,279972,Go Digit General Insurance Limited,08-Sep-2025 01:22 PM,Rejected-Finance,Disqualified as L6 bidder,08-Dec-2025 03:03 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4,280047,IFFCO TOKIO GENERAL INSURANCE CO LTD,05-Sep-2025 06:41 PM,Rejected-Finance,Disqualified as L2 bidder,08-Dec-2025 03:03 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5,280446,NATIONAL INSURANCE COMPANY LIMITED,08-Sep-2025 11:18 AM,Rejected-Finance,Disqualified as L8 bidder,08-Dec-2025 03:03 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,6,280508,RELIANCE GENERAL INSURANCE COMPANY LIMITED,08-Sep-2025 01:56 PM,Rejected-Finance,Disqualified as L3 bidder,08-Dec-2025 03:03 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,7,280435,SBI GENERAL INSURANCE COMPANY LIMITED,07-Sep-2025 10:17 PM,Rejected-Finance,Disqualified as L5 bidder,08-Dec-2025 03:03 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,8,280483,THE NEW INDIA ASSURANCE CO.LTD,08-Sep-2025 01:04 PM,Rejected-Technical,Disqualified,10-Sep-2025 02:42 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,9,280503,THE ORIENTAL INSURANCE CO. LTD,08-Sep-2025 01:31 PM,Rejected-Finance,Disqualified as L7 bidder,08-Dec-2025 03:03 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,10,280453,Universal Sompo General Insurance Company Limited,08-Sep-2025 11:59 AM,Accepted-AOC,Qualified as L1 bidder,08-Dec-2025 03:14 PM,,,,,,,,,,,,,,,,,,AOC
