Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
06-Aug-2025 05:00 PM,06-Sep-2025 04:00 PM,07-Aug-2025 10:00 AM,06-Sep-2025 01:00 PM,NA ,NA ,16-Aug-2025 10:00 AM,06-Sep-2025 01:00 PM,25-Sep-2025 06:15 PM,"13,84,667",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CE/TB-II(Bldg.)/58/2025/7 Dated Guwahati the, 30th July, 2025",2025_PWBNH_46205_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"CE, PWD(Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3","13,847",Nil,Nil,No,"Construction of the Annexe-II Building with Extended Floors and Including Interior and Furnishing Works at Dispur, Guwahati-06. (Additional Estimate for Providing Furniture and Work Stations)","Construction of the Annexe-II Building with Extended Floors and Including Interior and Furnishing Works at Dispur, Guwahati-06. (Additional Estimate for Providing Furniture and Work Stations)",Please refer Tender documents. ,NA ,"6,92,33,368",Civil Works - Building,NA ,Tender,180.0,365.0,Guwahati,781006.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",14-Aug-2025 11:00 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,1.0,Extension Notice,Date,,AOC,03-Dec-2025,"INR 69,716,170",365.0,Chandana Basumatary,03-Dec-2025 11:31 AM,WOAnnexeIIBuildingDispur.pdf (401.00 KB),CE PWD(Bldg),Internal,,Chandana Basumatary,03-Dec-2025 11:29 AM,finsummary_73686.pdf (400.62 KB),Finance,Summary,ABIDUR RAHMAN,25-Sep-2025 06:38 PM,finance_73686.pdf,BOQ Comparative Chart,Technical,Summary,Chandana Basumatary,06-Sep-2025 04:28 PM,technical_73686.pdf,1.0,277304.0,Globalzone Sanitory Infrastructure Pvt.,02-Sep-2025 12:43 PM,Accepted-AOC,Work Order Issued,03-Dec-2025 11:31 AM,1.0,277304.0,Globalzone Sanitory Infrastructure Pvt.,INR,"69,716,170",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_46205_1,"CE/TB-II(Bldg.)/58/2025/7 Dated Guwahati the, 30th July, 2025","Construction of the Annexe-II Building with Extended Floors and Including Interior and Furnishing Works at Dispur, Guwahati-06. (Additional Estimate for Providing Furniture and Work Stations)",CE PWD(Bldg),Internal,,Chandana Basumatary,25-Sep-2025 06:11 PM,25-Sep-2025 06:15 PM,techsummary_73686.pdf (1290.54 KB),AOC
,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,280111.0,J.M. DISTRIBUTORS,06-Sep-2025 12:58 PM,Rejected-Technical,Non-Responsive,25-Sep-2025 06:11 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,278807.0,Momentum Techsys Provate Limited,03-Sep-2025 12:49 PM,Rejected-AOC,L2,03-Dec-2025 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
