Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Department of Women and Child Development||Directorate of Women and Child Development||State Home for Women, Jalukbari, Guwahati-14",DWCD(G)/21/2025/30,2025_DoWC_48872_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,"Supply of Dietary and Non-Dietary Goods/Items/Services in State Home for Women/Destitute Home/TCPC, Jalukbari, Guwahati-14, Assam.","Supply of Dietary and Non-Dietary Goods/Items/Services in State Home for Women/Destitute Home/TCPC, Jalukbari,Guwahati-14, Assam.",Please refer Tender documents. ,NA ,,Miscellaneous Goods,Dietary and non Dietary goods and services ,Rate Contract,180.0,730.0,"Jalukbari, Guwahati-14",781014.0,NA ,NA ,NA ,"State Home for Women, Jalukbari,Guwahati-14.",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents,1.0,BoQ Corrigendum,BOQ,,"1,40,000",Yes,fixed,,Nil,Nil,"1,400",Nil,Nil,Yes,27-Nov-2025 04:00 PM,22-Dec-2025 11:30 AM,29-Nov-2025 09:00 AM,20-Dec-2025 03:00 PM,29-Nov-2025 09:00 AM ,01-Dec-2025 05:00 PM ,29-Nov-2025 04:00 PM,20-Dec-2025 03:00 PM,26-Dec-2025 11:30 AM,Superintendent,"Superintendent, State Home for Women,Jalukbari,Guwahati-14.",AOC,1.0,289720.0,BEHLIM ENTERPRISES ASSAM,INR,"10,748,580",Finance,"Financial opening successfully done, documents downloaded. two bidders are admitted for financial evaluation.",Dipanjali Dihingia,26-Dec-2025 12:05 PM,,BOQ Comparative Chart,01-Dec-2026,"INR 10,748,580",730.0,Dipanjali Dihingia,29-Dec-2025 07:05 PM,AOC.pdf (535.00 KB),Item wise price rates quoted in BOQ by L1 bidder has been accepted for further processing. Quantity of items/Services will be based on requirements only.,"Department of Women and Child Development||Directorate of Women and Child Development||State Home for Women, Jalukbari, Guwahati-14",2025_DoWC_48872_1,DWCD(G)/21/2025/30,"Supply of Dietary and Non-Dietary Goods/Items/Services in State Home for Women/Destitute Home/TCPC, Jalukbari, Guwahati-14, Assam.",Smt Dipanjali Dihingia Superintendent,Internal,Smt Ankita Baruah F and AO Financial Adviser Member secretary Shri Mrinal Talukdar UDA cum Accountant Member Shri Prakash Barman LDA cum Typist Member,Dipanjali Dihingia,26-Dec-2025 03:53 PM,finsummary_77579.pdf (1365.03 KB),Technical,Three Bidder submitted the Tender out of which one bidder namely MS APURBA ENTERPRISE could not fulfil the turnover criteria so not admitted,Mrinal Talukdar,23-Dec-2025 03:40 PM,,"Smt Dipanjali Dihingia Superintendent,",Internal,Smt Ankita Baruah F and AO Member Secretary Shri Mrinal Talukdar UDA cum Accountant Member Shri Prakash Barman LDA cum Typist Member,Mrinal Talukdar,23-Dec-2025 04:04 PM,26-Dec-2025 11:30 AM,techsummary_77579.pdf (1092.51 KB),1,289720,BEHLIM ENTERPRISES ASSAM,20-Dec-2025 12:05 AM,Accepted-AOC,Awarded,29-Dec-2025 07:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sealed and signed copy of tender document,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,289880,MS APURBA ENTERPRISE,19-Dec-2025 08:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Dec-2025 03:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,289882,M/S Mohammad Ishaque,20-Dec-2025 11:09 AM,Rejected-AOC,Not awarded,29-Dec-2025 07:05 PM,AOC
