Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
CE ASDC FOR SC LTD,Internal,,Pankaj Bora,30-Dec-2025 05:17 PM,30-Dec-2025 05:20 PM,techsummary_78473.pdf (165.00 KB),Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,2025_WPTBC_49440_1,SCDCTaburamTaid2,"Construction of Library, Museum, Community Hall and Gate at Taburam Taid Memorial Complex at Gogamukh",1.0,289874.0,S S ENTERPRISE,INR,"16,499,985",Finance,FINANCIAL BID HAS BEEN OPENEND,BRAJARAJ BHATTACHARJEE,30-Dec-2025 05:32 PM,,BOQ Comparative Chart,1.0,289873.0,M/S P.D. ENTERPRISE,20-Dec-2025 10:45 PM,Rejected-AOC,SECOND LOWEST BIDDER,31-Dec-2025 04:41 PM,Technical,TECHNICAL BID HAS BEEN OPENED,Pankaj Bora,26-Dec-2025 02:04 PM,,CE ASDC FOR SC LTD,Internal,,Rahul Das,31-Dec-2025 04:38 PM,finsummary_78473.pdf (165.06 KB),31-Dec-2025,"INR 16,499,985",548.0,Rahul Das,31-Dec-2025 04:41 PM,taburamfwo.pdf (1930.00 KB),AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,PRE-QUALIFICATION,"3,30,000",Yes,percentage,2.0%,Nil,Nil,Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,SCDCTaburamTaid2,2025_WPTBC_49440_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,300",Nil,Nil,No,17-Dec-2025 06:30 PM,23-Dec-2025 03:00 PM,17-Dec-2025 06:30 PM,23-Dec-2025 02:00 PM,NA ,NA ,17-Dec-2025 06:30 PM,23-Dec-2025 02:00 PM,30-Dec-2025 05:20 PM,"MD, ASDC FOR SC LTD","DISPUR, GHY-06","Construction of Library, Museum, Community Hall and Gate at Taburam Taid Memorial Complex at Gogamukh","Construction of Library, Museum, Community Hall and Gate at Taburam Taid Memorial Complex at Gogamukh",Please refer Tender documents. ,NA ,"1,65,00,000",Civil Works,NA ,Tender,180.0,NA ,"DISPUR, GHY-06",781006.0,NA ,NA ,NA ,"O/O THE MD, ASDC FOR SC LTD, DISPUR, GHY-06",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,289874.0,S S ENTERPRISE,20-Dec-2025 11:12 PM,Accepted-AOC,LOWEST BIDDER,31-Dec-2025 04:41 PM,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,BID DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
