Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
29-Dec-2025,"INR 38,256,470",540.0,MILAN MAHILARY,29-Dec-2025 04:55 PM,AOC.pdf (764.00 KB),L1,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,2025_BTC_48597_1,No.ACE-31/EDN/IFB/2025-26/15,"Construction of 50 bedded hostel separately for boys and girls at Banargaon Anchalik H.S. School, Borobazar, Chirang. TN_61_12",Sri Jaga Mohan Basumatary,Internal,"Sri Jaga Mohan Basumatary, Sri Rabin Ch. Brahma, Sri Prahlad Kr. Brahmachoudhury, Smt. Khanthai Basumatary, Sri Jintu Uzir, Sri Arun Ch. Basumatary.",MILAN MAHILARY,15-Dec-2025 05:31 PM,16-Dec-2025 11:00 AM,techsummary_77214.pdf (798.06 KB),Technical,Minutes of the Technical Bid Opening meeting,Khanthai Basumatary,10-Dec-2025 06:51 PM,technical_77214.pdf,Sri Binod Basumatary,External,"Sri Binod Basumatary, Sri Jaga Mohan Basumatary, Sri Mahesh Basumatary.",Khanthai Basumatary,18-Dec-2025 06:13 PM,finsummary_77214.pdf (922.19 KB),1.0,288733.0,Sri Satho Basumatary,INR,"38,256,470",Finance,Financial Bid Opening Minutes,Khanthai Basumatary,16-Dec-2025 06:16 PM,finance_77214.pdf,BOQ Comparative Chart,1,288954,BIRKHW BASUMATARY,09-Dec-2025 11:47 PM,Rejected-AOC,L2,29-Dec-2025 04:55 PM,AOC,"7,700",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tech Doc,13-Nov-2025 01:00 PM,10-Dec-2025 02:00 PM,13-Nov-2025 01:00 PM,10-Dec-2025 12:30 PM,13-Nov-2025 01:00 PM ,10-Dec-2025 12:00 PM ,13-Nov-2025 01:00 PM,10-Dec-2025 12:30 PM,16-Dec-2025 11:00 AM,1.0,Corrigendum,Date,,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,No.ACE-31/EDN/IFB/2025-26/15,2025_BTC_48597_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"the Addl. Chief Engineer, PWD, BTC","O/o the Addl. Chief Engineer, PWD, BTC","7,65,400",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"Construction of 50 bedded hostel separately for boys and girls at Banargaon Anchalik H.S. School, Borobazar, Chirang. TN_61_12","Construction of 50 bedded hostel separately for boys and girls at Banargaon Anchalik H.S. School, Borobazar, Chirang. TN_61_12",Please refer Tender documents. ,NA ,"3,82,67,142",Civil Works - Building,NA ,Tender,180.0,540.0,Chirang,783390.0,NA ,NA ,NA ,"O/o the Addl. Chief Engineer, PWD, BTC",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,288959,BISTI MUSHAHARY,09-Dec-2025 11:58 PM,Rejected-AOC,L3,29-Dec-2025 04:55 PM,AOC,,,,,,,.pdf,SBD,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,288099,Himaksh Start Up India,08-Dec-2025 11:44 PM,Rejected-Technical,Not Qualified,15-Dec-2025 05:31 PM,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,288098,MANIN BORO,08-Dec-2025 11:54 PM,Rejected-Technical,Not Qualified,15-Dec-2025 05:31 PM,AOC,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,288733,Sri Satho Basumatary,10-Dec-2025 11:08 AM,Accepted-AOC,L1,29-Dec-2025 04:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
