EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"34,78,427",Yes,percentage,2.0%,Nil,Nil,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,CE/TB-VII/14/2025/7,2025_PWBNH_44048_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"CE, PWD(Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,1.0,SBI Bank,"Construction of Co-District Office (RCC G Plus 4) at Lumding, Hojai District, Assam","Construction of Co-District Office (RCC G Plus 4) at Lumding, Hojai District, Assam",Please refer Tender documents. ,NA ,"17,39,21,368",Civil Works - Building,NA ,Tender,180.0,605.0,Hojai,782447.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3  ",10-Apr-2025 11:00 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,09-Apr-2025 06:00 PM,19-Apr-2025 03:00 PM,09-Apr-2025 06:00 PM,19-Apr-2025 02:00 PM,NA ,NA ,09-Apr-2025 06:00 PM,19-Apr-2025 02:00 PM,23-Jun-2025 05:50 PM,"20,000",Nil,Nil,No,AOC,03-Dec-2025,"INR 184,293,350",605.0,Chandana Basumatary,03-Dec-2025 06:47 PM,WOCODISTLUMDING.pdf (354.00 KB),CE PWD(Bldg),Internal,,Chandana Basumatary,03-Dec-2025 06:44 PM,finsummary_70231.pdf (354.20 KB),Technical,Summary,Chandana Basumatary,22-Apr-2025 02:56 PM,technical_70231.pdf,1,265687,Chiranjiv Agarwal,19-Apr-2025 01:54 PM,Rejected-Technical,Non-Responsive,23-Jun-2025 05:46 PM,Finance,Summary,Chandana Basumatary,23-Jun-2025 05:58 PM,finance_70231.pdf,BOQ Comparative Chart,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_44048_1,CE/TB-VII/14/2025/7,"Construction of Co-District Office (RCC G Plus 4) at Lumding, Hojai District, Assam",1.0,266014.0,M/s M.P. Khaitan,INR,"184,293,350",CE PWD(Bldg),Internal,,ABIDUR RAHMAN,23-Jun-2025 05:46 PM,23-Jun-2025 05:50 PM,techsummary_70231.pdf (142.62 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,265685,Jyoti Constro Commercials,19-Apr-2025 10:11 AM,Rejected-Technical,Non-Responsive,23-Jun-2025 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,265672,M/s Allied Construction,19-Apr-2025 11:17 AM,Rejected-AOC,L2,03-Dec-2025 06:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,265893,M/S B.N.Garodia Construction & Engineering Pvt.Ltd.,19-Apr-2025 12:51 PM,Not Admitted-Fee/PreQual/Technical,Others-WITHDRAWAL HIS BID,22-Apr-2025 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,266014,M/s M.P. Khaitan,19-Apr-2025 12:03 PM,Accepted-AOC,Work Order Issued,03-Dec-2025 06:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
