Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Signed Bid Document,Principal Secretary- P and RD- Assam Secretariat||Commissioner- P and RD- PNRD,E-326077I/1162983/2025,2025_PNRD_45535_1,Yes,Open Tender,Empanelment,Services,1.0,No,No,Online,No,No,No,17-Jul-2025 03:00 PM,02-Sep-2025 01:00 PM,17-Jul-2025 03:00 PM,02-Sep-2025 11:00 AM,NA ,NA ,25-Jul-2025 11:00 AM,02-Sep-2025 11:00 AM,1.0,CORRIGENDUM II,Date,,0.0,No,fixed,,Nil,Nil,Commissioner,"Commissionerate of Panchayat and Rural Development, Panjabari, Guwahati-781037, Assam",1.0,SBI Bank,Request for Proposal for Selection and Empanelment of Training Providers for providing Rural Mason Training under Pradhan Mantri Awaas Yojana-Gramin in Assam,Request for Proposal for Selection and Empanelment of Training Providers for providing Rural Mason Training under Pradhan Mantri Awaas Yojana-Gramin in Assam,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Empanelment,180.0,365.0,Assam,781037.0,Commissionerate of Panchayat and Rural Development ,"Panjabari, Guwahati-781037, Assam ",22-Jul-2025 03:00 PM ,Commissionerate of Panchayat and Rural Development,No ,No,"6,000",Nil,Nil,Yes,AOC,Finance,As per BOS.,Dhrubajyoti Nath,02-Sep-2025 02:40 PM,finance_72430.pdf,1,279340,ADARSH SARASWATI MAHILA SHIKSHA EVAM GRAMIN VIKAS SAMITI,02-Sep-2025 10:48 AM,Rejected-Technical,Bid criteria have not been met,30-Dec-2025 06:08 PM,Dhrubajyoti Nath,Internal,"Nilotpal Misra, Ranjit Das, Chandrani Bortamuly, Ranjit Goswami, Ashok Kumar Bhattarai",Bibekananda Sonowal,30-Dec-2025 06:08 PM,techsummary_72430.pdf (877.28 KB),30-Dec-2025,INR 53.9,365.0,Bibekananda Sonowal,30-Dec-2025 07:07 PM,EmpanelmentOrderDecember2025TPs.pdf (403.00 KB),EMPANELMENT ORDER,1.0,279329.0,JANHIT SANSKRITIK KALA KENDRA,INR,53.9,Dhrubajyoti Nath,Internal,"Nilotpal Misra, Ranjit Das, Chandrani Bortamuly Ranjit Goswami, Ashok Kumar Bhattarai",Bibekananda Sonowal,30-Dec-2025 06:31 PM,finsummary_72430.pdf (326.21 KB),Principal Secretary- P and RD- Assam Secretariat||Commissioner- P and RD- PNRD,2025_PNRD_45535_1,E-326077I/1162983/2025,Request for Proposal for Selection and Empanelment of Training Providers for providing Rural Mason Training under Pradhan Mantri Awaas Yojana-Gramin in Assam,AOC
,,.pdf,"Technical Document-Annexure A,B,C,F,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,273831,ADEPTINFOSYS CONSULTANCY PRIVATE LIMITED,31-Aug-2025 09:07 AM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,2.0,279316.0,Aryavrat skills Private Limited,INR,53.9,,,,,,,,,,,AOC
,,.pdf,"Technical Document-Annexure H,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,274329,ADITYA CHARITABLE TRUST,02-Sep-2025 08:32 AM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,3.0,277341.0,Ajitaaksh Ventures Pvt Ltd,INR,53.9,,,,,,,,,,,AOC
,,.pdf,"Technical Document-Annexure D,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,277341,Ajitaaksh Ventures Pvt Ltd,18-Aug-2025 03:41 PM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,4.0,277326.0,JAZZY,INR,53.9,,,,,,,,,,,AOC
,,.pdf,Additional Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,277361,ANCHAL TECHNOVATIONS PRIVATE LIMITED,30-Aug-2025 12:48 PM,Rejected-Technical,Bid criteria have not been met,30-Dec-2025 06:08 PM,,,,,,,,,,,,,,5.0,277131.0,NRDS Management Private Limited,INR,53.9,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,275000,Anurag Foundation,07-Aug-2025 12:31 PM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,6.0,277129.0,Samarpan Sewa Samiti Samarth Desh Samridh Desh,INR,53.9,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,276406,APITCO LTD,18-Aug-2025 01:36 PM,Rejected-Technical,Bid criteria have not been met,30-Dec-2025 06:08 PM,,,,,,,,,,,,,,7.0,277068.0,Right Foundation,INR,53.9,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,279316,Aryavrat skills Private Limited,02-Sep-2025 01:56 AM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,8.0,276569.0,Samarth Samarpan Seva Samiti,INR,53.9,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,274889,Basix academy for building lifelong employability limited,18-Aug-2025 01:15 PM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,9.0,276441.0,Rohstoffe International Private Limited,INR,53.9,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,274224,Bhaskar Foundadtion,14-Aug-2025 04:30 PM,Accepted-AOC,Work order allotted according to number of V.4 trainers submitted by the TPs in the bid documents.,30-Dec-2025 07:08 PM,,,,,,,,,,,,,,10.0,276302.0,Jeevan Care Foundation,INR,53.9,,,,,,,,,,,AOC
