Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,SCDCJanajati,2026_WPTBC_50944_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,PRE-QUALIFICATION,07-Feb-2026 03:30 PM,11-Feb-2026 03:00 PM,07-Feb-2026 03:30 PM,11-Feb-2026 02:00 PM,NA ,NA ,07-Feb-2026 03:30 PM,11-Feb-2026 02:00 PM,20-Feb-2026 01:15 PM,"1,00,000",Yes,percentage,2.0%,Nil,Nil,1.0,Corrigendum,Technical Bid,,1.0,SBI Bank,"1,000",Nil,Nil,No,"MD, ASDC FOR SC LTD","DISPUR, GHY-06","Construction of Hostel at Janajatiya Kalyan Ashram, Silchar in Cachar District, Dist. Cachar","Construction of Hostel at Janajatiya Kalyan Ashram, Silchar in Cachar District, Dist. Cachar",Please refer Tender documents. ,NA ,"50,00,000",Civil Works,NA ,Tender,180.0,NA ,"DISPUR, GHY-06",781006.0,NA ,NA ,NA ,"O/O THE MD, ASDC FOR SC LTD, DISPUR, GHY-06",No ,No,AOC,16-Mar-2026,"INR 5,000,000",270.0,BRAJARAJ BHATTACHARJEE,16-Mar-2026 01:40 PM,FWOJanajatiyaKalyanAshram.pdf (1164.00 KB),1.0,297305.0,KHAGENDRA NATH SARKAR,INR,"5,000,000",1,297305,KHAGENDRA NATH SARKAR,11-Feb-2026 11:33 AM,Accepted-AOC,Lowest Bidder,16-Mar-2026 01:40 PM,Finance,FINANCIAL BID HAS BEEN OPENED,Rahul Das,20-Feb-2026 02:11 PM,,BOQ Comparative Chart,"CE, ASDC for SC Ltd",Internal,,BRAJARAJ BHATTACHARJEE,16-Mar-2026 01:32 PM,finsummary_81078.pdf (1475.76 KB),Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,2026_WPTBC_50944_1,SCDCJanajati,"Construction of Hostel at Janajatiya Kalyan Ashram, Silchar in Cachar District, Dist. Cachar",Technical,Tender has been opened,Rahul Das,17-Feb-2026 01:10 PM,,CE ASDC FOR SC LTD,Internal,,BRAJARAJ BHATTACHARJEE,20-Feb-2026 01:11 PM,20-Feb-2026 01:15 PM,techsummary_81078.pdf (631.29 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BID DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,297321,M/S A R ENTERPRISE,11-Feb-2026 12:22 PM,Rejected-AOC,3rd Lowest Bidder,16-Mar-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,297312,M/S M B ENTERPRISE,11-Feb-2026 11:43 AM,Rejected-AOC,2nd Lowest Bidder,16-Mar-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
