Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,IN-ASSAM PWD-513263-CW-RFB,2025_PWHE_47570_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,18-Sep-2025 04:30 PM,22-Oct-2025 05:00 PM,18-Sep-2025 04:30 PM,22-Oct-2025 04:30 PM,NA ,NA ,18-Sep-2025 04:30 PM,22-Oct-2025 04:30 PM,23-Oct-2025 05:30 PM,"7,70,000",Yes,fixed,,Nil,Nil,1.0,Extension Notice,Date,,1.0,SBI Bank,"7,500",Nil,Nil,No,"CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",Package_54 Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Kokrajhar Dist. And Chirang DTBD for i. No. 486 Padmabil LPS,Package_54 Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Kokrajhar Dist. And Chirang DTBD for i. No. 486 Padmabil LPS,Please refer Tender documents. ,NA ,"3,84,62,485",Civil Works - Building,NA ,Tender,180.0,545.0,Kokrajhar,783370.0,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ",03-Oct-2025 11:30 AM ,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",No ,No,AOC,05-Mar-2026,"INR 44,067,250",545.0,JYOTISMITA KASHYAP,05-Mar-2026 05:51 PM,WOPACKAGE54.pdf (850.00 KB),1.0,284493.0,Harunur Rashid,INR,"44,067,250",1.0,284493.0,Harunur Rashid,22-Oct-2025 01:55 PM,Accepted-AOC,Work Order Issued,05-Mar-2026 05:51 PM,Finance,Summary,Manash Baishya,23-Oct-2025 06:28 PM,finance_75890.pdf,BOQ Comparative Chart,"CE (H_E), PW (H_E) Deptt. Chandmari, Ghy-3",Internal,,JYOTISMITA KASHYAP,05-Mar-2026 05:50 PM,finsummary_75890.pdf (849.63 KB),Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,2025_PWHE_47570_1,IN-ASSAM PWD-513263-CW-RFB,Package_54 Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Kokrajhar Dist. And Chirang DTBD for i. No. 486 Padmabil LPS,Technical,Summary,JYOTISMITA KASHYAP,22-Oct-2025 06:00 PM,technical_75890.pdf,CE PWD(Bldg),Internal,,JYOTISMITA KASHYAP,23-Oct-2025 05:28 PM,23-Oct-2025 05:30 PM,techsummary_75890.pdf (1340.64 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,2.0,Addendum-1,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,284632.0,JEHIRUL ISLAM,22-Oct-2025 03:45 PM,Rejected-Technical,Non-Responsive,23-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,284592.0,Sogani Commercial,22-Oct-2025 03:47 PM,Rejected-Technical,Non-Responsive,23-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,LETETR OF TECHNICAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,284483.0,UNIQUE TRADERS,22-Oct-2025 04:24 PM,Rejected-Technical,Non-Responsive,23-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,LETETR OF FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
