class,age,male,female
0,0 to 1,1363.38,1261.46
1,1 to 5,5607.11,5178.98
10,10 to 15,6034.27,5482.63
15,15 to 20,5813.67,5067.58
20,20 to 25,5126.56,5269.31
25,25 to 30,5250.62,4937.04
30,30 to 35,4517.34,4119.98
35,35 to 40,4150.13,3846.72
40,40 to 45,3525.04,3397.73
45,45 to 50,3169.13,2981.95
5,5 to 10,6456.7,6006.01
50,50 to 55,2504.29,2325.7
55,55 to 60,1909.91,1662.26
60,60 to 65,1219.75,1275.55
65,65 to 70,877.99,947.02
70,70 to 75,573.63,733.97
75,75 to 80,406.69,475.47
80,80 and over,305.3,408.06
