revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,sum_population
Gossaigaon (Pt),Gossaigaon (Pt),,1069,KOKRAJHAR,18-300-00101,18-300,327433.71875
Bhowraguri,Bhawraguri,,159,KOKRAJHAR,18-300-00102,18-300,56945.078125
Dotoma,Dotoma,,304,KOKRAJHAR,18-300-00103,18-300,199765.3125
Kokrajhar (Pt),Kokrajhar (Pt),y,990,KOKRAJHAR,18-300-00104,18-300,335557.78125
Bagribari (Pt),Bagribari (Pt),,281,KOKRAJHAR,18-300-00105,18-300,109668.4140625
Golokganj (Pt),Golokganj (Pt),,103,KOKRAJHAR,18-300-00106,18-300,50106.7578125
Dhubri (Pt),Dhubri (Pt),,124,KOKRAJHAR,18-300-00107,18-300,80438.6640625
Chapar (Pt),Chapar (Pt),,101,KOKRAJHAR,18-300-00108,18-300,113500.859375
Bagribari (Pt),Bagribari (Pt),,213,DHUBRI,18-301-00109,18-301,192443.515625
Agamoni,Agamoni,,221,DHUBRI,18-301-00110,18-301,175488.5625
Golokganj (Pt),Golakganj (Pt),,199,DHUBRI,18-301-00111,18-301,166424.765625
Dhubri (Pt),Dhubri (Pt),y,357,DHUBRI,18-301-00112,18-301,397577.125
Bilasipara (Pt),Bilasipara (Pt),,295,DHUBRI,18-301-00113,18-301,322330.5
Chapar (Pt),Chapar (Pt),,195,DHUBRI,18-301-00114,18-301,67051.3125
Lakhipur,Lakhipur,,487,GOALPARA,18-302-00115,18-302,217599.09375
Balijana,Balijana,,541,GOALPARA,18-302-00116,18-302,305695.5
Matia,Matia,,478,GOALPARA,18-302-00117,18-302,302040.125
Dudhnai,Dudhnoi,,196,GOALPARA,18-302-00118,18-302,76824.8203125
Rangjuli,Rangjuli,,277,GOALPARA,18-302-00119,18-302,139958.546875
Kalgachia,Kalgachia,,232,BARPETA,18-303-00120,18-303,214840.28125
Baghbor,Baghbor,,513,BARPETA,18-303-00121,18-303,323497.46875
Barpeta,Barpeta,y,316,BARPETA,18-303-00122,18-303,389708.0
Sarthebari,Sarthebari,,262,BARPETA,18-303-00123,18-303,218527.921875
Bajali (Pt),Bajali (Pt),,167,BAJALI,18-799-00124,18-799,119511.375
Jalah (Pt),Jalah (Pt),,41,BAJALI,18-799-00125,18-799,24921.328125
Bhuragaon,Bhuragaon,,219,MORIGAON,18-304-00126,18-304,120993.5234375
Laharighat,Laharighat,,233,MORIGAON,18-304-00127,18-304,270012.3125
Marigaon,Morigaon,y,390,MORIGAON,18-304-00128,18-304,238969.203125
Mikirbheta,Mikirbheta,,184,MORIGAON,18-304-00129,18-304,198476.84375
Kaliabor,Kaliabor,,580,NAGAON,18-305-00130,18-305,283126.5625
Samaguri,Samaguri,,342,NAGAON,18-305-00131,18-305,379512.59375
Rupahi,Rupahi,,306,NAGAON,18-305-00132,18-305,287045.34375
Dhing,Dhing,,248,NAGAON,18-305-00133,18-305,433581.4375
Nagaon,Nagaon,y,372,NAGAON,18-305-00134,18-305,456928.5
Raha,Raha,,341,NAGAON,18-305-00135,18-305,182651.40625
Kampur,Kampur,,375,NAGAON,18-305-00136,18-305,271264.875
Dhekiajuli (Pt),Dhekiajuli (Pt),,1231,SONITPUR,18-306-00137,18-306,521227.5625
