revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,sum_population
Gossaigaon (Pt),Gossaigaon (Pt),,1069,KOKRAJHAR,18-300-00101,18-300,328544.4375
Bhowraguri,Bhawraguri,,159,KOKRAJHAR,18-300-00102,18-300,56690.9609375
Dotoma,Dotoma,,304,KOKRAJHAR,18-300-00103,18-300,202480.5
Kokrajhar (Pt),Kokrajhar (Pt),y,990,KOKRAJHAR,18-300-00104,18-300,338353.375
Bagribari (Pt),Bagribari (Pt),,281,KOKRAJHAR,18-300-00105,18-300,114844.2734375
Golokganj (Pt),Golokganj (Pt),,103,KOKRAJHAR,18-300-00106,18-300,48989.01171875
Dhubri (Pt),Dhubri (Pt),,124,KOKRAJHAR,18-300-00107,18-300,79329.125
Chapar (Pt),Chapar (Pt),,101,KOKRAJHAR,18-300-00108,18-300,109486.7734375
Bagribari (Pt),Bagribari (Pt),,213,DHUBRI,18-301-00109,18-301,187993.890625
Agamoni,Agamoni,,221,DHUBRI,18-301-00110,18-301,175181.59375
Golokganj (Pt),Golakganj (Pt),,199,DHUBRI,18-301-00111,18-301,162353.765625
Dhubri (Pt),Dhubri (Pt),y,357,DHUBRI,18-301-00112,18-301,389264.15625
Bilasipara (Pt),Bilasipara (Pt),,295,DHUBRI,18-301-00113,18-301,307472.28125
Chapar (Pt),Chapar (Pt),,195,DHUBRI,18-301-00114,18-301,65260.09375
Lakhipur,Lakhipur,,487,GOALPARA,18-302-00115,18-302,218452.5
Balijana,Balijana,,541,GOALPARA,18-302-00116,18-302,308773.1875
Matia,Matia,,478,GOALPARA,18-302-00117,18-302,299972.0
Dudhnai,Dudhnoi,,196,GOALPARA,18-302-00118,18-302,80927.0234375
Rangjuli,Rangjuli,,277,GOALPARA,18-302-00119,18-302,138439.5
Kalgachia,Kalgachia,,232,BARPETA,18-303-00120,18-303,211304.125
Baghbor,Baghbor,,513,BARPETA,18-303-00121,18-303,314144.53125
Barpeta,Barpeta,y,316,BARPETA,18-303-00122,18-303,396296.4375
Sarthebari,Sarthebari,,262,BARPETA,18-303-00123,18-303,205787.515625
Bajali (Pt),Bajali (Pt),,167,BAJALI,18-799-00124,18-799,120611.359375
Jalah (Pt),Jalah (Pt),,41,BAJALI,18-799-00125,18-799,22778.494140625
Bhuragaon,Bhuragaon,,219,MORIGAON,18-304-00126,18-304,122350.765625
Laharighat,Laharighat,,233,MORIGAON,18-304-00127,18-304,264455.09375
Marigaon,Morigaon,y,390,MORIGAON,18-304-00128,18-304,237856.5
Mikirbheta,Mikirbheta,,184,MORIGAON,18-304-00129,18-304,195287.859375
Kaliabor,Kaliabor,,580,NAGAON,18-305-00130,18-305,285507.96875
Samaguri,Samaguri,,342,NAGAON,18-305-00131,18-305,371302.625
Rupahi,Rupahi,,306,NAGAON,18-305-00132,18-305,277762.0625
Dhing,Dhing,,248,NAGAON,18-305-00133,18-305,422290.65625
Nagaon,Nagaon,y,372,NAGAON,18-305-00134,18-305,453317.09375
Raha,Raha,,341,NAGAON,18-305-00135,18-305,179238.15625
Kampur,Kampur,,375,NAGAON,18-305-00136,18-305,265819.3125
Dhekiajuli (Pt),Dhekiajuli (Pt),,1231,SONITPUR,18-306-00137,18-306,524726.875
Chariduar,Chariduar,,1000,SONITPUR,18-306-00138,18-306,284937.96875
Tezpur,Tezpur,y,546,SONITPUR,18-306-00139,18-306,384703.6875
Na-Duar,Naduar,,668,SONITPUR,18-306-00140,18-306,232684.390625
Narayanpur,Narayanpur,,380,LAKHIMPUR,18-307-00141,18-307,143944.65625
Bihpuria,Bihpuria,,407,LAKHIMPUR,18-307-00142,18-307,259350.515625
Naobaicha,Nowboicha,,330,LAKHIMPUR,18-307-00143,18-307,157135.4375
Kadam,Kadam,,523,LAKHIMPUR,18-307-00144,18-307,102441.703125
North Lakhimpur,North Lakhimpur,y,616,LAKHIMPUR,18-307-00145,18-307,245785.59375
