revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,sum_population
Gossaigaon (Pt),Gossaigaon (Pt),,1069,KOKRAJHAR,18-300-00101,18-300,329298.8125
Bhowraguri,Bhawraguri,,159,KOKRAJHAR,18-300-00102,18-300,56939.73828125
Dotoma,Dotoma,,304,KOKRAJHAR,18-300-00103,18-300,200861.484375
Kokrajhar (Pt),Kokrajhar (Pt),y,990,KOKRAJHAR,18-300-00104,18-300,336982.1875
Bagribari (Pt),Bagribari (Pt),,281,KOKRAJHAR,18-300-00105,18-300,110783.6875
Golokganj (Pt),Golokganj (Pt),,103,KOKRAJHAR,18-300-00106,18-300,47987.94921875
Dhubri (Pt),Dhubri (Pt),,124,KOKRAJHAR,18-300-00107,18-300,77570.6328125
Chapar (Pt),Chapar (Pt),,101,KOKRAJHAR,18-300-00108,18-300,105940.15625
Bagribari (Pt),Bagribari (Pt),,213,DHUBRI,18-301-00109,18-301,181100.796875
Agamoni,Agamoni,,221,DHUBRI,18-301-00110,18-301,167959.015625
Golokganj (Pt),Golakganj (Pt),,199,DHUBRI,18-301-00111,18-301,158083.9375
Dhubri (Pt),Dhubri (Pt),y,357,DHUBRI,18-301-00112,18-301,380908.4375
Bilasipara (Pt),Bilasipara (Pt),,295,DHUBRI,18-301-00113,18-301,300497.84375
Chapar (Pt),Chapar (Pt),,195,DHUBRI,18-301-00114,18-301,65011.1484375
Lakhipur,Lakhipur,,487,GOALPARA,18-302-00115,18-302,211189.0625
Balijana,Balijana,,541,GOALPARA,18-302-00116,18-302,298164.6875
Matia,Matia,,478,GOALPARA,18-302-00117,18-302,290872.96875
Dudhnai,Dudhnoi,,196,GOALPARA,18-302-00118,18-302,76890.7109375
Rangjuli,Rangjuli,,277,GOALPARA,18-302-00119,18-302,134577.59375
Kalgachia,Kalgachia,,232,BARPETA,18-303-00120,18-303,207373.4375
Baghbor,Baghbor,,513,BARPETA,18-303-00121,18-303,306443.71875
Barpeta,Barpeta,y,316,BARPETA,18-303-00122,18-303,382629.5
Sarthebari,Sarthebari,,262,BARPETA,18-303-00123,18-303,205526.265625
Bajali (Pt),Bajali (Pt),,167,BAJALI,18-799-00124,18-799,116201.890625
Jalah (Pt),Jalah (Pt),,41,BAJALI,18-799-00125,18-799,23212.623046875
Bhuragaon,Bhuragaon,,219,MORIGAON,18-304-00126,18-304,118055.8125
Laharighat,Laharighat,,233,MORIGAON,18-304-00127,18-304,255640.59375
Marigaon,Morigaon,y,390,MORIGAON,18-304-00128,18-304,231093.75
Mikirbheta,Mikirbheta,,184,MORIGAON,18-304-00129,18-304,189598.625
Kaliabor,Kaliabor,,580,NAGAON,18-305-00130,18-305,278773.5625
Samaguri,Samaguri,,342,NAGAON,18-305-00131,18-305,363305.71875
Rupahi,Rupahi,,306,NAGAON,18-305-00132,18-305,275440.25
Dhing,Dhing,,248,NAGAON,18-305-00133,18-305,414967.78125
Nagaon,Nagaon,y,372,NAGAON,18-305-00134,18-305,440921.9375
Raha,Raha,,341,NAGAON,18-305-00135,18-305,174669.203125
Kampur,Kampur,,375,NAGAON,18-305-00136,18-305,259582.375
Dhekiajuli (Pt),Dhekiajuli (Pt),,1231,SONITPUR,18-306-00137,18-306,514707.5625
Chariduar,Chariduar,,1000,SONITPUR,18-306-00138,18-306,280260.84375
Tezpur,Tezpur,y,546,SONITPUR,18-306-00139,18-306,372531.0625
Na-Duar,Naduar,,668,SONITPUR,18-306-00140,18-306,230015.171875
Narayanpur,Narayanpur,,380,LAKHIMPUR,18-307-00141,18-307,141522.40625
Bihpuria,Bihpuria,,407,LAKHIMPUR,18-307-00142,18-307,253741.421875
Naobaicha,Nowboicha,,330,LAKHIMPUR,18-307-00143,18-307,158107.265625
Kadam,Kadam,,523,LAKHIMPUR,18-307-00144,18-307,99991.203125
North Lakhimpur,North Lakhimpur,y,616,LAKHIMPUR,18-307-00145,18-307,239315.59375
Dhakuakhana (Pt-I),Dhakuakhana (Pt-I),,462,LAKHIMPUR,18-307-00146,18-307,114897.6796875
Subansiri (Pt-I),Subansiri (Pt-I),,280,LAKHIMPUR,18-307-00147,18-307,98466.6328125
