meeting_no,meeting_date,decision_text,context
44,,"Road Division as placed at Annexure-lx
SEC further directed that henceforth, Deputy Commissioners cum Chairperson DDMAS will have to
ensure that Section 50 of DM Act 2005 is invoked in the greater interest of public and property for
execution of any repair / restoration works of urBent nature.","45,37,041/- against 20 proposal
pertaining to North Kamrup Territorial P.W.D."
44,,"Resolution: SEC recommended that at least 3% of the non salary annual budget may be earmarked by
each department for carrying out Disaster Risk Reduction activities.","Agenda ltem 38: Earmarking dedicated budget for undertaking Disaster Risk Reduction activities by
Departments."
,,"Further SEC also directed that 46 proposals amounting to Rs 7256.13 Lakh which are not admissible as
per SDRF norms should be returned to the wRD for suitable substitution.",Annexure-ll (B).
,,"SEC resolved that all works related to flood preparedness and mitigation as
admissible under extant norms of SDRF/SDMF should be allowed to be
sanctioned (FS/AA) and executed expeditiously.","505.854 lakhs under SDMF as placed at Annexure-XII
6."
51,,"SEC further directed that concurrence of Finance Department about creation
of contractual situations under Capacity Building Fund along with ToR which
is already approved by the Hon'ble Cabinet for similar situations in Revenue
Circles.","Karbi Anglong -4
SEC also approved the Terms of Reference (ToR) for Field Officer (DM) to be
engaged in 13 community development blocks in the above districts as
placed at Annexure-ll."
51,,"List of the projects is at Annexure-lV
SEC further directed that budget should be released to district urgently so
that District Commissioner can issue the AA.","L,18,93,2201- of
Power Department under SDRF for the year 2023-24 for immediate
restoration of HT and LT lines, pole and Transformer damaged in storm under
Nalbari Electrical Division in Nalbari District for the year 2O23-24."
51,,"65.00 lakhs for Women & Child
Development Department for temporary repairing of 26 flood damaged AWCs
of Golaghat district,
List of the 2.6 Anganwadi Centres is at Annexure-V
SEC further directed that budget should be released to district urgently so
that District Comrnissioner can issue the AA.","65.00 Lakhs for the year 2022-23
Resolution: SEC approved an amount of Rs."
