source,name,designation,department
10th_SEC_Meeting,Shri Sushil Das,Finance Officer,
10th_SEC_Meeting,Shri Kusumbar Choudhury,Project Officer,
10th_SEC_Meeting,Shri Ananta Samanta,Project Officer,
10th_SEC_Meeting,Shri Bijayanta Goswami,Project Officer,
10th_SEC_Meeting,Shri Pran Krishna Gogoi,Project Officer,
10th_SEC_Meeting,Shri Lohit Gogoi,Project Officer,
10th_SEC_Meeting,Shri Dhanjit Kr. Das,Project Officer,
10th_SEC_Meeting,Smt. Minakshi Das,Project Officer,
10th_SEC_Meeting,Shri Siju Das,Project Officer,
10th_SEC_Meeting,Shri Ronney P. Rajkumar,Project Officer,
10th_SEC_Meeting,Shri Kaustav Talukdar,Project Officer,
10th_SEC_Meeting,Shri Sanjib Das,Project Officer,
10th_SEC_Meeting,Shri Shamim Ahmed Laskar,Project Officer,
10th_SEC_Meeting,Smt. Smita Chetia,Project Officer,
10th_SEC_Meeting,Smt. Ruby Gogoi,Project Officer,
10th_SEC_Meeting,Shri Jayanta Dutta,Project Officer,
10th_SEC_Meeting,Shri Hemant Baishya,Project Officer,
10th_SEC_Meeting,Mohammed Ahmed,Project Officer,
10th_SEC_Meeting,Shri Rupamjyoti Bora,Project Officer,
10th_SEC_Meeting,Vacant,Project Officer,
10th_SEC_Meeting,Vacant,Project Officer,
40th_sec_meeting,"Shri Anok Kumar Tiwari, IAS","Chief Secretary, Govt. of Assam",
40th_sec_meeting,"Shri M.S. Manivannan, IAS",Additional Chief Secretary,
40th_sec_meeting,"Shri Sudhakar Singh, IAS",Commissioner & Secretary,
40th_sec_meeting,"Shri Debashis Kumar, IAS, JRB",Secretary,
40th_sec_meeting,Shri Kuladhar Saikia,Secretary,
40th_sec_meeting,Shri Alexander Prasad Sinha,Secretary & SPC,
40th_sec_meeting,Shri P.K. Das,Joint Secretary,
40th_sec_meeting,Shri Pradip Kumar Dutta,Under Secretary,
40th_sec_meeting,Shri P.K. Laha Choudhury,Under Secretary,
40th_sec_meeting,Shri D. K. Borkakoty,City Engineer,
40th_sec_meeting,Shri M. R. Das,Secy. DLS,
40th_sec_meeting,Shri Nandita Regon Borah,"Nodal Officer, DM",
40th_sec_meeting,Shri Ranjit Sharma,Ass. P. Planner,
40th_sec_meeting,Shri R. K. Patowary,Assistant Engineer,
40th_sec_meeting,Shri Paban Terang,,
41st_sec_meeting,"Shri Kumar Sanjay Krishna, IAS",Chief Secretary,Assam
41st_sec_meeting,"Shri Jishnu Barua, IAS",Addl. Chief Secretary,
41st_sec_meeting,"Shri S. Abbasi, IAS",Addl. Chief Secretary,
41st_sec_meeting,"Shri A.K. Sinha Casshyap, IPS",DG CD & HG,
41st_sec_meeting,Shri Avinash Joshi,,E&F
41st_sec_meeting,Shri Y.K. Gautam,ADGP/Director F&ES,
41st_sec_meeting,Shri Niraj Verma,Principal Secretary,Power
41st_sec_meeting,Shri B. Kalyan C,Principal Secretary,Education
41st_sec_meeting,Shri Samir Kr. Sinha,Principal Secretary,"Finance, T&D Deptt."
41st_sec_meeting,Shri Preetam Saikia,Commissioner & Secretary,Education
41st_sec_meeting,Shri M.S. Manivannan,"Commissioner & Secretary (Revenue & DM) & CEO, ASDMA",
41st_sec_meeting,Shri Gaurav Bothra,Commissioner & Secretary,Handloom & Sericulture
41st_sec_meeting,Shri R. Kemprai,Commissioner & Special Secretary,Water Resources
41st_sec_meeting,Shri Kulendra Talukdar,Commissioner & Secretary,Agriculture
41st_sec_meeting,Shri Rakesh Kumar,Secretary,Irrigation
41st_sec_meeting,Shri Ananda Kr. Das,Joint Secretary,Revenue & DM
41st_sec_meeting,Shri B. Rongpi,C.E.,Water Resources
41st_sec_meeting,Shri Palashjyoti Goswami,Deputy Secretary,WR Deptt.
41st_sec_meeting,Smt. Jayshree Khersa,"Deputy Director, F&E Service",
41st_sec_meeting,Shri Shantanoo Bhattacharyya,PW B&NH Deptt.,
41st_sec_meeting,Shri Prafulla Mahanta,,Agriculture
41st_sec_meeting,Deputy Commissioner,Chairperson,
41st_sec_meeting,"CEO, DDMA",Member,
41st_sec_meeting,"D.I.O, NIC",Member,
41st_sec_meeting,D.F.O,Member,
41st_sec_meeting,Representative of ASDMA,Member,
42nd_sec_meeting,"Shri Jishnu Barua, IAS",Chief Secretary,Assam
42nd_sec_meeting,"Shri Syedain Abbasi, IAS",Addl. Chief Secretary,Water Resources
42nd_sec_meeting,"Dr. Y.K. Gautam, IPS",ADGP cum Director,F& ES
42nd_sec_meeting,"Shri Avinash Joshi, IAS",Principal Secretary,Revenue & DM
42nd_sec_meeting,"Shri B. Kalyan Chakravarthy, IAS",Principal Secretary,Education
42nd_sec_meeting,"Shri Rajesh Prasad, IAS",Principal Secretary and Administrator,BTC
42nd_sec_meeting,"Shri Akash Deep, IAS",Commissioner & Secretary,Agriculture
42nd_sec_meeting,Shri Rajesh Kempari,Commissioner & Spl. Secretary,PWD
42nd_sec_meeting,"Smt. Jolly Das Brahma, ACS",Commissioner & Secretary,P&RD
42nd_sec_meeting,"Shri Rakesh Kumar, IAS",Commissioner & Secretary,Fishery Dept.
42nd_sec_meeting,Shri Ghanshyam Das,Commissioner,GMC
42nd_sec_meeting,Shri Gautam Das,Director,IWT
42nd_sec_meeting,Shri Narayan Prasad Das,Secretary,Public Health Engineering
42nd_sec_meeting,Shri Partha P. Majumdar,Secretary,Social Welfare
42nd_sec_meeting,Shri Subrata Roy Bardhan,Joint Secretary,Health & Family Welfare
42nd_sec_meeting,Shri M.A. Ahmed,Deputy Secretary,PW(B&NH)
42nd_sec_meeting,Shri Bhaben Hazarika,Deputy Secretary,Public Health Engineering
42nd_sec_meeting,Shri Palashjyoti Goswami,Deputy Secretary,Water Resources
42nd_sec_meeting,Smt. Madhumita Nath,Deputy Secretary,UDD
42nd_sec_meeting,Shri Sachindra Das,Under Secretary,Health & Family Welfare
42nd_sec_meeting,Shri Rabindra Ch. Kalita,Under Secretary,
42nd_sec_meeting,Shri Borsing Rongpi,Chief Engineer,Water Resources
42nd_sec_meeting,Shri Dilip Kr. Talukdar,SE,Public Health Engineering
42nd_sec_meeting,Shri Bimal Kalita,Executive Engineer,Irrigation
42nd_sec_meeting,Shri Apurba Kr. Hazarika,Executive Engineer,Public Health Engineering
44th_sec_meeting,Shri Rajesh Dutta,Engineering Consultant,Water Resources
44th_sec_meeting,Shri Mukta Ram Deka,Project Manager (DRR),Water Resources
44th_sec_meeting,Mirza Mahammad Irshad,Project Manager (Response),Water Resources
44th_sec_meeting,Shri Biren Baishya,GIS Expert,Water Resources
44th_sec_meeting,Shri Abhijit Deka,Systems Expert,Water Resources
44th_sec_meeting,"Shri Jishnu Barua, IAS",Chief Secretary,Assam
44th_sec_meeting,P K Borthakur,Addl.CS,T&D
44th_sec_meeting,Avinash Joshi,PS,R & D M
44th_sec_meeting,S N Singh,Spl. DGP (Comm),
44th_sec_meeting,Krishna Das,Assam Police HQRS AIG(R),
44th_sec_meeting,Dr.Sadique Ali Ahmed,"Fire &ES,Assam,SP,Fire&ES",
44th_sec_meeting,"Hiren Das, Deputy Sey PWB (B&NH)",PW(B&NH) Department,
44th_sec_meeting,Abhijit Baruah,Secretary,Soil Conservation
44th_sec_meeting,"Rita Gogoi, Joint Secretary",Secondary Education,
44th_sec_meeting,"Sangita Saikia, OSD",Samagra Siksha,Samagra Siksha
44th_sec_meeting,Gyanendra Tripathi,CEO,ASDMA
44th_sec_meeting,Prasanta Saikia DP(C),APRO,
44th_sec_meeting,"Aswini Neog, SP (CA) Assam",APRO,
44th_sec_meeting,"Mayuri Cheita, Joint Secretary",Finance,
44th_sec_meeting,Roopjyoti Saharia,Agriculture,
44th_sec_meeting,"Esther Kathar, Addl. Secy.",P & R D,
44th_sec_meeting,"Indrani Laskar, Joint Secretary",Health & F.W,
44th_sec_meeting,"Omar Sharif, Joint Secy",Housing & Urban Affairs Department,
44th_sec_meeting,"S C Das, AHGS, Sr. S.O HG (G)","O/O Dir CD & HG, Assam",
44th_sec_meeting,"H. Talukdar, Jr Staff Officer (CD)","O/O the DGCD & DGHG, Assam",
44th_sec_meeting,Leena Das,"Additional Secretary, FCS & CA Deptt",
44th_sec_meeting,Partha P Majumdar,Secretary,Social Welfare Deptt
44th_sec_meeting,"Borsingh Rongpi, Chief Engineer",W.R Deptt.,
44th_sec_meeting,"Nagendra Karmakar, Dep, Secy",W.R Deptt.,
44th_sec_meeting,"Bijoy Kr. Sarma, Dy. Secy",Irrigation Deptt.,
44th_sec_meeting,Bijoy Kr. Swarnakar,PHE/Chief Engineer Sanitation,
44th_sec_meeting,"Dibyajyoti Daurah, Dy Secy",PHE Deptt,
44th_sec_meeting,"Partha P Baruah, State Co-ordinator",SBM-G/ PHE Deptt,
44th_sec_meeting,Prasanta Goswami,Irrigation,
44th_sec_meeting,Sunil Kr Paul,P.W.D (Roads),
44th_sec_meeting,Monjoy Karigapse,WRD,
44th_sec_meeting,Kapil Bayan S.E(P),P.W.R.D,
46th_sec_meeting,Shri Paban Kumar Borthakur,Chief Secretary to the Govt. of Assam,
46th_sec_meeting,Shri S. Abbasi,Additional Chief Secretary to the Govt. of Assam,
46th_sec_meeting,Shri Avinash Joshi,"Principal Secretary, Health & Family Welfare, Assam",
46th_sec_meeting,Shri Mukesh Agarwal,"Special DGP-cum-Director, Fire & Emergency Services, Assam",
46th_sec_meeting,Shri Gyanendra Dev Tripathi,"CEO, ASDMA/ Commissioner & Secretary",
46th_sec_meeting,Dr Karuna Kumari,"Secretary, Revenue & DM, Govt. of Assam",
46th_sec_meeting,Smt. Varshaty Das,"Secretary, Soil Conservation Department, Govt. of Assam",
46th_sec_meeting,Sri Debajit Bhuyan,"Spl. Secretary, PWRD Department, Govt. of Assam",
46th_sec_meeting,Shri Kausar Jamil Hilaly,"Chief Executive Officer, Guwahati Metropolitan Development Authority",
46th_sec_meeting,Shri Rajesh Kemprai,"Spl. Commissioner & Spl. Secretary, PWRD",
46th_sec_meeting,Shri Raj Chakravarty,"Spl. Commissioner & Spl. Secretary, PWRD",
46th_sec_meeting,Shri Tej Prasad Bhusal,"Additional Secretary, Agriculture",
46th_sec_meeting,Shri Deba Kumar Kalita,ACS,"Additional Secretary, Women & Child Development Department"
46th_sec_meeting,Sri Hriday Ranjan Das,Joint Director,"Tourism, Assam"
46th_sec_meeting,Shri Krishna Das,APS,"AIGP (Re-Org), Assam"
46th_sec_meeting,Shri N.K. Debnath,ACS,"Joint Secretary, Fishery"
46th_sec_meeting,Shri Gadadhar Kalita,Executive Engineer,P&RD Department
46th_sec_meeting,Shri Dibajyoti Duarah,Additional Chief Engineer,Public Health Engineering
46th_sec_meeting,Shri Ranadhar Ranjan Paul,Executive Engineer,PWD
46th_sec_meeting,Shri Chandana Deka,Deputy Architect,CCO
46th_sec_meeting,Shri Gautam Talukdar,ACS,Power
46th_sec_meeting,Smti. Sangita Saikia,OSD SSA,Samagra Siksha Abhiyan
46th_sec_meeting,Shri Hiren Das,Deputy Secretary,PW(B&NH)
46th_sec_meeting,Shri Tapan Kr. Gogoi,Technical Director,NIC Assam
46th_sec_meeting_6.12.2022,"Shri Paban Kr. Borthakur, IAS",Chief Secretary,Assam
46th_sec_meeting_6.12.2022,"Shri Syedain Abbasi, IAS",Additional. Chief Secretary,
46th_sec_meeting_6.12.2022,"Shri Prasanta Kumar Bhuyan, IPS",IGP(L&O),
46th_sec_meeting_6.12.2022,"Avinash Joshi, IAS",PS H&FW,
46th_sec_meeting_6.12.2022,"Gyanendra Dev Tripathi, IAS","C&S, (R&D)",
46th_sec_meeting_6.12.2022,"Dr. Om Prakash, IAS",MD SSA,
46th_sec_meeting_6.12.2022,Dr. K Kumari,Secretary,R&DM
46th_sec_meeting_6.12.2022,Dilip Kumar Borah,Secretary,Handloom Textiles
46th_sec_meeting_6.12.2022,Bhaskar Phukan,Secretary,Co ordinator Office of the C.S
46th_sec_meeting_6.12.2022,Prakash Gharphalia,Secretary,Urban Development
46th_sec_meeting_6.12.2022,Munindra Sharma,Secretary,P&RD Dept
46th_sec_meeting_6.12.2022,Nagendra Karmakar,Dep. Secretary,Water Resources
46th_sec_meeting_6.12.2022,Lakshya Jyoti Hazarika,Deputy Secretary,Agriculture
46th_sec_meeting_6.12.2022,Dr. Sadique Ali Ahmed,SP cum Fire Service Adviser,Fire & Emergency Services
46th_sec_meeting_6.12.2022,M M Das,Sr Engineer,PWD
46th_sec_meeting_6.12.2022,Deba Kr. Kalita,Addl. Secretary,Women and Child Development Dept.
46th_sec_meeting_6.12.2022,Tej Prasad Bhusal,Addl. Secretary,Agriculture
46th_sec_meeting_6.12.2022,Jogen Baishya,Irrigation,"C.E, M.I"
46th_sec_meeting_6.12.2022,Tridiv Bora,E.E Irrigation,
46th_sec_meeting_6.12.2022,Varshaty Das,Soil Conservation Dept.,
46th_sec_meeting_6.12.2022,Anasur Dutta Barua,FCS & CA Dept,
46th_sec_meeting_6.12.2022,Bijoy Sarma,PWRD,U/S (Com)
46th_sec_meeting_6.12.2022,Diganta Kumar Baruah,PHED,CE (W)
46th_sec_meeting_6.12.2022,N.K Debnath,Fishery Dept.,
46th_sec_meeting_6.12.2022,Tapan Kr. Gogoi,Sr. Technical Director,NIC
46th_sec_meeting_6.12.2022,Borsing Rongpi,CE,Water Resources
46th_sec_meeting_6.12.2022,P. Saikia,DP(I),Assam
46th_sec_meeting_6.12.2022,A. Narzary,SP(Comm),Assam
46th_sec_meeting_6.12.2022,Chandana Deka,"Capital Construction Division, Deputy Architecture",
46th_sec_meeting_6.12.2022,R. C Borthakur,C.C Division Dispur,
46th_sec_meeting_6.12.2022,A. K Das,Division Secretary,GAD
46th_sec_meeting_6.12.2022,A K Das,"Fisheries, Nodal Officer (DM)",
46th_sec_meeting_6.12.2022,Papul Sakia,"PWRD, o/o CE PWD ®",
46th_sec_meeting_6.12.2022,Er. Saleh Ahmed Choudhury,Addl. CE PWRD Assam,
47th_sec_meeting_10.12.2022,Shri Paban Kumar Borthakur,Chief Secretary,Govt. of Assam
47th_sec_meeting_10.12.2022,Avinash Joshi,Principal Secretary,Health & Family Welfare
47th_sec_meeting_10.12.2022,Gyanendra Dev Tripathi,CEO,ASDMA
47th_sec_meeting_10.12.2022,Binod Kumar,IGP (F&ES),
47th_sec_meeting_10.12.2022,Dr. Om Prakash,MD,SSA
47th_sec_meeting_10.12.2022,Rahul Javir,Joint Secretary,GAD
47th_sec_meeting_10.12.2022,Ranjit Swargiary,Addl. Commissioner,GMC
47th_sec_meeting_10.12.2022,Anasua Dutta Barua,Secretary,FCS & CA
47th_sec_meeting_10.12.2022,Varshaty Das,Secretary,SCD
47th_sec_meeting_10.12.2022,Kavyashree Mahanta,Secretary,Fishery
47th_sec_meeting_10.12.2022,Dibyajyoti Durrah,Addl. Chief Engineer,Public Health Engineering
47th_sec_meeting_10.12.2022,Deba Kumar Kalita,Secretary,Woman and Child Dev.
47th_sec_meeting_10.12.2022,Subrata Roy Bardhan,Secretary,Agriculture
47th_sec_meeting_10.12.2022,R.D. Choudhury,Director,Agriculture
47th_sec_meeting_10.12.2022,Lakshya Jyoti Hazarika,Dy. Secretary,Agriculture
47th_sec_meeting_10.12.2022,Hemanga Talukdar,JSO,"CD & HG, Assam"
47th_sec_meeting_10.12.2022,S.C Das,AHGS,"SSO (HG), CD & HG, Assam"
47th_sec_meeting_10.12.2022,Sanjiv Shyam,Chief Engineer,PWD
47th_sec_meeting_10.12.2022,Debajit Bhuyan,Spl Secretary,Water Resources
47th_sec_meeting_10.12.2022,Hiren Das,Deputy Secretary,DW (B & NH) Dept.
47th_sec_meeting_10.12.2022,Moti Lal Sarkar,Jt. Director Finance,
47th_sec_meeting_10.12.2022,Achitra Sonowal,Dy. Secretary,P&R&D
47th_sec_meeting_10.12.2022,Alakananda Medhi,SPC,ASDMA
47th_sec_meeting_10.12.2022,Deep Pegu,Director Design,Water Resources
47th_sec_meeting_10.12.2022,Tridiv Bora,Executive Engineer,Irrigation
47th_sec_meeting_10.12.2022,Dhiraj Saikia,Chief Engineer,Irrigation
47th_sec_meeting_10.12.2022,P.K. Khaund,Secretary,Irrigation
47th_sec_meeting_10.12.2022,P. Saikia,DP,c
47th_sec_meeting_10.12.2022,A. Narzari,SP,C
47th_sec_meeting_10.12.2022,Krishna Das,AK,R
47th_sec_meeting_10.12.2022,Dr. Sadique Ali Ahmed,SP,"F & ES, Assam"
47th_sec_meeting_10.12.2022,Jeherul Islam,Junior Engineer,SSA
47th_sec_meeting_10.12.2022,Anil Kr Das,Dy. Secretary,GAD
47th_sec_meeting_10.12.2022,R.N. Das,i/c,HDSC (RNP)
47th_sec_meeting_10.12.2022,Bikramaditya Choudhury,H. Director(T),IWT Assam
47th_sec_meeting_10.12.2022,Rajib Gogoi,i/c,Water Resources
47th_sec_meeting_10.12.2022,Pradip Upadhyaya,AEE(M),Water Resources
47th_sec_meeting_10.12.2022,Dhrubajyoti Baishya,Executive Engineer,Irrigation
47th_sec_meeting_10.12.2022,Bedanta Bora,Junior Engineer,Irrigation
