district,amount_inr
Golaghat,17203.299
Udalguri,1951.468
Darrang,317.981
Guwahati City,276.22
Jorhat,274.334
Dibrugarh,267.015
Cachar,221.151
Barpeta,220.688
Kamrup,174.148
udalgur,154.981
Lakhimpur,147.599
Tinsukia,135.796
Kamrup Metropolitan,128.872
Nagaon,126.616
Kokrajhar,121.787
Sonitpur,118.749
Dhemaji,103.941
Dhubri,99.824
Morigaon,84.768
Majuli,83.376
Karbi Anglong,77.959
Sivasagar,74.732
Goalpara,70.771
Gosaigaon/Dhakaukhana/Kaliabor/Nazia/Margherita/Sadiya,70.33
Nalbari,65.01
Bongaigaon,64.722
Dima Hasao,64.598
Chirang,54.303
Baksa,53.232
ASDMA,43.484
Bajali,41.832
Karimganj,41.416
South Salmara-Mankachar,29.308
Biswanath,28.66
Hojai,23.105
Tezpur,22.691
Hailakandi,21.041
Charadeo,19.613
Silchar,17.96
Dhakuakhana,14.56
CID Badarpur,13.6
Bilasipara,12.784
Sivsagar,11.781
Ghy East,11.375
S.Salmara,10.015
Tinisukia,9.95
Bokakhat,9.05
Charaideo,8.789
UAID,8.0
Ghy West,7.3
Rangia,7.03
Tamulpur,6.951
PGP,6.8
Mangaldai,6.693
Mankachar,5.643
Assam,5.421
Kaliabor,4.82
Mangaldoi,4.805
State,4.534
Jonai,3.438
West Karbi Anglong,3.356
Lahowal,3.354
KAIRIGANJ,3.27
Mangaldai Rural,3.002
Tengajhar,3.0
Nathkuchi (Khoirabari),2.999
Parbatjhora,2.99
Gohpur,2.932
Guwahati,2.8
Lakhipur,2.724
Morigao,2.7
Kaliabor Rural,2.628
K Anglong,2.6
Baska (Baska W.R. Divn.),2.352
Charideo,2.306
Guwahati Roads,2.249
Gossaigaon,2.15
Bijni,2.127
DAFANG,2.06
Dharmapur,2.0
NorthSalmara,1.94
Bokajan,1.89
DIMAHASAO,1.84
Darang,1.795
Bilaspara,1.79
SouthSalamaraMankachar,1.61
Golakganj,1.59
N. Salmara,1.55
D Hasao,1.5
Silchar Rural,1.429
Sadiya,1.345
HAKALANDI,1.34
Sarukhetri,1.2
North Salmara,1.15
Abhayapuri,1.13
District,1.089
Barkhetri,1.016
Amguri,0.933
Mushalpur,0.898
Bagbhar,0.8
Rangia Rural,0.751
Tamlpur,0.75
Borajuli,0.75
Sorbhog,0.6
Charideo Rural,0.6
Dholai,0.6
Udharbond,0.6
Katigorah,0.6
Guwahati Road Division,0.6
Dhaulkhana,0.6
Jaleswar,0.6
Bilaspara West,0.6
Borpathar Road Division,0.6
Haflong,0.6
Bilaspara East,0.6
Guwahati Road,0.596
Mushalpur (R&B),0.58
Bihpuria,0.559
Nazira,0.532
Kalaiabor,0.51
Naoboicha,0.467
Barama,0.442
Dispur,0.426
State & District,0.422
29 flood prone districts of Assam,0.406
WestKarbiAnglong,0.39
Dhansiri,0.386
Kalaigaon,0.377
Bhergaon,0.37
Diphu,0.356
Hilakandi,0.338
Titabor,0.32
Bilaspira,0.3
Dalgaon,0.256
Sukla,0.255
Karbianglong,0.25
Hailakhandi,0.25
Mangaldai Revenue Circle,0.216
Salbari,0.21
Chaygaon Revenue Circle,0.205
West Karbianglong,0.2
Morigao (MRG),0.2
Borolia,0.185
Bijini,0.18
PWD Roads,0.17
Chamara Revenue Circle,0.157
DimaHasao,0.15
Balaji,0.15
Diphu Road,0.15
Sipajhar Revenue circle and Patharighat revenue circle,0.143
"Bhabinapur, Patacharkuchi & Sarukhetri",0.131
Maibong,0.13
WEST KARB ANGLO,0.123
CHIRAIIDEO,0.12
DIIEMAJI,0.12
Margherita,0.11
Titabar,0.1
Pathshala,0.098
Mazbat,0.083
DHIEMAJI,0.08
Revenue Circle,0.08
DIBRUGARII,0.08
Barchalla & Dhekalijuli,0.072
Goalghat,0.066
N.Salmara,0.065
Patarkuchi,0.06
KarbiAnglong,0.06
Palashbari Revenue Circle,0.056
Karbi-Anglong,0.053
Ghograpar,0.051
patharighat,0.05
Maibang,0.05
Pathsala,0.045
"PWRD, Dhakuakhana & Naoboicha",0.042
Water Resources Department,0.04
WEST KARBIGANGLONG,0.04
CIIHRANG,0.04
Soil Conservation department,0.03
Irrigation department,0.03
Subansiri,0.015
Kadam,0.014
Hilkandi,0.012
Pachitm,0.01
Bakhakhat,0.01
RIKA,0.01
Tangla,0.008
Halem,0.004
Helem,0.004
Narayanpur,0.004
