meeting_no,meeting_date,amount_text,context
44,,579.00,Rs.579.00 lakhs received from the State budget during 2020-21 and noted the pace of expenditure as
44,,1560.00,Rs.1560.00 lakhs budgeted in the current year (2o2r-221 which would be spent du'ing zoz2-23
44,,57,"expenditure amounting to Rs. 57 ,75,99,75t/- to be executed during 2022-23 (AnnexuretV)."
44,,360.00,Resolution: sEC approved allocation of Rs.360.00 cr. for taking the projects by water Resource
44,,112.00,Resolution: SEC approved allocation of Rs. 112.00 cr for takinS the projects by PWD roads department
44,,347,Resolution: SEC approved allocation of Rs. 347-99 lakhs for for taking the projects by lrrigation
44,,"45,37,041","Resolution: SEC approved the proposals for release of an amount of Rs. 45,37,041/- against 20 proposal"
44,,"2,26,700","Resolution: SEC approved the proposal for release of Rs.2,26,700l- against the above proposal with"
44,,"1,33,36,502","Resolution: sEc approved the proposals for release of an amount of Rs. 1,33,36,502/- against 43"
44,,"29,67,000","to Rs. 29,67,000/- executed by the DC Goalpara invoking section 50 of DM Act 2005."
44,,"3,","amount of Rs. 3, 47,75,841.00 under 10% M&E Head of SDRF (Fy_ 202!_22)."
44,,"4,","Resolution: sEc approved rerease of Rs. 4, 98, s4,733 /- for procurement of Mega phone (54g2), search"
44,,"3,44,2","Achoni"" by utilising Rs. 3,44,2s,49r/- under 10% sDRF (M & E) arready sanctioned by Revenue & D.M."
44,,"1,54,29,242","Department and Rs. 1,54,29,242/- under H/A-Mitigation ofASDMA."
44,,"4,","Agenda ltem 20: Ex-post facto approval ot Rs. 4,s5,2ool- towards procurement of the 4 satellite"
44,,"4,55,200","Resolution: sEC approved expenditure of Rs. 4,55,200/- towards procurement of 4 satellite phone"
44,,"1,95,000","Resolution: sEc approved expenditure of Rs. 1,95,000/- for the Bulk sMS service from BSNL for"
44,,"10,34,580","Agenda ltem 22: Ex-post facto approval for Rs. 10,34,580/- for implementation of 1077 in the 5"
