department,amount_inr
Water Resources,28231.518
Revenue & DM,9703.037
Disaster Management Department,3805.963
PWD,2847.999
Fire & Emergency Services,2603.966
Animal Husbandry & Veterinary,257.449
Home Department,127.977
Soil Conservation,98.543
ASDMA,41.052
PWD (Roads),35.668
PWD (Buildings),21.566
Fishery Department,13.006
Power,7.957
Education,6.648
Irrigation,4.491
Handloom & Textile Department,0.347
Dhubri Civil Sub Division T. R. Division,0.065
Public Health Engineering,0.056
