object_id,Repair and Restoration_expenditure_value,timeperiod
18-323-00226,3866000.0,2020_02
18-325-00239,897390.0,2020_02
18-308-00150,912000.0,2020_03
18-305-00134,697000.0,2020_07
18-304-00128,149800.0,2020_08
18-308-00150,190000.0,2020_08
18-756-00249,2297000.0,2020_08
18-301-00112,6455000.0,2020_09
18-760-00281,150000.0,2020_09
18-756-00249,4778150.0,2020_10
18-310-00158,460000.0,2020_11
18-310-00160,718000.0,2020_11
18-310-00162,535000.0,2020_11
18-310-00164,211000.0,2020_11
18-756-00249,2471700.0,2020_11
18-303-00122,2474400.0,2021_01
18-758-00256,300000.0,2021_01
18-300-00104,11000000.0,2021_02
18-302-00115,429000.0,2021_02
18-302-00117,1825000.0,2021_02
18-302-00119,166000.0,2021_02
18-303-00122,2016600.0,2021_02
18-755-00279,50000000.0,2021_02
18-303-00122,2263000.0,2021_06
18-304-00128,292000.0,2021_06
18-312-00171,2077500.0,2021_06
18-300-00104,12000000.0,2022_04
18-303-00122,148910.0,2022_05
18-304-00128,240000.0,2022_05
18-317-00189,1851500.0,2023_03
18-321-00211,13083272.0,2023_03
18-321-00211,30688248.0,2023_06
18-757-00252,67406461.0,2024_09
