object_id,Others_expenditure_value,timeperiod
18-310-00161,25000000.0,2020_02
18-304-00128,300000.0,2020_10
18-304-00128,709620.0,2020_11
18-310-00160,500000.0,2020_11
18-310-00162,150000.0,2020_11
18-303-00122,890380.0,2021_02
18-303-00122,2680340.0,2022_05
18-313-00175,2424000.0,2023_03
18-317-00189,1318000.0,2023_03
18-323-00226,2224000.0,2023_03
18-325-00269,79805000.0,2023_03
18-326-00246,1636000.0,2023_03
18-325-00269,0.0,2023_06
18-310-00163,3121000.0,2023_07
18-308-00150,5000000.0,2024_07
18-313-00175,192678000.0,2025_02
18-326-00246,24933000.0,2025_02
