,revenue_ci,district_3,district_1,revenue_cr,HQ,area,are_new,mean,count,timeperiod,object_id
0,Gossaigaon (Pt),KOKRAJHAR,Kokrajhar,Gossaigaon (Pt),,1068571780.0,1069,0.6625325588643111,19202,2023_06,18-300-00101
1,Bhowraguri,KOKRAJHAR,Kokrajhar,Bhawraguri,,158892607.3,159,0.5958673330040287,2839,2023_06,18-300-00102
2,Dotoma,KOKRAJHAR,Kokrajhar,Dotoma,,303966231.6,304,0.5526365668323344,5464,2023_06,18-300-00103
3,Kokrajhar (Pt),KOKRAJHAR,Kokrajhar,Kokrajhar (Pt),y,990246710.7,990,0.658169115633601,17803,2023_06,18-300-00104
4,Bagribari (Pt),KOKRAJHAR,Kokrajhar,Bagribari (Pt),,281011470.5,281,0.6572394222228434,5031,2023_06,18-300-00105
5,Golokganj (Pt),KOKRAJHAR,Kokrajhar,Golokganj (Pt),,102804109.1,103,0.6818328658825922,1844,2023_06,18-300-00106
6,Dhubri (Pt),KOKRAJHAR,Kokrajhar,Dhubri (Pt),,124091385.6,124,0.5967319009534496,2214,2023_06,18-300-00107
7,Chapar (Pt),KOKRAJHAR,Kokrajhar,Chapar (Pt),,101233159.3,101,0.653134474113806,1809,2023_06,18-300-00108
8,Bagribari (Pt),DHUBRI,Dhubri,Bagribari (Pt),,212860104.4,213,0.354262595112717,3801,2023_06,18-301-00109
9,Agamoni,DHUBRI,Dhubri,Agamoni,,220975059.2,221,0.4682500518528761,3955,2023_06,18-301-00110
10,Golokganj (Pt),DHUBRI,Dhubri,Golakganj (Pt),,199162500.1,199,0.5209478856863139,3583,2023_06,18-301-00111
11,Dhubri (Pt),DHUBRI,Dhubri,Dhubri (Pt),y,357274694.3,357,0.4158844529536732,6384,2023_06,18-301-00112
12,Bilasipara (Pt),DHUBRI,Dhubri,Bilasipara (Pt),,294886928.3,295,0.5086059686106763,5271,2023_06,18-301-00113
13,Chapar (Pt),DHUBRI,Dhubri,Chapar (Pt),,195049812.7,195,0.4898455287388393,3500,2023_06,18-301-00114
14,Lakhipur,GOALPARA,Goalpara,Lakhipur,,486513089.8,487,0.3196603562026569,8713,2023_06,18-302-00115
15,Balijana,GOALPARA,Goalpara,Balijana,,541158544.1,541,0.4783093395473692,9674,2023_06,18-302-00116
16,Matia,GOALPARA,Goalpara,Matia,,477602971.1,478,0.4800316144128478,8554,2023_06,18-302-00117
17,Dudhnai,GOALPARA,Goalpara,Dudhnoi,,196278296.1,196,0.5945763971926756,3502,2023_06,18-302-00118
18,Rangjuli,GOALPARA,Goalpara,Rangjuli,,277190398.1,277,0.6058589214269487,4952,2023_06,18-302-00119
19,Kalgachia,BARPETA,Barpeta,Kalgachia,,232225684.6,232,0.3602031650172987,4173,2023_06,18-303-00120
20,Baghbor,BARPETA,Barpeta,Baghbor,,512830660.7,513,0.325842086873501,9173,2023_06,18-303-00121
21,Barpeta,BARPETA,Barpeta,Barpeta,y,315725333.4,316,0.4875112481382392,5665,2023_06,18-303-00122
22,Sarthebari,BARPETA,Barpeta,Sarthebari,,261719921.4,262,0.524463681195409,4694,2023_06,18-303-00123
23,Bajali (Pt),BAJALI,Barpeta,Bajali (Pt),,167129509.3,167,0.5336438167556742,2996,2023_06,18-799-00124
24,Jalah (Pt),BAJALI,Barpeta,Jalah (Pt),,41272560.57,41,0.5098122916357488,737,2023_06,18-799-00125
25,Bhuragaon,MORIGAON,Morigaon,Bhuragaon,,218905955.5,219,0.293355135283578,3933,2023_06,18-304-00126
26,Laharighat,MORIGAON,Morigaon,Laharighat,,232534594.4,233,0.3366834005940951,4166,2023_06,18-304-00127
27,Marigaon,MORIGAON,Morigaon,Morigaon,y,389659479.6,390,0.4859805622357767,6978,2023_06,18-304-00128
28,Mikirbheta,MORIGAON,Morigaon,Mikirbheta,,183812069.7,184,0.5071259054319992,3295,2023_06,18-304-00129
29,Kaliabor,NAGAON,Nagaon,Kaliabor,,580444524.8,580,0.5290890215676539,4972,2023_06,18-305-00130
30,Samaguri,NAGAON,Nagaon,Samaguri,,342479635.6,342,0.5421976917382367,6142,2023_06,18-305-00131
31,Rupahi,NAGAON,Nagaon,Rupahi,,305559066.5,306,0.5036985085227272,5500,2023_06,18-305-00132
32,Dhing,NAGAON,Nagaon,Dhing,,247888462.7,248,0.4315765044898618,4451,2023_06,18-305-00133
33,Nagaon,NAGAON,Nagaon,Nagaon,y,372041429.1,372,0.4852541842644965,6674,2023_06,18-305-00134
34,Raha,NAGAON,Nagaon,Raha,,340889151.3,341,0.4669629450742046,6098,2023_06,18-305-00135
35,Kampur,NAGAON,Nagaon,Kampur,,375122906.9,375,0.4510237831446447,6713,2023_06,18-305-00136
36,Dhekiajuli (Pt),SONITPUR,Sonitpur,Dhekiajuli (Pt),,1231160620.0,1231,0.4869913705734224,22139,2023_06,18-306-00137
37,Chariduar,SONITPUR,Sonitpur,Chariduar,,999613694.8,1000,0.5800621727066896,17998,2023_06,18-306-00138
38,Tezpur,SONITPUR,Sonitpur,Tezpur,y,546146490.7,546,0.3147275715348964,9804,2023_06,18-306-00139
39,Na-Duar,SONITPUR,Sonitpur,Naduar,,668195595.7,668,0.4496420585310307,10401,2023_06,18-306-00140
40,Narayanpur,LAKHIMPUR,Lakhimpur,Narayanpur,,380387815.9,380,,0,2023_06,18-307-00141
41,Bihpuria,LAKHIMPUR,Lakhimpur,Bihpuria,,406987947.4,407,0.4912577805910429,329,2023_06,18-307-00142
42,Naobaicha,LAKHIMPUR,Lakhimpur,Nowboicha,,329777873.3,330,0.5190476167178106,2495,2023_06,18-307-00143
43,Kadam,LAKHIMPUR,Lakhimpur,Kadam,,523299066.2,523,0.5636389614563505,9456,2023_06,18-307-00144
44,North Lakhimpur,LAKHIMPUR,Lakhimpur,North Lakhimpur,y,615562945.6,616,0.5222727148674817,9876,2023_06,18-307-00145
45,Dhakuakhana (Pt-I),LAKHIMPUR,Lakhimpur,Dhakuakhana (Pt-I),,462433414.6,462,0.5210540165078106,8354,2023_06,18-307-00146
46,Subansiri (Pt-I),LAKHIMPUR,Lakhimpur,Subansiri (Pt-I),,279641275.4,280,0.623829825385833,5054,2023_06,18-307-00147
47,Dhakuakhana (Pt-II),DHEMAJI,Dhemaji,Dhakuakhana (Pt-II),,8932180.563,9,0.6172178268432618,160,2023_06,18-308-00148
48,Subansiri (Pt-II),DHEMAJI,Dhemaji,Subansiri (Pt-II),,155210841.0,155,0.6452135226615343,2809,2023_06,18-308-00149
49,Dhemaji,DHEMAJI,Dhemaji,Dhemaji,y,396211702.6,396,0.570862676056338,7171,2023_06,18-308-00150
50,Sissibargaon,DHEMAJI,Dhemaji,Sissiborgaon,,745985547.0,746,0.5229365004578586,13514,2023_06,18-308-00151
51,Jonai,DHEMAJI,Dhemaji,Jonai,,852661889.7,853,0.4159025151343208,15476,2023_06,18-308-00152
52,Gogamukh,DHEMAJI,Dhemaji,Gogamukh,,323763379.2,324,0.5607166287031117,5865,2023_06,18-308-00153
53,Sadiya,TINSUKIA,Tinsukia,Sadiya,,851463185.0,851,0.5023570369083031,15464,2023_06,18-309-00154
54,Doom Dooma,TINSUKIA,Tinsukia,Doom Dooma,,936656924.2,937,0.6009730630599104,16967,2023_06,18-309-00155
55,Tinsukia,TINSUKIA,Tinsukia,Tinsukia,y,890346165.2,890,0.6062529656995662,16135,2023_06,18-309-00156
56,Margherita,TINSUKIA,Tinsukia,Margherita,,1132319376.0,1132,0.6668827480284681,20479,2023_06,18-309-00157
57,Dibrugarh West,DIBRUGARH,Dibrugarh,Dibrugarh West,,723055766.0,723,0.3244034434663873,13068,2023_06,18-310-00158
58,Dibrugarh East,DIBRUGARH,Dibrugarh,Dibrugarh East,,392607310.5,393,0.3543256467527097,7104,2023_06,18-310-00159
59,Chabua,DIBRUGARH,Dibrugarh,Chabua,,658137348.7,658,0.2833323385421039,11911,2023_06,18-310-00160
60,Tengakhat,DIBRUGARH,Dibrugarh,Tengakhat,,355331353.1,355,0.6024874567726143,6434,2023_06,18-310-00161
61,Moran,DIBRUGARH,Dibrugarh,Moran,,394752534.0,395,0.5687203961936124,7127,2023_06,18-310-00162
62,Tingkhong,DIBRUGARH,Dibrugarh,Tingkhong,,391326093.4,391,0.5989252014418999,7074,2023_06,18-310-00163
63,Naharkatiya,DIBRUGARH,Dibrugarh,Naharkatia,,464307367.8,464,0.6290546143945941,8389,2023_06,18-310-00164
64,Dimow,SIVSAGAR,SIVSAGAR,Demow,,478427786.7,478,0.5247607003518971,8170,2023_06,18-311-00165
65,Sibsagar,SIVSAGAR,SIVSAGAR,Sivsagar,y,388026773.7,388,0.4237436899038461,1625,2023_06,18-311-00166
66,Amguri,SIVSAGAR,SIVSAGAR,Amguri,,314868728.7,315,,0,2023_06,18-311-00167
67,Nazira,SIVSAGAR,SIVSAGAR,Nazira,,386224425.1,386,,0,2023_06,18-311-00168
68,Teok,JORHAT,Jorhat,Teok,,449551926.2,450,,0,2023_06,18-312-00169
69,Titabor,JORHAT,Jorhat,Titabor,,419204313.3,419,,0,2023_06,18-312-00170
70,Mariani,JORHAT,Jorhat,Mariani,,436514584.8,437,,0,2023_06,18-312-00171
71,Bokakhat,GOLAGHAT,Golaghat,Bokakhat,,850138736.1,850,,0,2023_06,18-313-00172
72,Khumtai,GOLAGHAT,Golaghat,Khumtai,,473079404.2,473,,0,2023_06,18-313-00173
