,revenue_ci,district_3,district_1,revenue_cr,HQ,area,are_new,mean,count,timeperiod,object_id
0,Gossaigaon (Pt),KOKRAJHAR,Kokrajhar,Gossaigaon (Pt),,1068571780.0,1069,-0.0602248611661029,19179,2021_05,18-300-00101
1,Bhowraguri,KOKRAJHAR,Kokrajhar,Bhawraguri,,158892607.3,159,-0.0144973628443622,2836,2021_05,18-300-00102
2,Dotoma,KOKRAJHAR,Kokrajhar,Dotoma,,303966231.6,304,-0.0450586702256308,5459,2021_05,18-300-00103
3,Kokrajhar (Pt),KOKRAJHAR,Kokrajhar,Kokrajhar (Pt),y,990246710.7,990,-0.1165165179417982,17798,2021_05,18-300-00104
4,Bagribari (Pt),KOKRAJHAR,Kokrajhar,Bagribari (Pt),,281011470.5,281,-0.0015478929358335,5025,2021_05,18-300-00105
5,Golokganj (Pt),KOKRAJHAR,Kokrajhar,Golokganj (Pt),,102804109.1,103,-0.0113070524715562,1843,2021_05,18-300-00106
6,Dhubri (Pt),KOKRAJHAR,Kokrajhar,Dhubri (Pt),,124091385.6,124,-0.0813918764136778,2214,2021_05,18-300-00107
7,Chapar (Pt),KOKRAJHAR,Kokrajhar,Chapar (Pt),,101233159.3,101,-0.115431540172009,1807,2021_05,18-300-00108
8,Bagribari (Pt),DHUBRI,Dhubri,Bagribari (Pt),,212860104.4,213,-0.04621925765698,3799,2021_05,18-301-00109
9,Agamoni,DHUBRI,Dhubri,Agamoni,,220975059.2,221,-0.0682520426329408,3955,2021_05,18-301-00110
10,Golokganj (Pt),DHUBRI,Dhubri,Golakganj (Pt),,199162500.1,199,-0.065175061785309,3580,2021_05,18-301-00111
11,Dhubri (Pt),DHUBRI,Dhubri,Dhubri (Pt),y,357274694.3,357,-0.0300295790466203,6381,2021_05,18-301-00112
12,Bilasipara (Pt),DHUBRI,Dhubri,Bilasipara (Pt),,294886928.3,295,-0.0488827671000355,5270,2021_05,18-301-00113
13,Chapar (Pt),DHUBRI,Dhubri,Chapar (Pt),,195049812.7,195,-0.0745620836561562,3499,2021_05,18-301-00114
14,Lakhipur,GOALPARA,Goalpara,Lakhipur,,486513089.8,487,0.0009715102485531,8711,2021_05,18-302-00115
15,Balijana,GOALPARA,Goalpara,Balijana,,541158544.1,541,-0.0093069650517871,9670,2021_05,18-302-00116
16,Matia,GOALPARA,Goalpara,Matia,,477602971.1,478,0.0333746360022919,8549,2021_05,18-302-00117
17,Dudhnai,GOALPARA,Goalpara,Dudhnoi,,196278296.1,196,0.0396807728870333,3502,2021_05,18-302-00118
18,Rangjuli,GOALPARA,Goalpara,Rangjuli,,277190398.1,277,0.0072205135571303,4949,2021_05,18-302-00119
19,Kalgachia,BARPETA,Barpeta,Kalgachia,,232225684.6,232,-0.0552144383115789,4173,2021_05,18-303-00120
20,Baghbor,BARPETA,Barpeta,Baghbor,,512830660.7,513,-0.0158526223327949,9171,2021_05,18-303-00121
21,Barpeta,BARPETA,Barpeta,Barpeta,y,315725333.4,316,-0.101053090366699,5662,2021_05,18-303-00122
22,Sarthebari,BARPETA,Barpeta,Sarthebari,,261719921.4,262,-0.0808902865630492,4694,2021_05,18-303-00123
23,Bajali (Pt),BAJALI,Barpeta,Bajali (Pt),,167129509.3,167,-0.0060419829272395,2994,2021_05,18-799-00124
24,Jalah (Pt),BAJALI,Barpeta,Jalah (Pt),,41272560.57,41,-0.0089146300502445,736,2021_05,18-799-00125
25,Bhuragaon,MORIGAON,Morigaon,Bhuragaon,,218905955.5,219,-0.017562470382737,3932,2021_05,18-304-00126
26,Laharighat,MORIGAON,Morigaon,Laharighat,,232534594.4,233,-0.1020206447751561,4164,2021_05,18-304-00127
27,Marigaon,MORIGAON,Morigaon,Morigaon,y,389659479.6,390,-0.022123751742211,6973,2021_05,18-304-00128
28,Mikirbheta,MORIGAON,Morigaon,Mikirbheta,,183812069.7,184,-0.0668775863045262,3294,2021_05,18-304-00129
29,Kaliabor,NAGAON,Nagaon,Kaliabor,,580444524.8,580,-0.0084743080054853,10407,2021_05,18-305-00130
30,Samaguri,NAGAON,Nagaon,Samaguri,,342479635.6,342,-0.0180747425530947,6141,2021_05,18-305-00131
31,Rupahi,NAGAON,Nagaon,Rupahi,,305559066.5,306,-0.1421180530894886,5500,2021_05,18-305-00132
32,Dhing,NAGAON,Nagaon,Dhing,,247888462.7,248,-0.1378700395188581,4451,2021_05,18-305-00133
33,Nagaon,NAGAON,Nagaon,Nagaon,y,372041429.1,372,-0.0046592516894106,6673,2021_05,18-305-00134
34,Raha,NAGAON,Nagaon,Raha,,340889151.3,341,-0.0103460355081987,6094,2021_05,18-305-00135
35,Kampur,NAGAON,Nagaon,Kampur,,375122906.9,375,0.0096451951607988,6711,2021_05,18-305-00136
36,Dhekiajuli (Pt),SONITPUR,Sonitpur,Dhekiajuli (Pt),,1231160620.0,1231,-0.0314940882106285,22125,2021_05,18-306-00137
37,Chariduar,SONITPUR,Sonitpur,Chariduar,,999613694.8,1000,-0.0319891213933456,17993,2021_05,18-306-00138
38,Tezpur,SONITPUR,Sonitpur,Tezpur,y,546146490.7,546,0.0039910318607749,9802,2021_05,18-306-00139
39,Na-Duar,SONITPUR,Sonitpur,Naduar,,668195595.7,668,0.016376610227441,12022,2021_05,18-306-00140
40,Narayanpur,LAKHIMPUR,Lakhimpur,Narayanpur,,380387815.9,380,-0.031610250960586,6846,2021_05,18-307-00141
41,Bihpuria,LAKHIMPUR,Lakhimpur,Bihpuria,,406987947.4,407,-0.053659269331066,7337,2021_05,18-307-00142
42,Naobaicha,LAKHIMPUR,Lakhimpur,Nowboicha,,329777873.3,330,-0.0762906466686073,5958,2021_05,18-307-00143
43,Kadam,LAKHIMPUR,Lakhimpur,Kadam,,523299066.2,523,-0.0445176818227485,9448,2021_05,18-307-00144
44,North Lakhimpur,LAKHIMPUR,Lakhimpur,North Lakhimpur,y,615562945.6,616,-0.0596898490703089,11105,2021_05,18-307-00145
45,Dhakuakhana (Pt-I),LAKHIMPUR,Lakhimpur,Dhakuakhana (Pt-I),,462433414.6,462,-0.0467117327844311,8350,2021_05,18-307-00146
