Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Principal Secretary- P and RD- Assam Secretariat||Assam State Rural Livelihoods Mission Society,ASRLM/Hiring-SA/6450/FY 2025-26/01,2026_PNRD_51424_1,Yes,Open Tender,EOI,Services,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,EoI,21-Feb-2026 05:00 PM,09-Mar-2026 03:30 PM,21-Feb-2026 05:00 PM,09-Mar-2026 03:00 PM,NA ,NA ,05-Mar-2026 09:00 AM,09-Mar-2026 03:00 PM,0.0,No,fixed,,Nil,Nil,0.0,Nil,Nil,No,State Mission Director,"Assam State Rural Livelihoods Mission Sivanath Gogoi Path, Panjabari, Guwahati-781037.",EOI FOR SHORTLISTING OF ELIGIBLE CHARTERED ACCOUNTANT FIRM,EOI FOR SHORTLISTING OF ELIGIBLE CHARTERED ACCOUNTANT FIRM EMPANELED UNDER COMPTROLLER AND AUDITOR GENERAL (CAG) TO PARTICIPATE IN THE RFP PROCESS FOR HIRING STATUTORY AUDITOR FOR CONDUCTING STATUTORY AUDIT OF ASRLMS FOR THE FY 2025-26,Please refer Tender documents. ,NA ,"30,00,000",Consultancy,NA ,Tender,120.0,NA ,Guwahati,781037.0,Guwahati ,"Office of the State Mission Director, Assam State Rural Livelihoods Mission, Sivanath Gogoi Path, Panjabari, Guwahati-781037, Assam ",27-Feb-2026 11:00 AM ,Guwahati,No ,No,AOC,22-Apr-2026,INR 0,90.0,Kankan Jyoti Borah,22-Apr-2026 04:02 PM,RFPSA2026.pdf (1516.00 KB),1.0,300873.0,Komandoor and Co LLP,INR,0.0,1,300816,A JOHN MORIS & CO,09-Mar-2026 12:16 PM,Accepted-AOC,Selected for Next Stage,22-Apr-2026 04:02 PM,Finance,Summary,Kankan Jyoti Borah,10-Apr-2026 11:53 AM,finance_81659.pdf,State Mission Director,Internal,,Kankan Jyoti Borah,22-Apr-2026 03:47 PM,finsummary_81659.pdf (1515.65 KB),Principal Secretary- P and RD- Assam Secretariat||Assam State Rural Livelihoods Mission Society,2026_PNRD_51424_1,ASRLM/Hiring-SA/6450/FY 2025-26/01,EOI FOR SHORTLISTING OF ELIGIBLE CHARTERED ACCOUNTANT FIRM,State Mission Director,Internal,,Kankan Jyoti Borah,10-Apr-2026 12:07 PM,techsummary_81659.pdf (9302.77 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,300854.0,Thakur Bhuwanesh and Associates,INR,0.0,2,300836,Anurag Bhaiyya and Associates,09-Mar-2026 12:10 PM,Not Admitted-Fee/PreQual/Technical/Finance,Price Bid not complied,10-Apr-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,300849.0,SPRKCO,INR,0.0,3,300706,APT AND CO LLP,07-Mar-2026 04:37 PM,Accepted-AOC,Selected for Next Stage,22-Apr-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,300845.0,P GAGGAR AND ASSOCIATES,INR,0.0,4,300710,ASIJA & ASSOCIATES LLP,09-Mar-2026 11:41 AM,Accepted-AOC,Selected for Next Stage,22-Apr-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,300816.0,A JOHN MORIS & CO,INR,0.0,5,300682,B L PUROHIT & CO,07-Mar-2026 08:56 PM,Not Admitted-Fee/PreQual/Technical/Finance,Price Bid not complied,10-Apr-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6.0,300733.0,Hari Singh and Associates,INR,0.0,6,300733,Hari Singh and Associates,09-Mar-2026 01:15 PM,Accepted-AOC,Selected for Next Stage,22-Apr-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7.0,300710.0,ASIJA & ASSOCIATES LLP,INR,0.0,7,300855,J SINGH AND ASSOCIATES,09-Mar-2026 01:52 PM,Not Admitted-Fee/PreQual/Technical/Finance,Price Bid not complied,10-Apr-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8.0,300706.0,APT AND CO LLP,INR,0.0,8,300873,Komandoor and Co LLP,09-Mar-2026 02:27 PM,Accepted-AOC,Selected for Next Stage,22-Apr-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9.0,300516.0,S Guha & Associates,INR,0.0,9,300845,P GAGGAR AND ASSOCIATES,09-Mar-2026 12:29 PM,Accepted-AOC,Selected for Next Stage,22-Apr-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,300766,RAO AND EMMAR,08-Mar-2026 05:39 PM,Not Admitted-Fee/PreQual/Technical/Finance,Price Bid not complied,10-Apr-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,AOC
