Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_41_JJM_20_21_T_31481_87,2021_PHED_21286_1,Yes,Open Tender,Empanelment,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid ID or Unique ID of empanelled bidder and Work experience if any,17-Feb-2021 04:30 PM,04-Mar-2021 03:00 PM,17-Feb-2021 04:30 PM,03-Mar-2021 04:00 PM,NA ,NA ,17-Feb-2021 05:00 PM,03-Mar-2021 04:00 PM,0.0,No,fixed,,Nil,Nil,0.0,Nil,Nil,No,CE PHE Water Assam,"Hengrabari, Guwahati-36",Fixation of rates of items of new PWSS for Dima Hasao under JJM Assam,Fixation of rates for different items of new PWSS to be executed under JJM Assam for Dima Hasao Zone,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Empanelment,90.0,365.0,Dima Hasao,788931.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,AOC,28-Jul-2025,INR 0,365.0,Milan Kalita,28-Jul-2025 06:35 PM,FinOpeningSummery_AOC_RFP_34_2020_21.pdf (220.00 KB),AOC for Fixation of rates of items of new PWSS for Dima Hasao under JJM Assam,1,116166,Frontier Sales Corporation,INR,0,1,115265,ABIJIT BODO,21-Feb-2021 06:15 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,Finance,Evaluation report,Mrinal Kumar Kalita,03-Apr-2022 12:20 PM,,BOQ Comparative Chart,A.D. Choudhury,Internal,,Milan Kalita,28-Jul-2025 06:22 PM,finsummary_33206.pdf (219.78 KB),Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2021_PHED_21286_1,PHE_41_JJM_20_21_T_31481_87,Fixation of rates of items of new PWSS for Dima Hasao under JJM Assam,"Chief Engineer, PHE",Internal,,Pallabi Baruah,08-May-2022 06:25 PM,techsummary_33206.pdf (207.05 KB),AOC
,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,116144,D.J. INFOSYSTEMS,INR,0,2,116143,ADTECH INDUSTRIES GLOBAL PRIVATE LIMITED,02-Mar-2021 06:34 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,116143,ADTECH INDUSTRIES GLOBAL PRIVATE LIMITED,INR,0,3,115143,Arban Joel Kachari,20-Feb-2021 06:51 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,116138,HYDROVERVE TECHNOLOGIES INDIA PRIVATE LIMITED,INR,0,4,115757,ARJUN GHIMIRE,25-Feb-2021 01:31 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,116126,BHAWANI MARKETING PVT.LTD,INR,0,5,116126,BHAWANI MARKETING PVT.LTD,03-Mar-2021 12:01 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,115959,Lwithw Narzary,INR,0,6,115240,BICHANON BATHARI,21-Feb-2021 05:06 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,115874,Sri Laltuorpui Hmar,INR,0,7,115163,BIKANJOY HOJAI,20-Feb-2021 08:08 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,115873,Sri David Phonglo,INR,0,8,115229,BIMAL HANSE,21-Feb-2021 04:15 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,115871,Haron Daulagapu,INR,0,9,115236,BISHOP BATHARI,21-Feb-2021 04:50 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,115868,Sri Rajech Choudhury,INR,0,10,115201,BISWAJIT PAUL,21-Feb-2021 12:52 PM,Accepted-AOC,Qualified,28-Jul-2025 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
