Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Tender Fee n EMD Receipt,14-Nov-2025 09:00 AM,28-Nov-2025 02:30 PM,14-Nov-2025 09:00 AM,28-Nov-2025 02:00 PM,14-Nov-2025 09:00 AM ,21-Nov-2025 11:00 AM ,14-Nov-2025 09:00 AM,28-Nov-2025 02:00 PM,06-Dec-2025 03:30 PM,"3,67,160",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,No,1.0,SBI Bank,Public Works Roads Department,ARRBP/BR/01/2024/E696387/41,2025_PWD_48556_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"CE (EAP) PWRD, Fatasil Ambari","O/o the CE (EAP) PWRD, Fatasil Ambari, Assam, Guwahati-25",Karimganj/09 i) Br.No. 2/1 on Sonakhira ii) Br.No. 1/2 on Sonakhira Bubrighat,CE/EAP/ARRBP/ OCB/Bridges 2/Karimganj/09 Construction (Widening) of Bridges in Karimganj district i) Br.No. 2/1 on Sonakhira Bubrighat road to Adhamtilla ii) Br.No. 1/2 on Sonakhira Bubrighat road to Adhamtilla,Please refer Tender documents. ,NA ,"1,83,58,000",Civil Works - Bridges,NA ,Tender,90.0,540.0,Karimganj District,788806.0,"O/o the CE (EAP) PWRD, Fatasil Ambari ","O/o the CE (EAP) PWRD, Fatasil Ambari, Assam, Guwahati-25 ",21-Nov-2025 11:00 AM ,"O/o the CE (EAP) PWRD, Fatasil Ambari",No ,No,AOC,1.0,287787.0,NANDAN DAS,27-Nov-2025 08:17 PM,Accepted-AOC,Work Awarded,22-Jul-2026 11:56 AM,"CE (EAP),PWRD,Assam",Internal,,Shubham Sen,06-Dec-2025 03:14 PM,06-Dec-2025 03:30 PM,techsummary_77237.pdf (73.32 KB),1.0,287787.0,NANDAN DAS,INR,"20,000,000",22-Jul-2026,"INR 20,000,000",540.0,Pallav Paban Baruah,22-Jul-2026 11:56 AM,letterofaward.pdf (19.00 KB),Finance,opened,Pallav Paban Baruah,22-Jul-2026 11:38 AM,,BOQ Comparative Chart,Chief Engineer EAP,Internal,,Pallav Paban Baruah,22-Jul-2026 11:51 AM,finsummary_77237.pdf (104.62 KB),Technical,Tehcnical Bid has been opened,Shubham Sen,05-Dec-2025 04:33 PM,,Public Works Roads Department,2025_PWD_48556_17,ARRBP/BR/01/2024/E696387/41,Karimganj/09 i) Br.No. 2/1 on Sonakhira ii) Br.No. 1/2 on Sonakhira Bubrighat,AOC
,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,287830.0,Sri Giriraj Bhattacharjee,28-Nov-2025 12:26 PM,Rejected-Technical,Technically disqualified,06-Dec-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Technical Qualification Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Letter of Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Letter of Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
