Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
14-Mar-2026 10:00 AM,30-Mar-2026 03:00 PM,14-Mar-2026 10:00 AM,30-Mar-2026 02:00 PM,14-Mar-2026 11:00 AM ,18-Mar-2026 11:00 AM ,25-Mar-2026 10:00 AM,30-Mar-2026 02:00 PM,"2,000",Nil,Nil,No,Empanelment of New HSC Contractor,Empanelment of Contractors under Parallel Rate contract for providing Drinking Water House Service Connections in South central and North Guwahati area under JICA Assisted Guwahati Water Supply Project and South Guwahati West Water Supply Project,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Rate Contract,90.0,365.0,Guwahati,781004.0,NA ,NA ,NA ,Online at Guwahati,No ,No,"1,00,000",Yes,fixed,,Nil,Nil,Department of Housing and Urban Affairs||Guwahati Metropolitan Drinking Water and Sewerage Board,HSC/2025/IFB-05,2026_DHUA_51944_1,Yes,Open Tender,Empanelment,Works,1.0,No,No,Online,No,No,No,Managing Director,Office of Managing Director Jal Board Building Dr Bhupen Hazarika Path Kharghuli Guwahati,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Bid,1.0,SBI Bank,AOC,Secretary,Internal,,DIPJYOTI HAZARIKA,09-Jul-2026 11:26 AM,techsummary_82297.pdf (567.21 KB),1,302622,DNA INFRASTRUCTURE,30-Mar-2026 11:57 AM,Accepted-AOC,Technically responsive,14-Jul-2026 05:42 PM,Finance,"Bid Opened on 30-03-2026 at 3.P.M , Total no of 10 Bidders",Rupjyoti Talukdar,30-Mar-2026 04:15 PM,,1.0,302637.0,Tazuddin Ahmed,INR,0.0,09-Jul-2026,INR 0,365.0,DIPJYOTI HAZARIKA,14-Jul-2026 05:41 PM,NotificationawardHSCnew.pdf (567.00 KB),Department of Housing and Urban Affairs||Guwahati Metropolitan Drinking Water and Sewerage Board,2026_DHUA_51944_1,HSC/2025/IFB-05,Empanelment of New HSC Contractor,Secretary,Internal,,DIPJYOTI HAZARIKA,09-Jul-2026 11:36 AM,finsummary_82297.pdf (143.56 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,302578,Imran Hussain,30-Mar-2026 01:32 AM,Rejected-Technical,Technically non responsive,09-Jul-2026 11:26 AM,,,,,,2.0,302622.0,DNA INFRASTRUCTURE,INR,0.0,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,302495,LAPADDY TRADERS,30-Mar-2026 12:37 PM,Accepted-AOC,Technically Responsive,14-Jul-2026 05:42 PM,,,,,,3.0,302603.0,MS SUNRISE ENTERPRISE,INR,0.0,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,302554,M/S BORLUIT CONSTRUCTION AND CO,30-Mar-2026 01:06 PM,Rejected-Technical,Technically non responsive,09-Jul-2026 11:26 AM,,,,,,4.0,302576.0,S.S. ENTERPRISES,INR,0.0,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,302657,M/S M.R. ENTERPRISE,30-Mar-2026 01:47 PM,Rejected-Technical,Technically non responsive,09-Jul-2026 11:26 AM,,,,,,5.0,302495.0,LAPADDY TRADERS,INR,0.0,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,302603,MS SUNRISE ENTERPRISE,30-Mar-2026 12:52 PM,Accepted-AOC,Technically Responsive,14-Jul-2026 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,302595,SHIVAM HOUSE OF ENTERPRISE,30-Mar-2026 01:05 PM,Rejected-Technical,Technically non responsive,09-Jul-2026 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,302576,S.S. ENTERPRISES,29-Mar-2026 09:46 PM,Accepted-AOC,Technically Responsive,14-Jul-2026 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,302637,Tazuddin Ahmed,30-Mar-2026 11:36 AM,Accepted-AOC,Technically Responsive,14-Jul-2026 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,302663,UNIQUE TRADERS,30-Mar-2026 01:57 PM,Rejected-Technical,Technically non responsive,09-Jul-2026 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
