Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,EAP/ARRBP eCF No. 720769/5,2025_PWD_48888_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,000",Nil,Nil,No,"CE (EAP) PWRD, Fatasil Ambari","O/o the CE (EAP)PWRD, Fatasil Ambari",1.0,SBI Bank,"4,43,440",Yes,fixed,,Nil,Nil,Jorhat/14 Construction of Bridge Jorhat District Br on Assam Nagaland Border Road,Construction of Bridge Jorhat District Br on Assam Nagaland Border Road,Please refer tender document ,NA ,"2,21,72,000",Civil Works - Bridges,NA ,Tender,90.0,720.0,Jorhat District,785636.0,"O/o the CE (EAP)PWRD, Fatasil Ambari ","O/o the CE (EAP)PWRD, Fatasil Ambari ",08-Dec-2025 11:00 AM ,"O/o the CE (EAP)PWRD, Fatasil Ambari",No ,No,01-Dec-2025 09:00 AM,15-Dec-2025 02:30 PM,01-Dec-2025 09:00 AM,15-Dec-2025 02:00 PM,01-Dec-2025 09:00 AM ,08-Dec-2025 11:00 AM ,01-Dec-2025 09:00 AM,15-Dec-2025 02:00 PM,31-Dec-2025 04:50 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD Receipt,AOC,1.0,289231.0,Sri Moniram Sahu,INR,"20,027,938.41",Finance,Technical Bids has been opened,Shubham Sen,31-Dec-2025 04:55 PM,,BOQ Comparative Chart,28-Jul-2026,"INR 20,027,938.41",720.0,Shubham Sen,28-Jul-2026 02:08 PM,FWOJor14.pdf (254.00 KB),Jorhat/14 Construction of Bridge Jorhat District Br on Assam Nagaland Border Road,Technical,Technical Bids has been opened,Shubham Sen,31-Dec-2025 04:24 PM,,Chief Engineer EAP PWRD,Internal,,Shubham Sen,28-Jul-2026 02:04 PM,finsummary_77646.pdf (253.88 KB),Public Works Roads Department,2025_PWD_48888_16,EAP/ARRBP eCF No. 720769/5,Jorhat/14 Construction of Bridge Jorhat District Br on Assam Nagaland Border Road,1.0,289260.0,Sri Girin Chutia,15-Dec-2025 12:35 PM,Rejected-Finance,L2 Bidder,28-Jul-2026 02:04 PM,"CE (EAP),PWRD,Assam",Internal,,Shubham Sen,31-Dec-2025 04:37 PM,31-Dec-2025 04:50 PM,techsummary_77646.pdf (70.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,289231.0,Sri Moniram Sahu,15-Dec-2025 12:09 PM,Accepted-AOC,L1 Bidder,28-Jul-2026 02:08 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Specification,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Detail,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Technical Bid,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Financial Bid,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
