S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,284061.0,IRCLASS SYSTEMS AND SOLUTIONS PVT LTD,INR,"52,316,000",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_47702_1,I/1261087/2025 Dated 25-09-2025,"Project Management Consultancy (PMC) services for the work Establishment of New Medical College and Hospital with GNM School and B.Sc Nursing School for 100 Admissions Annual intake at Darrang, Assam",CE PWD(Bldg),Internal,,ABIDUR RAHMAN,20-Dec-2025 01:02 PM,22-Dec-2025 02:30 PM,techsummary_76082.pdf (114.79 KB),20-Jul-2026,"INR 52,316,000",900.0,ABIDUR RAHMAN,20-Jul-2026 01:14 PM,AOC.pdf (1006.00 KB),CE PWD H AND E,Internal,,ABIDUR RAHMAN,20-Jul-2026 01:01 PM,finsummary_76082.pdf (389.15 KB),Finance,Summary,Chandana Basumatary,22-Dec-2025 02:37 PM,finance_76082.pdf,BOQ Comparative Chart,1,284512,ARCH EN DESIGN,25-Oct-2025 05:14 PM,Rejected-Technical,Non-Responsive,20-Dec-2025 01:02 PM,Technical,Summary,Chandana Basumatary,27-Oct-2025 05:26 PM,technical_76082.pdf,AOC,"25,34,927",No,fixed,,Nil,Nil,1.0,SBI Bank,"CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",1.0,Extension Notice,Date,,26-Sep-2025 10:00 AM,27-Oct-2025 03:30 PM,26-Sep-2025 03:30 PM,27-Oct-2025 02:00 PM,NA ,NA ,10-Oct-2025 03:30 PM,27-Oct-2025 02:00 PM,22-Dec-2025 02:30 PM,"Project Management Consultancy (PMC) services for the work Establishment of New Medical College and Hospital with GNM School and B.Sc Nursing School for 100 Admissions Annual intake at Darrang, Assam","Project Management Consultancy (PMC) services for the work Establishment of New Medical College and Hospital with GNM School and B.Sc Nursing School for 100 Admissions Annual intake at Darrang, Assam",Please refer Tender documents. ,NA ,"12,67,00,000",Civil Works - Building,NA ,Tender,180.0,605.0,Darrang,784125.0,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ",07-Oct-2025 12:30 PM ,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",No ,No,"20,000",Nil,Nil,No,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,I/1261087/2025 Dated 25-09-2025,2025_PWBNH_47702_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,284740,Bureau Veritas (India) Pvt. Ltd.,27-Oct-2025 12:15 PM,Rejected-Technical,Non-Responsive,20-Dec-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,2.0,Pre Bid Reply,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,284731,DDF Consultants Pvt Ltd,27-Oct-2025 12:54 PM,Rejected-AOC,As per CS,20-Jul-2026 01:14 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,284326,Design Associates Inc,17-Oct-2025 11:33 AM,Rejected-Technical,Non-Responsive,20-Dec-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,284061,IRCLASS SYSTEMS AND SOLUTIONS PVT LTD,27-Oct-2025 11:04 AM,Accepted-AOC,As per CS,20-Jul-2026 01:14 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FINANCIAL PROPOSAL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,284802,L N Malviya Infra Projects Pvt. Ltd.,27-Oct-2025 01:14 PM,Rejected-AOC,As per CS,20-Jul-2026 01:14 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,284603,WAPCOS LIMITED,24-Oct-2025 06:18 PM,Rejected-Technical,Non-Responsive,20-Dec-2025 01:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
