Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50792_1,SONITPUR/2025-26/PDNA/WORK/I,Restoration of damages to the right bank embankment of river Depota.,Director Design,Internal,,Jayanta Kumar Barman,14-Jul-2026 12:34 PM,finsummary_80816.pdf (242.37 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,26-Feb-2026 06:40 PM,,1.0,296814.0,NIRANJAN SAHA,INR,"8,481,850",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,14-Jul-2026 12:32 PM,,BOQ Comparative Chart,14-Jul-2026,"INR 8,481,850",180.0,Jayanta Kumar Barman,14-Jul-2026 12:40 PM,FWO_SONITPUR_Depota.pdf (1048.00 KB),Restoration of damages to the right bank embankment of river Depota.,Director Design,Internal,,Jayanta Kumar Barman,27-Feb-2026 03:51 PM,27-Feb-2026 03:55 PM,techsummary_80816.pdf (132.92 KB),1,297618,NAGENDRA BAGIRI,13-Feb-2026 11:57 AM,Rejected-AOC,Not Qualified for AOC,14-Jul-2026 12:40 PM,AOC,"Chief Engineer, W.R. Department","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29","1,70,052",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,Restoration of damages to the right bank embankment of river Depota.,Restoration of damages to the right bank embankment of river Depota.,Please refer Tender documents. ,NA ,"85,02,618",Civil Works,NA ,Tender,180.0,180.0,Sonitpur,784001.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,Extension Notice,Date,,Department of Water Resources||Chief Engineer - DoWR,SONITPUR/2025-26/PDNA/WORK/I,2026_DoWR_50792_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,04-Feb-2026 03:00 PM,13-Feb-2026 03:00 PM,04-Feb-2026 03:00 PM,13-Feb-2026 02:00 PM,NA ,NA ,06-Feb-2026 10:00 AM,13-Feb-2026 02:00 PM,27-Feb-2026 03:55 PM,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,296814,NIRANJAN SAHA,09-Feb-2026 05:10 PM,Accepted-AOC,AWARDED,14-Jul-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,AOC
