Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
National Health Mission||State Programme Management Unit - NHM,I/1373076/2025,2025_NHM_49686_5,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"4,857",Nil,Nil,No,1.0,SBI Bank,"Construction of New PHC at Natun Ramnagar SC in Cachar District under XV-FC Health Grant under NHM, Assam.","Construction of New PHC at Natun Ramnagar SC in Cachar District under XV-FC Health Grant under NHM, Assam.",Please refer Tender documents. ,NA ,"2,42,82,945",Civil Works - Building,NA ,Tender,225.0,450.0,Cachar,788001.0,NA ,NA ,NA ,O/o MD NHM Assam,No ,No,"4,85,659",Yes,percentage,2.0%,Nil,Nil,MD NHM Assam,O/o MD NHM Assam,1.0,Fee/PreQual/Technical,.pdf,Technical qualification document,27-Dec-2025 05:00 PM,20-Jan-2026 03:30 PM,27-Dec-2025 05:00 PM,19-Jan-2026 02:00 PM,NA ,NA ,29-Dec-2025 09:00 AM,19-Jan-2026 02:00 PM,29-Jan-2026 05:45 PM,AOC,National Health Mission||State Programme Management Unit - NHM,2025_NHM_49686_5,I/1373076/2025,"Construction of New PHC at Natun Ramnagar SC in Cachar District under XV-FC Health Grant under NHM, Assam.",09-Jul-2026,"INR 24,280,944",450.0,Mousomi Goswami,09-Jul-2026 03:29 PM,natunramnagarwo.pdf (183.00 KB),1.0,293587.0,MOHIT KUMAR BAID,INR,"24,280,944",Technical,technical bid opened,Mousomi Goswami,20-Jan-2026 06:38 PM,,OSD,Internal,,Mousomi Goswami,09-Jul-2026 03:25 PM,finsummary_78947.pdf (57.54 KB),OSD,Internal,,Mousomi Goswami,29-Jan-2026 05:38 PM,29-Jan-2026 05:45 PM,techsummary_78947.pdf (1100.58 KB),1.0,293280.0,Ganesh Daimary,18-Jan-2026 10:00 AM,Rejected-Finance,L3,09-Jul-2026 03:25 PM,Finance,Financial bid opened,Mousomi Goswami,30-Jan-2026 10:58 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of SBD,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293587.0,MOHIT KUMAR BAID,18-Jan-2026 10:31 PM,Accepted-AOC,L1,09-Jul-2026 03:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,292995.0,PADMAVATI CONSTRUCTION,18-Jan-2026 10:01 PM,Rejected-Finance,L2,09-Jul-2026 03:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,fob,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
