Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Urban Development Department||Directorate of Municipality Administration - UDD||Tinsukia Municipal Board,NO.TMB/TECH/15TH FC(1st INSTL)/Tied Grant/2023-24/644,2025_UDD_44604_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,DATE EXTENSION,Date,,Supply of two 14 cubic meter capacity of refuse compactor vehicle and 30 wheel garbage dustbin.,Supply of two 14 cubic meter capacity of refuse compactor vehicle and 30 wheel garbage dustbin.,Please refer Tender documents. ,NA ,,Machineries,NA ,Tender,30.0,NA ,TINSUKIA,786125.0,TINSUKIA MUNICIPAL BOARD ,OFFICE OF TINSUKIA MUNICIPAL BOARD ,03-Jun-2025 02:00 PM ,OFFICE OF TINSUKIA MUNICIPAL BOARD,No ,No,EXECUTIVE OFFICER,TINSUKIA MUNICIPAL BOARD,"10,000",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,28-May-2025 06:00 PM,24-Jun-2025 11:00 AM,28-May-2025 06:00 PM,23-Jun-2025 05:00 PM,NA ,NA ,28-May-2025 06:00 PM,23-Jun-2025 05:00 PM,26-Jun-2025 11:00 AM,"2,63,200",No,fixed,,Nil,Nil,AOC,Urban Development Department||Directorate of Municipality Administration - UDD||Tinsukia Municipal Board,2025_UDD_44604_1,NO.TMB/TECH/15TH FC(1st INSTL)/Tied Grant/2023-24/644,Supply of two 14 cubic meter capacity of refuse compactor vehicle and 30 wheel garbage dustbin.,05-Aug-2025,"INR 9,265,000",30.0,Kapil Saikia,15-Jul-2026 12:45 PM,compactorvehicle.pdf (306.00 KB),Chairman,Internal,,Kapil Saikia,22-Jul-2025 01:42 PM,finsummary_70917.pdf (595.37 KB),Technical,ACCEPTED.,Kapil Saikia,25-Jun-2025 04:15 PM,,1.0,270161.0,MANDY ENTERPRISES,INR,"9,265,000",PULAK CHETIA,Internal,,Kapil Saikia,25-Jun-2025 04:39 PM,26-Jun-2025 11:00 AM,techsummary_70917.pdf (618.44 KB),1,270545,AXOM AUTOMOBILES PRIVATE LIMITED,23-Jun-2025 04:21 PM,Rejected-Finance,SECOND BIDDER,22-Jul-2025 01:42 PM,Finance,FINANCIAL BID WAS OPENED.,Kapil Saikia,22-Jul-2025 01:24 PM,finance_70917.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ELIGIBILITYCRITERIA,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,270161,MANDY ENTERPRISES,22-Jun-2025 03:47 PM,Accepted-AOC,Lowest Bidder,15-Jul-2026 12:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,270338,SARAT CHANDRA SINGHA,19-Jun-2025 11:30 AM,Rejected-Technical,TECHNICALLY NOT QUALIFIED,25-Jun-2025 04:39 PM,,,,,,,AOC
