Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
28-Jul-2026,"INR 24,216,382",365.0,MILAN MAHILARY,28-Jul-2026 07:29 PM,AOC1101.pdf (710.00 KB),L1,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,2026_BTC_52683_1,No.64/TECH/NHM/BTC/2026-27/05,"Construction of New PHC at Golagaon BPHC in Baksa district under XV-FC Health Grant under NHM, Assam. TN_11_01",Sri Jaga Mohan Basumatary,Internal,"Sri Jaga Mohan Basumatary, Sri Rabin Ch. Brahma, Sri Jintu Uzir, Purna Nanda Narzary, Sri Arun Ch. Basumatary.",Jintu Uzir,20-Jul-2026 02:19 PM,20-Jul-2026 04:00 PM,techsummary_83172.pdf (320.72 KB),Technical,Minutes of the Technical Bid Opening,Jintu Uzir,20-Jul-2026 02:14 PM,technical_83172.pdf,Sri Jaga Mohan Basumatary,Internal,"Sri Jaga Mohan Basumatary, Sri Rabin Ch. Brahma, Sri Jintu Uzir, Purna Nanda Narzary, Sri Arun Ch. Basumatary.",MILAN MAHILARY,28-Jul-2026 07:28 PM,finsummary_83172.pdf (581.63 KB),1.0,305775.0,M/S DEKA ENTERPRISE,INR,"24,216,382",Finance,Minutes of Financial,Jintu Uzir,20-Jul-2026 06:46 PM,finance_83172.pdf,BOQ Comparative Chart,1,306108,ANUP KALITA,01-Jul-2026 11:37 AM,Rejected-Technical,Failed,20-Jul-2026 02:19 PM,AOC,"4,84,348",Yes,percentage,2.0%,Nil,Nil,"Construction of New PHC at Golagaon BPHC in Baksa district under XV-FC Health Grant under NHM, Assam. TN_11_01","Construction of New PHC at Golagaon BPHC in Baksa district under XV-FC Health Grant under NHM, Assam. TN_11_01",Refer to Tender Documents ,NA ,"2,42,17,382",Civil Works - Building,NA ,Tender,180.0,365.0,Kokrajhar,783370.0,Kokrajhar ,"O/o the Addl. Chief Engineer-cum-Director, PWD, BTC, Kokrajhar. ",25-Jun-2026 11:00 AM ,Kokrajhar,No ,No,Sri J.M. Basumatary,"O/o the Addl. Chief Engineer-cum-Director, PWD, BTC, Kokrajhar.",1.0,SBI Bank,10-Jun-2026 10:00 AM,02-Jul-2026 02:00 PM,10-Jun-2026 10:30 AM,01-Jul-2026 01:00 PM,10-Jun-2026 10:30 AM ,01-Jul-2026 01:00 PM ,10-Jun-2026 11:30 AM,01-Jul-2026 01:00 PM,20-Jul-2026 04:00 PM,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,No.64/TECH/NHM/BTC/2026-27/05,2026_BTC_52683_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"4,900",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,305780,BISWAJIT RAJBONGSHI,27-Jun-2026 02:18 PM,Rejected-Technical,Failed,20-Jul-2026 02:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,306148,KHANIN DAS,01-Jul-2026 11:49 AM,Rejected-Technical,Failed,20-Jul-2026 02:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of Bid,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,305775,M/S DEKA ENTERPRISE,27-Jun-2026 12:18 PM,Accepted-AOC,L1,28-Jul-2026 07:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,305778,UNIQUE TRADERS,27-Jun-2026 12:43 PM,Rejected-AOC,L2,28-Jul-2026 07:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
