S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,SBI Bank,1.0,Extension Notice,Date,,Public Works Roads Department,CE/STBR/SOPD-G/NIT/07/2025 26/1 Dated 26-06-2025,2025_PWD_45820_46,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,389.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,"CE (Roads), PWRD, Assam, Chandmari, Ghy-3","O/O The CE (Roads), PWRD, Assam, Chandmari, Ghy-3","38,900",Yes,fixed,,Nil,Nil,STBR/SOPD-G/Jalukbari-43/82 Constrution of Kendukuchi Samanwai Road under SOPD-G for the year 2025-26,STBR/SOPD-G/Jalukbari-43/82 Constrution of Kendukuchi Samanwai Road under SOPD-G for the year 2025-26,Please refer Tender documents. ,NA ,"19,45,000",Civil Works – Roads,NA ,Tender,180.0,180.0,Jalukbari,781013.0,"O/O The CE (Roads), PWRD, Assam, Chandmari, Ghy-3 ","O/O The CE (Roads), PWRD, Assam, Chandmari, Ghy-3 ",30-Jul-2025 11:00 AM ,"O/O The CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,23-Jul-2025 02:00 PM,19-Aug-2025 11:00 AM,23-Jul-2025 02:00 PM,18-Aug-2025 02:00 PM,23-Jul-2025 02:00 PM ,08-Aug-2025 02:00 PM ,23-Jul-2025 02:00 PM,18-Aug-2025 02:00 PM,18-Nov-2025 09:00 AM,AOC,CE PWD(Roads),Internal,,CHANDAN KUMAR DAS,17-Nov-2025 07:19 PM,18-Nov-2025 09:00 AM,techsummary_72751.pdf (398.85 KB),1.0,277124.0,M/S S.B ENTERPRISE,17-Aug-2025 04:02 PM,Accepted-AOC,Work Order Issued,16-Jul-2026 05:15 PM,1.0,277124.0,M/S S.B ENTERPRISE,INR,"1,945,000",16-Jul-2026,"INR 1,945,000",180.0,CHANDAN KUMAR DAS,16-Jul-2026 05:15 PM,WOJalukbari43.pdf (495.00 KB),Finance,Summary,Prafulla Nath,18-Nov-2025 12:06 PM,finance_72751.pdf,BOQ Comparative Chart,Public Works Roads Department,2025_PWD_45820_46,CE/STBR/SOPD-G/NIT/07/2025 26/1 Dated 26-06-2025,STBR/SOPD-G/Jalukbari-43/82 Constrution of Kendukuchi Samanwai Road under SOPD-G for the year 2025-26,Technical,Summary,CHANDAN KUMAR DAS,08-Sep-2025 10:56 PM,technical_72751.pdf,CE PWD(Roads),Internal,,CHANDAN KUMAR DAS,16-Jul-2026 05:12 PM,finsummary_72751.pdf (494.67 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,277199.0,SD ENTERPRISE,17-Aug-2025 10:28 PM,Rejected-AOC,L2,16-Jul-2026 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
