Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Assam Power Distribution Company Ltd||CGM(D) Central Assam Region - APDCL,Dhmeaji-TSS/ABT Meter/T-310/2025-26/25,2025_APDCL_49467_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"CGM(D and S),APDCL,CAR","Office of the CGM(D and S),APDCL,CAR",18-Dec-2025 05:30 PM,05-Jan-2026 03:00 PM,18-Dec-2025 06:00 PM,05-Jan-2026 11:00 AM,18-Dec-2025 06:00 PM ,23-Dec-2025 11:00 AM ,24-Dec-2025 10:00 AM,05-Jan-2026 11:00 AM,08-Apr-2026 03:30 PM,"3,540",Nil,Nil,No,1.0,SBI Bank,ABT Meter equipments installation at 132 KV Traction Sub-Station at Dhemaji N.F. Railway (receiving end) Indian Railway under Dhemaji Electrical Sub-Division of North Lakhimpur Electrical Circle on turnkey mode,ABT Meter equipments installation at 132 KV Traction Sub-Station at Dhemaji N.F. Railway (receiving end) Indian Railway under Dhemaji Electrical Sub-Division of North Lakhimpur Electrical Circle on turnkey mode,Please refer Tender documents. ,NA ,"26,35,394",Electrical Works,NA ,Tender,180.0,90.0,Dhemaji,787057.0,"Office of the CGM(D and S),APDCL,CAR ","Office of the CGM(D and S),APDCL,CAR ",23-Dec-2025 03:00 PM ,"Office of the CGM(D and S),APDCL,CAR",No ,No,1.0,Fee/PreQual/Technical,.rar,Technical Bid,"1,00,000",No,fixed,,Nil,Nil,AOC,1.0,291437.0,Kamal Singh Dugar,INR,"2,635,394",Assam Power Distribution Company Ltd||CGM(D) Central Assam Region - APDCL,2025_APDCL_49467_1,Dhmeaji-TSS/ABT Meter/T-310/2025-26/25,ABT Meter equipments installation at 132 KV Traction Sub-Station at Dhemaji N.F. Railway (receiving end) Indian Railway under Dhemaji Electrical Sub-Division of North Lakhimpur Electrical Circle on turnkey mode,"CGM(D and S),APDCL,CAR",Internal,,Gayatry Dutta Bora,08-Apr-2026 02:04 PM,08-Apr-2026 03:30 PM,techsummary_78502.pdf (270.00 KB),07-Jul-2026,"INR 2,635,394",90.0,Jyoti Sangeeta Dutta,07-Jul-2026 10:46 AM,LoADhemajiTSS.pdf (4981.00 KB),"CGM(D and S),APDCL,CAR",Internal,,Jyoti Sangeeta Dutta,07-Jul-2026 10:42 AM,finsummary_78502.pdf (1638.37 KB),Finance,price bid opened,Gayatry Dutta Bora,08-Apr-2026 03:52 PM,,BOQ Comparative Chart,Technical,Technical Bid Opened,Dulumani Das,05-Jan-2026 04:29 PM,,1,291434,ASSAM ELECTRIC STORE,03-Jan-2026 02:32 PM,Rejected-Finance,L2 Bidder,07-Jul-2026 10:42 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,291880,DILIP KUMAR SAIKIA,05-Jan-2026 09:13 AM,Rejected-Technical,Non-Responsive,08-Apr-2026 02:04 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,291437,Kamal Singh Dugar,03-Jan-2026 06:23 PM,Accepted-AOC,L1 Bidder,07-Jul-2026 10:46 AM,AOC
