S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1,296310,M/S Raj Kumar Jain,02-Feb-2026 08:22 PM,Accepted-AOC,AWARDED,13-Jul-2026 06:21 PM,Director Design,Internal,,Jayanta Kumar Barman,28-Feb-2026 04:04 PM,28-Feb-2026 04:05 PM,techsummary_80327.pdf (134.73 KB),Director Design,Internal,,Jayanta Kumar Barman,13-Jul-2026 05:56 PM,finsummary_80327.pdf (315.33 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,24-Feb-2026 01:04 PM,,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50458_1,DARRANG/2025-26/SDMF/I,Flood resilience through New embankment with RCC sheet at Noanodi B/B Embankment from Manitari to New B-dyke.,1.0,296310.0,M/S Raj Kumar Jain,INR,"91,485,000",13-Jul-2026,"INR 91,485,000",180.0,Jayanta Kumar Barman,13-Jul-2026 06:20 PM,FWO_Darrang_Manitari.PDF (2269.00 KB),Flood resilience through New embankment with RCC sheet at Noanodi B/B Embankment from Manitari to New B-dyke.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,13-Jul-2026 05:47 PM,,BOQ Comparative Chart,AOC,"18,29,703",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,21-Jan-2026 06:55 PM,03-Feb-2026 03:00 PM,21-Jan-2026 06:55 PM,03-Feb-2026 02:00 PM,NA ,NA ,29-Jan-2026 10:00 AM,03-Feb-2026 02:00 PM,28-Feb-2026 04:05 PM,Flood resilience through New embankment with RCC sheet at Noanodi B/B Embankment from Manitari to New B-dyke.,Flood resilience through New embankment with RCC sheet at Noanodi B/B Embankment from Manitari to New B-dyke.,Please refer Tender documents. ,NA ,"9,14,85,149",Civil Works,NA ,Tender,180.0,180.0,DARRANG,784145.0,NA ,NA ,NA ,Guwahati,No ,No,Department of Water Resources||Chief Engineer - DoWR,DARRANG/2025-26/SDMF/I,2026_DoWR_50458_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"20,000",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",AOC
2,296251,SANJAY KUMAR AGARWALLA,02-Feb-2026 07:47 PM,Rejected-AOC,Not Qualified for AOC,13-Jul-2026 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,AOC
