Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Admitted,Brajen Kakati,14-Jul-2026 12:45 PM,,BOQ Comparative Chart,1.0,280027.0,Kanakjyoti Bhagawati,07-Sep-2025 06:03 PM,Rejected-Finance,Rejected,14-Jul-2026 12:47 PM,CE PWRD,Internal,,Manoj Kr. Nath,22-Oct-2025 05:30 PM,22-Oct-2025 06:00 PM,techsummary_74364.pdf (212.10 KB),1.0,280025.0,Pranjal Kumar Hazarika,INR,"51,140,504",Technical,Admitted,Manoj Kr. Nath,22-Oct-2025 05:29 PM,,CE PWRD,Internal,,Brajen Kakati,14-Jul-2026 12:47 PM,finsummary_74364.pdf (587.80 KB),14-Jul-2026,"INR 51,140,504",365.0,Brajen Kakati,14-Jul-2026 12:49 PM,MMUPPNA33AA.pdf (413.00 KB),Public Works Roads Department,2025_PWD_46694_3,CE/DEV/TB/54/2025-26/09 Dated 11.08.2025,"MMUPPNA-RIDF-XXXI-25-26-33 Improvement and Widening of Road from NH29 Buragohai to Hori Taro gaon under 109 - Howraghat (ST) LAC under Mukhya Mantrir Unotto Pakipath Nirman Achani (MMUPPNA) under RIDF - XXXI of NABARD for the Year 2025-26, L 3.70 k",AOC,19-Aug-2025 06:00 PM,09-Sep-2025 02:30 PM,19-Aug-2025 06:00 PM,08-Sep-2025 02:00 PM,19-Aug-2025 06:00 PM ,08-Sep-2025 12:00 PM ,19-Aug-2025 06:00 PM,08-Sep-2025 02:00 PM,22-Oct-2025 06:00 PM,1.0,SBI Bank,"10,230",Nil,Nil,No,Public Works Roads Department,CE/DEV/TB/54/2025-26/09 Dated 11.08.2025,2025_PWD_46694_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"O/O CE, PWRD,Chandmari,Guwahati-03","O/O CE, PWRD,Chandmari,Guwahati-03","MMUPPNA-RIDF-XXXI-25-26-33 Improvement and Widening of Road from NH29 Buragohai to Hori Taro gaon under 109 - Howraghat (ST) LAC under Mukhya Mantrir Unotto Pakipath Nirman Achani (MMUPPNA) under RIDF - XXXI of NABARD for the Year 2025-26, L 3.70 k","MMUPPNA-RIDF-XXXI-25-26-33 Improvement and Widening of Road from NH29 Buragohai to Hori Taro gaon under 109 - Howraghat (ST) LAC under Mukhya Mantrir Unotto Pakipath Nirman Achani (MMUPPNA) under RIDF - XXXI of NABARD for the Year 2025-26, L 3.70 k",Please refer Tender documents. ,NA ,"5,11,46,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Karbi Anglong,782460.0,"O/O CE, PWRD,Chandmari,Guwahati-03 ","O/O CE, PWRD,Chandmari,Guwahati-03 ",21-Aug-2025 12:00 PM ,"O/O CE, PWRD,Chandmari,Guwahati-03",No ,No,"10,23,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,AOC
,,,,,,2.0,280025.0,Pranjal Kumar Hazarika,07-Sep-2025 06:29 PM,Accepted-AOC,Awarded,14-Jul-2026 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
