S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,"6,000",Nil,Nil,No,07-Feb-2026 06:55 PM,21-Feb-2026 03:00 PM,07-Feb-2026 06:55 PM,21-Feb-2026 02:00 PM,NA ,NA ,17-Feb-2026 10:00 AM,21-Feb-2026 02:00 PM,05-Mar-2026 01:05 PM,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",Department of Water Resources||Chief Engineer - DoWR,NAGAON/2025-26/SDMF/I,2026_DoWR_50955_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"5,85,274",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Immediate measures for bank stabilisation at Hatimura area under Kaliabor Revenue Circle from the avulsion of river Brahmaputra for the year 2025-26.,Immediate measures for bank stabilisation at Hatimura area under Kaliabor Revenue Circle from the avulsion of river Brahmaputra for the year 2025-26.,Please refer Tender documents. ,NA ,"2,92,63,697",Civil Works,NA ,Tender,180.0,180.0,NAGAON,782001.0,NA ,NA ,NA ,Guwahati,No ,No,AOC,1,298431,M/S. M.P. AGARWALLA,18-Feb-2026 04:17 PM,Rejected-AOC,Not Qualified for AOC,04-Jul-2026 07:26 PM,Director Design,Internal,,Jayanta Kumar Barman,05-Mar-2026 01:01 PM,05-Mar-2026 01:05 PM,techsummary_81092.pdf (134.06 KB),Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,04-Jul-2026 07:21 PM,,BOQ Comparative Chart,04-Jul-2026,"INR 29,241,428.52",180.0,Jayanta Kumar Barman,04-Jul-2026 07:25 PM,FWO_Nagaon_Hatimura.pdf (2155.00 KB),Immediate measures for bank stabilisation at Hatimura area under Kaliabor Revenue Circle from the avulsion of river Brahmaputra for the year 2025-26.,1.0,298432.0,Nirmal Kumar Agarwalla,INR,"29,241,428.52",Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,05-Mar-2026 12:46 PM,,Director Design,Internal,,Jayanta Kumar Barman,04-Jul-2026 07:23 PM,finsummary_81092.pdf (313.72 KB),Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50955_1,NAGAON/2025-26/SDMF/I,Immediate measures for bank stabilisation at Hatimura area under Kaliabor Revenue Circle from the avulsion of river Brahmaputra for the year 2025-26.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,AOC,2,298432,Nirmal Kumar Agarwalla,18-Feb-2026 04:09 PM,Accepted-AOC,AWARDED,04-Jul-2026 07:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
