Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,PTDC/Engg/2026-27/500,2026_WPTBC_51501_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,700",Nil,Nil,Yes,"26,987",Yes,percentage,0.2%,Nil,Nil,26-Feb-2026 09:00 AM,10-Mar-2026 03:00 PM,26-Feb-2026 09:30 AM,10-Mar-2026 02:00 PM,NA ,NA ,26-Feb-2026 09:40 AM,10-Mar-2026 02:00 PM,08-May-2026 03:50 PM,Managing Director,"office of the Managing Director, APTDC Ltd., Ganeshguri, Guwahat",1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,1.0,Extension Notice,Date,,1.0,SBI Bank,"Construction work for special Home under Vatsalaya Sadan at Baska, BTAD, district.","Construction work for special Home under Vatsalaya Sadan at Baska, BTAD, district.",Please refer tender document ,NA ,"1,34,93,500",Civil Works,NA ,Tender,180.0,360.0,Baska,389350.0,"office of the Managing Director, APTDC Ltd., Ganes ","office of the Managing Director, APTDC Ltd., Ganeshguri, Guwahat ",27-Feb-2026 11:30 AM ,"Managing Director, APTDC Ltd., Ganeshguri, Guwahat",No ,No,AOC,Finance,Financial bid has been downloaded,Jeena Gabison Ahmed,08-May-2026 04:06 PM,,BOQ Comparative Chart,Technical,Technical bid has been opened.,Dipak Kumar Gayary,10-Mar-2026 04:56 PM,,1,300915,DNA INFRASTRUCTURE,10-Mar-2026 12:58 PM,Rejected-AOC,Not Awarded,16-Jul-2026 12:28 PM,Managing Director,Internal,,Dipak Kumar Gayary,16-Jul-2026 12:23 PM,finsummary_81780.pdf (962.76 KB),16-Jul-2026,"INR 12,707,036",360.0,Dipak Kumar Gayary,16-Jul-2026 12:28 PM,AocSpHBaska.pdf (977.00 KB),AOC,Managing Director,Internal,,Dipak Kumar Gayary,08-May-2026 03:47 PM,08-May-2026 03:50 PM,techsummary_81780.pdf (1277.07 KB),1.0,300839.0,TATTVASHEER TRADERS PVT LTD,INR,"12,707,036",Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,2026_WPTBC_51501_1,PTDC/Engg/2026-27/500,"Construction work for special Home under Vatsalaya Sadan at Baska, BTAD, district.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,300051,GADAPANI UDYOG,09-Mar-2026 11:30 AM,Rejected-Technical,As per Comparative Statement (Technical Bid) is Non-Responsive,08-May-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,300049,HIMAKSH START UP INDIA,09-Mar-2026 11:18 AM,Rejected-Technical,As per Comparative Statement (Technical Bid) is Non-Responsive,08-May-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,300839,TATTVASHEER TRADERS PVT LTD,09-Mar-2026 09:19 PM,Accepted-AOC,Awarded,16-Jul-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
