Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
03-Jul-2026,"INR 4,972,500",90.0,Kashyap Ranjan Nath,03-Jul-2026 05:02 PM,WorkOrder78.pdf (346.00 KB),Public Works Roads Department,2026_PWD_50632_6,Tech/NDTRD/NIT/1028/4296 dated 28.01.2026,Tihu_PDNA_2025-26_78,EE,Internal,"EE, AE, JE",Jiban Jyoti Sarma,07-Mar-2026 04:16 PM,07-Mar-2026 04:25 PM,techsummary_80606.pdf (318.49 KB),1.0,297024.0,Dilip Kumar Barman,INR,"4,972,500",Technical,Admitted,Jiban Jyoti Sarma,07-Mar-2026 04:13 PM,,EE,Internal,"EE, AE, JE",Kashyap Ranjan Nath,23-Jun-2026 06:07 PM,finsummary_80606.pdf (287.69 KB),Finance,Admitted,Kashyap Ranjan Nath,15-Mar-2026 01:30 PM,,BOQ Comparative Chart,1,297004,ABANI KUMAR DEKA,11-Feb-2026 04:14 PM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,BID_COST_BID_SECURITY,03-Feb-2026 10:30 AM,13-Feb-2026 10:30 AM,03-Feb-2026 10:30 AM,12-Feb-2026 02:00 PM,03-Feb-2026 10:30 AM ,12-Feb-2026 12:00 PM ,03-Feb-2026 10:30 AM,12-Feb-2026 02:00 PM,07-Mar-2026 04:25 PM,"1,30,000",Yes,fixed,,Nil,Nil,"EE, PWRD, NDTRD, Nalbari","O/o the EE, PWRD, NDTRD, Nalbari",Tihu_PDNA_2025-26_78,Recovery and Re-construction of Jalkhana to Rupdiga Road under NDRF (PDNA-2022) for the year 2025-26.,Please refer Tender documents. ,NA ,"65,00,000",Civil Works – Roads,NA ,Tender,180.0,90.0,Nalbari,781335.0,NA ,NA ,NA ,"O/o the EE, PWRD, NDTRD, Nalbari",No ,No,"1,300",Nil,Nil,No,Public Works Roads Department,Tech/NDTRD/NIT/1028/4296 dated 28.01.2026,2026_PWD_50632_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,297079,APURBA BEZBARUAH,12-Feb-2026 12:57 AM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,,,.pdf,BIDDING_DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,297027,Bijumoni Deka Barman,12-Feb-2026 01:22 PM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,,,.pdf,TECHNICAL_QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,297024,Dilip Kumar Barman,12-Feb-2026 01:34 PM,Accepted-AOC,Awarded to L1 bidder,03-Jul-2026 05:02 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,297509,DIP JYOTI ROY,12-Feb-2026 01:51 PM,Rejected-Technical,Rejected by EE,07-Mar-2026 04:16 PM,AOC,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,297066,GANESH KALITA,12-Feb-2026 01:30 PM,Rejected-Technical,Rejected by EE,07-Mar-2026 04:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,297267,Nilkamal Barman,12-Feb-2026 01:18 PM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,297401,NISHANT KALITA,11-Feb-2026 07:58 PM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,297219,SEHNOWAZ AMIN,11-Feb-2026 05:48 PM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,297325,Sri Mriganka Das,12-Feb-2026 01:10 PM,Rejected-Finance,Rejected,23-Jun-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
