EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"4,18,800",Yes,percentage,2.0%,Nil,Nil,Guwahati Metropolitan Development Authority||Guwahati Development Department - GMDA,GMDA/DEV/44/2024/81,2026_GMDA_50672_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"CEO,GMDA Office, Bhangagarh","GMDA Office, Bhangagarh",31-Jan-2026 02:00 PM,21-Feb-2026 03:00 PM,31-Jan-2026 03:00 PM,21-Feb-2026 02:00 PM,NA ,NA ,16-Feb-2026 09:00 AM,21-Feb-2026 02:00 PM,07-Mar-2026 06:10 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"4,200",Nil,Nil,No,1.0,SBI Bank,"Remodeling of Bir Lachit Borphukan Park at Jalukbari, Guwahati","Remodeling of Bir Lachit Borphukan Park at Jalukbari, Guwahati",Please refer Tender documents. ,NA ,"2,09,40,000",Civil Works,NA ,Tender,180.0,NA ,Guwahati,781005.0,"GMDA Office, Bhangagarh ","GMDA Office, Bhangagarh ",13-Feb-2026 01:30 PM ,"GMDA Office, Bhangagarh",No ,No,1.0,Corrigendum 1,Fee,,AOC,1.0,298782.0,"M/S PYRAMIDS CONSTRUCTION, Jagat Ranjan Goswami",21-Feb-2026 09:18 AM,Rejected-AOC,L2 Bidder,08-Jul-2026 12:29 PM,"SECY, GMDA",Internal,,Kirti Nath Talukdar,07-Mar-2026 06:05 PM,07-Mar-2026 06:10 PM,techsummary_80646.pdf (395.31 KB),Finance,MOM,Kirti Nath Talukdar,08-Jul-2026 12:10 PM,finance_80646.pdf,BOQ Comparative Chart,08-Jul-2026,"INR 20,939,000",180.0,Kirti Nath Talukdar,08-Jul-2026 12:28 PM,WOLACHITPARK.pdf (632.00 KB),1.0,298551.0,S R BAGREE,INR,"20,939,000","SECY,GMDA",Internal,,Kirti Nath Talukdar,08-Jul-2026 12:19 PM,finsummary_80646.pdf (372.03 KB),Technical,MOM,Kirti Nath Talukdar,07-Mar-2026 06:02 PM,technical_80646.pdf,Guwahati Metropolitan Development Authority||Guwahati Development Department - GMDA,2026_GMDA_50672_1,GMDA/DEV/44/2024/81,"Remodeling of Bir Lachit Borphukan Park at Jalukbari, Guwahati",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,298551.0,S R BAGREE,21-Feb-2026 08:31 AM,Accepted-AOC,L1 Bidder,08-Jul-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
