Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Health and Family Welfare Department||Assam Medical Services Corporation Limited,2024_HFWD_40442_1,AMSC/ECF557069/2,SUPPLY OF PANCHAKARMA EQUIPMENT,GM,Internal,"GM, CFO, Asst Professor, Consultant NAM, Sr Manager, Manager, Executive",Siddhartha Bahadur Singh,01-Feb-2025 05:27 PM,finsummary_65551.pdf (460.84 KB),Technical,technical evaluation,Siddhartha Bahadur Singh,11-Dec-2024 03:47 PM,,1.0,249462.0,Agam Pharmaceuticals,INR,1.0,01-Jul-2026,INR 1,60.0,Siddhartha Bahadur Singh,31-Jul-2026 05:14 PM,panchkarma.pdf (468.00 KB),Finance,As per MOM,Siddhartha Bahadur Singh,01-Feb-2025 04:41 PM,,BOQ Comparative Chart,GM,Internal,As per mom,Siddhartha Bahadur Singh,11-Dec-2024 03:49 PM,11-Dec-2024 03:55 PM,techsummary_65551.pdf (390.37 KB),1.0,249462.0,Agam Pharmaceuticals,29-Nov-2024 01:41 PM,Accepted-AOC,L1 BIDDER,31-Jul-2026 05:14 PM,AOC,SUPPLY OF PANCHAKARMA EQUIPMENT,SUPPLY OF PANCHAKARMA EQUIPMENT FOR 3 NOS. OF AYUSH WINGS,Please refer Tender documents. ,NA ,"14,61,150",Medical Equipments/Waste,NA ,Rate Contract,180.0,NA ,"AMSCL, Narengi Patherquery Guwahati 781026",781026.0,"AMSCL, Narengi Patherquery Guwahati 781026 ","AMSCL, Narengi Patherquery Guwahati 781026 ",22-Nov-2024 04:30 PM ,"AMSCL, Narengi Patherquery Guwahati 781026",No ,No,1.0,SBI Bank,Health and Family Welfare Department||Assam Medical Services Corporation Limited,AMSC/ECF557069/2,2024_HFWD_40442_1,Yes,Open Tender,Buy,Goods,2.0,No,Yes,Online,No,No,No,19-Nov-2024 05:00 PM,29-Nov-2024 04:30 PM,19-Nov-2024 05:30 PM,29-Nov-2024 02:00 PM,NA ,NA ,25-Nov-2024 01:00 PM,29-Nov-2024 02:00 PM,11-Dec-2024 03:55 PM,"2,000",Nil,Nil,No,"29,223",Yes,fixed,,Nil,Nil,"Managing Director, AMSCL","O/o MD, AMSCL, Narengi Patherquery Guwahati 781026",1.0,Fee/PreQual/Technical,.pdf,"Receipt of online submission of EMD, IPO/COURT STAMP FEE, TENDER FEE, List of item quoted",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ALL REQUISITE DOCUMENTS AS PER THE TENDER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
