S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,"16,500",Nil,Nil,No,07-Mar-2026 06:00 PM,20-Mar-2026 02:30 PM,07-Mar-2026 06:00 PM,20-Mar-2026 02:00 PM,07-Mar-2026 06:00 PM ,20-Mar-2026 02:00 PM ,07-Mar-2026 06:00 PM,20-Mar-2026 02:00 PM,04-May-2026 04:10 PM,"Chief Engineer, EAP, PWRD, Assam","Chief Engineer, EAP, PWRD, Assam",Bridge No. 2/1 on Mayerchar Pt-I to Nayeralga Pt-III. Dhubri/19,Bridge No. 2/1 on Mayerchar Pt-I to Nayeralga Pt-III.CE/EAP/ARRBP/OCB/Bridge-1/Dhubri/19,Please refer Tender documents. ,NA ,"8,21,76,200",Civil Works - Bridges,NA ,Tender,180.0,900.0,Dhubri,783301.0,NA ,NA ,NA ,"O/o the Chief Engineer, EAP, PWRD, Assam, Fatasil",No ,No,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,RFB No CE/EAP/ARRBP/BR/Z4/2025/T07,2026_PWRDW_51761_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,43,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fees Receipt,AOC,Finance,financial bids are opened,DIPAK KR. NATH,04-May-2026 05:09 PM,,BOQ Comparative Chart,Technical,Technical Bids are opened,DIPAK KR. NATH,24-Mar-2026 03:46 PM,,1.0,301910.0,Nozrul Islam,19-Mar-2026 04:46 PM,Accepted-AOC,Awarded,06-Jul-2026 04:14 PM,06-Jul-2026,"INR 86,202,000",900.0,Dibyajyoti Nath,06-Jul-2026 04:14 PM,WO.pdf (79.00 KB),"CE (EAP), PWRD, Assam, Fatasil Ambari",Internal,,Dibyajyoti Nath,06-Jul-2026 04:10 PM,finsummary_82097.pdf (91.30 KB),"Chief Engineer, EAP, PWRD",Internal,,Dibyajyoti Nath,04-May-2026 04:07 PM,04-May-2026 04:10 PM,techsummary_82097.pdf (80.62 KB),1.0,301910.0,Nozrul Islam,INR,"86,202,000",Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,2026_PWRDW_51761_2,RFB No CE/EAP/ARRBP/BR/Z4/2025/T07,Bridge No. 2/1 on Mayerchar Pt-I to Nayeralga Pt-III. Dhubri/19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (technical),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ESMP,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LOB(Financial),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
