S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,SBI Bank,"1,981",Nil,Nil,No,"Director of Fisheries,Assam,Guwahati","Office of the Directorate of Fisheries,Assam,Guwahati",23-Jan-2026 10:00 AM,12-Feb-2026 02:30 PM,24-Jan-2026 10:00 AM,12-Feb-2026 02:00 PM,NA ,NA ,28-Jan-2026 10:00 AM,12-Feb-2026 02:00 PM,11-Mar-2026 11:30 AM,Department of Fisheries||Directorate of Fisheries Assam,AF(S)182 /RIDF/2024-25/pt/5992-5996 Dated21/01/2026,2026_FD_50516_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Infrastructure for Fisheries Development Projects,Pkg-I Tinsukia and Dibrugarh",112 Nos of Infrastructure for Fisheries Development Projects in 26 Districts of Assam under RIDF-XXIX 2023-24(Pkg-I Tinsukia and Dibrugarh),NA ,NA ,,Civil Works,NA ,Tender,180.0,90.0,Tinsukia and Dibrugarh,781016.0,NA ,NA ,NA ,Directorate of Fisheries,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"1,98,072",No,fixed,,Nil,Nil,AOC,1.0,297246.0,T J Biswajit Mahengia,INR,"9,893,000.04",Department of Fisheries||Directorate of Fisheries Assam,2026_FD_50516_1,AF(S)182 /RIDF/2024-25/pt/5992-5996 Dated21/01/2026,"Infrastructure for Fisheries Development Projects,Pkg-I Tinsukia and Dibrugarh","Sri P. K. Borkakti, ACS, Addl. Secretary, Fishery Deptt., Assam",Internal,,Bobita Rani Medhi,10-Mar-2026 05:35 PM,11-Mar-2026 11:30 AM,techsummary_80408.pdf (390.89 KB),Technical,Bids are downloaded and technical evaluation is in process,Bobita Rani Medhi,18-Feb-2026 04:11 PM,,06-Jul-2026,"INR 9,893,000.04",90.0,Bobita Rani Medhi,20-Jul-2026 02:33 PM,WorkOrderPKGI_1.pdf (217.00 KB),Award of Contract,1.0,297310.0,Khagen Konch,11-Feb-2026 10:17 PM,Rejected-AOC,Not accepted due to high rate than the other bidder,20-Jul-2026 02:33 PM,Finance,financial bids are downloaded and evluation is under process,Bobita Rani Medhi,11-Mar-2026 08:20 PM,,BOQ Comparative Chart,"Sri P. K. Borkakati, ACS, Addl. Secretary, Fishery Deptt., Assam",Internal,,Bobita Rani Medhi,22-May-2026 04:10 PM,finsummary_80408.pdf (402.19 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,297246.0,T J Biswajit Mahengia,11-Feb-2026 10:24 PM,Accepted-AOC,Most responsive bidder,20-Jul-2026 02:33 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD and Tender fee,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
