Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CE/TB-II(Bldg.)/11/2026/01 Dated Guwahati the, 19th Feb, 2026",2026_PWBNH_51598_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,096",Nil,Nil,No,"Refurbishment works in new office space (2000 sq.ft) of ASRLM at Panjabari, Guwahati-37","Refurbishment works in new office space (2000 sq.ft) of ASRLM at Panjabari, Guwahati-37",Please refer Tender documents. ,NA ,"54,80,162",Civil Works - Building,NA ,Tender,180.0,180.0,Panjabari,781037.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",06-Mar-2026 11:00 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,"1,09,603",Yes,percentage,2.0%,Nil,Nil,"CE, PWD(Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",28-Feb-2026 04:00 PM,13-Mar-2026 04:00 PM,28-Feb-2026 04:00 PM,13-Mar-2026 01:00 PM,NA ,NA ,09-Mar-2026 10:00 AM,13-Mar-2026 01:00 PM,05-Jun-2026 05:25 PM,1.0,SBI Bank,AOC,1.0,300935.0,M/S Nabajit Traders And Engineers,INR,"4,949,329",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2026_PWBNH_51598_1,"CE/TB-II(Bldg.)/11/2026/01 Dated Guwahati the, 19th Feb, 2026","Refurbishment works in new office space (2000 sq.ft) of ASRLM at Panjabari, Guwahati-37",CE PWD(Bldg.),Internal,,Shaswati Saikia,05-Jun-2026 05:20 PM,05-Jun-2026 05:25 PM,techsummary_81890.pdf (707.61 KB),10-Jul-2026,"INR 4,949,329",180.0,Shaswati Saikia,10-Jul-2026 05:08 PM,AOC.pdf (706.00 KB),Award allotted to L1 bidder,CE PWD(Bldg),Internal,,Shaswati Saikia,10-Jul-2026 05:05 PM,finsummary_81890.pdf (541.26 KB),Finance,Financial Bid Opened,ABIDUR RAHMAN,05-Jun-2026 05:42 PM,finance_81890.pdf,BOQ Comparative Chart,Technical,Summary,Subrata Bora,13-Mar-2026 04:17 PM,technical_81890.pdf,1.0,300968.0,M/S D.M. INFRA DEVELOPER,13-Mar-2026 11:07 AM,Rejected-Technical,Non Responsive,05-Jun-2026 05:20 PM,AOC
,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300935.0,M/S Nabajit Traders And Engineers,13-Mar-2026 12:59 PM,Accepted-AOC,L1 bidder,10-Jul-2026 05:08 PM,AOC
,,.pdf,TECHNICAL QUALIICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,300933.0,M/S P.A. ENTERPRISE,13-Mar-2026 10:11 AM,Rejected-Finance,L2 bidder,10-Jul-2026 05:05 PM,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,301095.0,Sanjib Barman,13-Mar-2026 12:45 PM,Rejected-Technical,Non Responsive,05-Jun-2026 05:20 PM,AOC
,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
