Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,03-Jun-2026 12:35 PM,,Director Design,Internal,,Jayanta Kumar Barman,11-Jul-2026 05:21 PM,finsummary_82061.pdf (846.00 KB),Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_51735_1,N LAKHIMPUR/2025-26/M AND R/I,M and R to Sumdiri R/bank from Ch 0.00m to 6015.00m for 2025-26.,11-Jul-2026,"INR 4,499,989.76",120.0,Jayanta Kumar Barman,11-Jul-2026 05:33 PM,FWO_NORTH_LAKHIMPUR_SUMDIRI.PDF (1494.00 KB),M and R to Sumdiri R/bank from Ch 0.00m to 6015.00m for 2025-26.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,06-Jul-2026 02:10 PM,,BOQ Comparative Chart,1.0,301105.0,RAM SAGAR PRASAD,INR,"4,499,989.76",1.0,301105.0,RAM SAGAR PRASAD,16-Mar-2026 01:58 PM,Accepted-AOC,AWARDED,11-Jul-2026 05:33 PM,Director Design,Internal,,Jayanta Kumar Barman,03-Jun-2026 12:51 PM,03-Jun-2026 12:55 PM,techsummary_82061.pdf (123.03 KB),AOC,M and R to Sumdiri R/bank from Ch 0.00m to 6015.00m for 2025-26.,M and R to Sumdiri R/bank from Ch 0.00m to 6015.00m for 2025-26.,Please refer Tender documents. ,NA ,"49,99,988",Civil Works,NA ,Tender,180.0,120.0,"Sumdiri, North Lakhimpur",787052.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,N LAKHIMPUR/2025-26/M AND R/I,2026_DoWR_51735_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Documents,"Chief Engineer, Water Resources Department","Assam Water Centre, O/o the Chief Engineer, WRD, 5th Floor, Basistha, Guwahati-29","1,000",Nil,Nil,No,"1,00,000",Yes,percentage,2.0%,Nil,Nil,06-Mar-2026 06:55 PM,16-Mar-2026 03:00 PM,06-Mar-2026 06:55 PM,16-Mar-2026 02:00 PM,NA ,NA ,11-Mar-2026 10:00 AM,16-Mar-2026 02:00 PM,03-Jun-2026 12:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,AOC
