Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"10,000",Nil,Nil,No,"9,74,622",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,R/S to T/Dyke along the R/B of river Buridehing from Deochalli Hill to Tipling ghat (Ph-I).,R/S to T/Dyke along the R/B of river Buridehing from Deochalli Hill to Tipling ghat (Ph-I).,Please refer Tender documents. ,NA ,"4,87,31,110",Civil Works,NA ,Tender,180.0,365.0,Dibrugarh,786001.0,NA ,NA ,NA ,Guwahati,No ,No,07-Jun-2025 06:00 PM,26-Jun-2025 03:00 PM,07-Jun-2025 06:00 PM,26-Jun-2025 02:00 PM,NA ,NA ,16-Jun-2025 10:00 AM,26-Jun-2025 02:00 PM,17-Jul-2025 01:50 PM,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/2024-25/RIDF-II/VI,2025_DoWR_42604_2,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, WRD Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1.0,SBI Bank,AOC,Director Design,Internal,,Jayanta Kumar Barman,17-Jul-2025 01:49 PM,17-Jul-2025 01:50 PM,techsummary_71124.pdf (142.15 KB),1,270646,AMIT KUMAR PEGU,25-Jun-2025 12:19 PM,Rejected-AOC,Not Qualified for AOC,24-Jul-2026 03:38 PM,1.0,270495.0,PG CONSTRUCTION,INR,"48,704,515.62",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,23-Jul-2025 03:02 PM,,BOQ Comparative Chart,24-Jul-2026,"INR 48,704,515.62",365.0,Jayanta Kumar Barman,24-Jul-2026 03:38 PM,FWO_Dibrugarh_Deochali_Hill.pdf (2446.00 KB),R/S to T/Dyke along the R/B of river Buridehing from Deochalli Hill to Tipling ghat (Ph-I).,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_42604_2,DIBRUGARH/2024-25/RIDF-II/VI,R/S to T/Dyke along the R/B of river Buridehing from Deochalli Hill to Tipling ghat (Ph-I).,Director Design,Internal,,Jayanta Kumar Barman,24-Jul-2026 03:33 PM,finsummary_71124.pdf (244.64 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Jul-2025 12:55 PM,,AOC
,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,270693,AVIGHNA ASSOCIATES,26-Jun-2025 07:26 AM,Rejected-Technical,TECHNICALLY NON RESPONSIVE,17-Jul-2025 01:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,270495,PG CONSTRUCTION,25-Jun-2025 07:18 AM,Accepted-AOC,AWARDED,24-Jul-2026 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
