Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"2,000",Nil,Nil,No,Department of Water Resources||Chief Engineer - DoWR,GOALPARA/2025-26/PDNA/WORK/II,2026_DoWR_49833_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,01-Jan-2026 06:00 PM,13-Jan-2026 03:00 PM,01-Jan-2026 06:00 PM,13-Jan-2026 02:00 PM,NA ,NA ,06-Jan-2026 10:00 AM,13-Jan-2026 02:00 PM,19-Jan-2026 03:00 PM,Restoration of B/Dyke from Kharmuza to Nichinpur at Kaljani area ( In Between Ch.10.20 Km to 12.00 Km ) from flood damages of river Brahmaputra.,Restoration of B/Dyke from Kharmuza to Nichinpur at Kaljani area ( In Between Ch.10.20 Km to 12.00 Km ) from flood damages of river Brahmaputra.,Please refer Tender documents. ,NA ,"97,83,739",Civil Works,NA ,Tender,180.0,180.0,Goalpara,783101.0,NA ,NA ,NA ,Guwahati,No ,No,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,1.0,SBI Bank,"1,95,675",Yes,percentage,2.0%,Nil,Nil,AOC,1.0,292907.0,MOSTAFIZUR RAHMAN,INR,"9,783,714.78",10-Jul-2026,"INR 9,783,714.78",180.0,Jayanta Kumar Barman,10-Jul-2026 05:47 PM,FWO_GOALPARA_Kharmuza_Nichinpur_Kaljani.PDF (625.00 KB),Restoration of B/Dyke from Kharmuza to Nichinpur at Kaljani area ( In Between Ch.10.20 Km to 12.00 Km ) from flood damages of river Brahmaputra.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,17-Mar-2026 11:08 AM,,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_49833_1,GOALPARA/2025-26/PDNA/WORK/II,Restoration of B/Dyke from Kharmuza to Nichinpur at Kaljani area ( In Between Ch.10.20 Km to 12.00 Km ) from flood damages of river Brahmaputra.,Director Design,Internal,,Jayanta Kumar Barman,10-Jul-2026 05:26 PM,finsummary_79208.pdf (245.32 KB),Technical,All bids are opened for technical evaluation.,Jayanta Kumar Barman,19-Jan-2026 02:53 PM,,Director Design,Internal,,Jayanta Kumar Barman,19-Jan-2026 02:57 PM,19-Jan-2026 03:00 PM,techsummary_79208.pdf (239.36 KB),1,292907,MOSTAFIZUR RAHMAN,12-Jan-2026 10:18 PM,Accepted-AOC,AWARDED,10-Jul-2026 05:48 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,292912,ROFIQUE AHMED,13-Jan-2026 01:18 PM,Rejected-AOC,Not Qualified for AOC,10-Jul-2026 05:48 PM,AOC
