Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_49834_1,GOALPARA/2025-26/PDNA/WORK/III,Restoration of B/Dyke from Kharmuza to Nichinpur at Madhu bazar area ( In Between Ch.6.70 Km to 8.50 Km ) from flood damages of river Brahmaputra.,Director Design,Internal,,Jayanta Kumar Barman,11-Jul-2026 06:18 PM,finsummary_79209.pdf (242.41 KB),Technical,All bids are opened for technical evaluation.,Jayanta Kumar Barman,19-Jan-2026 02:54 PM,,11-Jul-2026,"INR 9,782,003.48",180.0,Jayanta Kumar Barman,11-Jul-2026 06:43 PM,FWO_GOALPARA_MADHU_BAZAR.PDF (620.00 KB),Restoration of B/Dyke from Kharmuza to Nichinpur at Madhu bazar area ( In Between Ch.6.70 Km to 8.50 Km ) from flood damages of river Brahmaputra.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,17-Mar-2026 11:07 AM,,BOQ Comparative Chart,1.0,292782.0,PRASANTA KR DEKA,INR,"9,782,003.48",Director Design,Internal,,Jayanta Kumar Barman,19-Jan-2026 02:59 PM,19-Jan-2026 03:00 PM,techsummary_79209.pdf (589.65 KB),1,292755,M/S SUNRISE ENTERPRISE,11-Jan-2026 11:10 PM,Rejected-AOC,Not Qualified for AOC,11-Jul-2026 06:44 PM,AOC,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",Restoration of B/Dyke from Kharmuza to Nichinpur at Madhu bazar area ( In Between Ch.6.70 Km to 8.50 Km ) from flood damages of river Brahmaputra.,Restoration of B/Dyke from Kharmuza to Nichinpur at Madhu bazar area ( In Between Ch.6.70 Km to 8.50 Km ) from flood damages of river Brahmaputra.,Please refer Tender documents. ,NA ,"97,82,813",Civil Works,NA ,Tender,180.0,180.0,Goalpara,783101.0,NA ,NA ,NA ,Guwahati,No ,No,01-Jan-2026 06:00 PM,13-Jan-2026 03:00 PM,01-Jan-2026 06:00 PM,13-Jan-2026 02:00 PM,NA ,NA ,06-Jan-2026 10:00 AM,13-Jan-2026 02:00 PM,19-Jan-2026 03:00 PM,"2,000",Nil,Nil,No,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,GOALPARA/2025-26/PDNA/WORK/III,2026_DoWR_49834_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"1,95,656",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,292782,PRASANTA KR DEKA,11-Jan-2026 11:41 PM,Accepted-AOC,AWARDED,11-Jul-2026 06:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,AOC
