Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Design,Internal,,Jayanta Kumar Barman,28-Feb-2026 03:00 PM,28-Feb-2026 03:05 PM,techsummary_80863.pdf (143.00 KB),1,297912,M/S Vinayak Infratech,14-Feb-2026 08:26 PM,Rejected-AOC,Not Qualified for AOC,08-Jul-2026 05:53 PM,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50808_1,DIBRUGARH/2025-26/SOPD-G/IV,A/E measures to protect Bhorali bari Kalita Gaon area from the erosion of river Buridehing Ph-I.Package No. 01,Director Design,Internal,,Jayanta Kumar Barman,08-Jul-2026 05:47 PM,finsummary_80863.pdf (311.14 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,28-Feb-2026 03:00 PM,technical_80863.pdf,1.0,297900.0,SURESH KUMAR AGARWALLA,INR,"24,392,472.1",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,08-Jul-2026 05:45 PM,,BOQ Comparative Chart,08-Jul-2026,"INR 24,392,472.1",180.0,Jayanta Kumar Barman,08-Jul-2026 05:52 PM,FWO_Dibrugarh_Kalita_Gaon_1.pdf (3097.00 KB),A/E measures to protect Bhorali bari Kalita Gaon area from the erosion of river Buridehing Ph-I.Package No. 01,AOC,"Chief Engineer, Water Resources Department","Assam Water Centre, O/o the Chief Engineer, WRD, 5th Floor, Basistha, Guwahati-29.",Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/2025-26/SOPD-G/IV,2026_DoWR_50808_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical Documents,"4,87,878",Yes,percentage,2.0%,Nil,Nil,04-Feb-2026 06:55 PM,16-Feb-2026 03:00 PM,04-Feb-2026 06:55 PM,16-Feb-2026 02:00 PM,NA ,NA ,10-Feb-2026 10:00 AM,16-Feb-2026 02:00 PM,28-Feb-2026 03:05 PM,"5,000",Nil,Nil,No,A/E measures to protect Bhorali bari Kalita Gaon area from the erosion of river Buridehing Ph-I.Package No. 01,A/E measures to protect Bhorali bari Kalita Gaon area from the erosion of river Buridehing Ph-I.Package No. 01,Please refer Tender documents. ,NA ,"2,43,93,881",Civil Works,NA ,Tender,180.0,180.0,"Bhoralibari Kalita Gaon, Dibrugarh",785676.0,NA ,NA ,NA ,Guwahati,No ,No,AOC
,,,,,,,2,297900,SURESH KUMAR AGARWALLA,16-Feb-2026 12:33 PM,Accepted-AOC,AWARDED,08-Jul-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
