Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||PWD (R) - ARRBP,eCF No 720769/15,2026_PWRDW_51947_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,13-Mar-2026 06:00 PM,26-Mar-2026 02:30 PM,13-Mar-2026 06:00 PM,26-Mar-2026 02:00 PM,13-Mar-2026 06:00 PM ,19-Mar-2026 11:00 AM ,13-Mar-2026 06:00 PM,26-Mar-2026 02:00 PM,23-Apr-2026 05:10 PM,"Chief Engineer, EAP, PWRD","O/o the Chief Engineer, EAP, PWRD, Assam, Fatasil","10,000",Nil,Nil,No,Lakhimpur 33 - Construction of Bridge in Lakhimmpur District i) Br. No. 1/1 on Khora Bund to Gobindagaon,Construction of Bridge in Lakhimmpur District i) Br. No. 1/1 on Khora Bund to Gobindagaon,Please refer to Tender documents ,NA ,"7,35,92,600",Civil Works - Bridges,NA ,Tender,180.0,1080.0,Dhemaji District,787054.0,"O/o the Chief Engineer, EAP, PWRD, Assam, Fatasil ","O/o the Chief Engineer, EAP, PWRD, Assam, Fatasil ",19-Mar-2026 11:00 AM ,"O/o the Chief Engineer, EAP, PWRD, Assam, Fatasil",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fees Receipt,"14,71,852",Yes,fixed,,Nil,Nil,AOC,Chief Engineer EAP PWRD,Internal,,DIPAK KR. NATH,23-Apr-2026 05:08 PM,23-Apr-2026 05:10 PM,techsummary_82330.pdf (558.91 KB),Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||PWD (R) - ARRBP,2026_PWRDW_51947_3,eCF No 720769/15,Lakhimpur 33 - Construction of Bridge in Lakhimmpur District i) Br. No. 1/1 on Khora Bund to Gobindagaon,1.0,302136.0,Ashok Kumar Agarwalla,INR,"77,272,220",Technical,Technical opened,DIPAK KR. NATH,23-Apr-2026 05:04 PM,,1.0,302136.0,Ashok Kumar Agarwalla,26-Mar-2026 11:26 AM,Accepted-AOC,AOC given,13-Jul-2026 02:28 PM,Finance,Financial opened,Rajiv Borgohain,16-Jun-2026 05:47 PM,,BOQ Comparative Chart,13-Jul-2026,"INR 77,272,220",1080.0,DIPAK KR. NATH,13-Jul-2026 02:28 PM,WO.pdf (939.00 KB),Chief Engineer EAP,Internal,,DIPAK KR. NATH,13-Jul-2026 02:24 PM,finsummary_82330.pdf (135.69 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ESMP,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
