Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"8,000",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,23-Dec-2025 06:55 PM,05-Jan-2026 03:00 PM,23-Dec-2025 06:55 PM,05-Jan-2026 02:00 PM,NA ,NA ,30-Dec-2025 10:00 AM,05-Jan-2026 02:00 PM,17-Feb-2026 12:20 PM,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/2025-26/RIDF/III,2025_DoWR_47548_2,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"8,58,532",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,R/S to Tengakhat Bund upto Jokai RF on the R/B of river Buridehing. Package 1,R/S to Tengakhat Bund upto Jokai RF on the R/B of river Buridehing. Package 1,Please refer Tender documents. ,NA ,"4,29,26,600",Civil Works,NA ,Tender,180.0,365.0,Dibrugarh,786001.0,NA ,NA ,NA ,Guwahati,No ,No,"Chief Engineer, WRD, Assam","O/o the Chief Engineer, WRD, Assam, AWC Basistha, Ghy 29",AOC,Director Design,Internal,,Jayanta Kumar Barman,17-Feb-2026 12:18 PM,17-Feb-2026 12:20 PM,techsummary_78709.pdf (142.49 KB),1,291419,MS MANAB JYOTI GOGOI AND CO.,03-Jan-2026 11:39 PM,Accepted-AOC,AWARDED,18-Jul-2026 02:08 PM,1.0,291419.0,MS MANAB JYOTI GOGOI AND CO.,INR,"42,926,573.75",18-Jul-2026,"INR 42,926,573.75",365.0,Jayanta Kumar Barman,18-Jul-2026 02:07 PM,FWO_dibrugarh_Tengakhat_jokai.pdf (1608.00 KB),R/S to Tengakhat Bund upto Jokai RF on the R/B of river Buridehing. Package 1,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,18-Jul-2026 01:51 PM,,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_47548_2,DIBRUGARH/2025-26/RIDF/III,R/S to Tengakhat Bund upto Jokai RF on the R/B of river Buridehing. Package 1,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,17-Feb-2026 12:17 PM,,Director Design,Internal,,Jayanta Kumar Barman,18-Jul-2026 01:55 PM,finsummary_78709.pdf (296.93 KB),AOC
,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,291472,SANTOSH GARODIA,03-Jan-2026 10:09 PM,Rejected-AOC,Not Qualified for AOC,18-Jul-2026 02:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
