Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,14-Mar-2026 05:39 PM,,Director Design,Internal,,Jayanta Kumar Barman,10-Jul-2026 07:08 PM,finsummary_82174.pdf (269.22 KB),Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_51838_1,DHAKUAKHANA/2025-26/SOPD/V,Anti-Erosion measures at different reaches of River Charikoria.,10-Jul-2026,"INR 89,981,160.69",365.0,Jayanta Kumar Barman,10-Jul-2026 07:30 PM,FWO_Dhakuakhana_Charikoria.PDF (1347.00 KB),Anti-Erosion measures at different reaches of River Charikoria.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,23-Mar-2026 01:46 PM,,BOQ Comparative Chart,1.0,300982.0,Pradip Kumar Agarwalla,INR,"89,981,160.69",1,300982,Pradip Kumar Agarwalla,12-Mar-2026 12:06 PM,Accepted-AOC,AWARDED,10-Jul-2026 07:31 PM,Director Design,Internal,,Jayanta Kumar Barman,14-Mar-2026 06:06 PM,14-Mar-2026 06:10 PM,techsummary_82174.pdf (132.09 KB),AOC,Department of Water Resources||Chief Engineer - DoWR,DHAKUAKHANA/2025-26/SOPD/V,2026_DoWR_51838_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"17,99,685",Yes,percentage,2.0%,Nil,Nil,09-Mar-2026 06:55 PM,13-Mar-2026 03:00 PM,09-Mar-2026 06:55 PM,13-Mar-2026 02:00 PM,NA ,NA ,10-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,14-Mar-2026 06:10 PM,"20,000",Nil,Nil,No,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,1.0,SBI Bank,Anti-Erosion measures at different reaches of River Charikoria.,Anti-Erosion measures at different reaches of River Charikoria.,Please refer Tender documents. ,NA ,"8,99,84,251",Civil Works,NA ,Tender,180.0,365.0,DHAKUAKHANA,787055.0,NA ,NA ,NA ,Guwahati,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,300987,Yugant Infrastructure Private Limited,12-Mar-2026 11:29 AM,Rejected-AOC,Not Qualified for AOC,10-Jul-2026 07:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,AOC
