Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50001_1,DHUBRI/2025-26/PDNA/WORK/I,Restoration of Golakganj- Bisondai Embankment from the flood damages of river Gangadhar on its L/B.,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Feb-2026 06:07 PM,,Director Design,Internal,,Jayanta Kumar Barman,11-Jul-2026 06:03 PM,finsummary_79542.pdf (253.42 KB),11-Jul-2026,"INR 21,721,450.26",180.0,Jayanta Kumar Barman,11-Jul-2026 06:07 PM,FWO_DHUBRI_BISONDOI.PDF (564.00 KB),Restoration of Golakganj- Bisondai Embankment from the flood damages of river Gangadhar on its L/B.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,11-Jul-2026 06:00 PM,,BOQ Comparative Chart,1.0,293383.0,North East Infra Sol,INR,"21,721,450.26",Director Design,Internal,,Jayanta Kumar Barman,09-Feb-2026 06:44 PM,09-Feb-2026 06:55 PM,techsummary_79542.pdf (235.29 KB),1,293383,North East Infra Sol,17-Jan-2026 07:13 PM,Accepted-AOC,AWARDED,11-Jul-2026 06:07 PM,AOC,"4,34,438",Yes,percentage,2.0%,Nil,Nil,"Chief Engineer, WRD, Assam","O/o the Chief Engineer, WRD, Assam, AWC Basistha, Ghy 29",1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Restoration of Golakganj- Bisondai Embankment from the flood damages of river Gangadhar on its L/B.,Restoration of Golakganj- Bisondai Embankment from the flood damages of river Gangadhar on its L/B.,Please refer Tender documents. ,NA ,"2,17,21,915",Civil Works,NA ,Tender,180.0,180.0,DHUBRI,783301.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,DHUBRI/2025-26/PDNA/WORK/I,2026_DoWR_50001_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"4,000",Nil,Nil,No,07-Jan-2026 09:00 AM,19-Jan-2026 03:00 PM,07-Jan-2026 09:00 AM,19-Jan-2026 02:00 PM,NA ,NA ,15-Jan-2026 10:00 AM,19-Jan-2026 02:00 PM,09-Feb-2026 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,293412,SRI AMIYA KUMAR HAZARIKA,17-Jan-2026 07:04 PM,Rejected-AOC,Not Qualified for AOC,11-Jul-2026 06:07 PM,AOC,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
